,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین,تاریخ,gregorian_date
0,كيمياتك,آريان كيميا تك,90405,26192831,902110142540,32910,34530,34550,1640,4.98,34440,1530,4.65,33220,34550,1400-7-10,2021-10-02
1,فجهان,مجتمع جهان فولاد سيرجان,68998,198690333,1323385723118,6689,6780,6665,-24,-0.36,6661,-28,-0.42,6550,6780,1400-7-10,2021-10-02
2,فسبزوار,پارس فولاد سبزوار,68472,34334388,1275100137960,36740,37400,37270,530,1.44,37140,400,1.09,36550,37500,1400-7-10,2021-10-02
3,پالايش,صندوق پالايشي يكم-سهام,48072,55779059,4552035028550,79260,81500,81840,2580,3.26,81610,2350,2.96,80510,82520,1400-7-10,2021-10-02
4,مديريت,س. و خدمات مديريت صند. ب كشوري,34726,53635118,551491976075,9805,10295,10295,490,5,10282,477,4.86,10011,10295,1400-7-10,2021-10-02
5,شبندر,پالايش نفت بندرعباس,22087,364450835,2547082276730,6680,6850,7010,330,4.94,6990,310,4.64,6850,7010,1400-7-10,2021-10-02
6,كدما,معدني‌ دماوند,21384,12734791,1619259242840,131310,135500,124750,-6560,-5,127150,-4160,-3.17,124750,136990,1400-7-10,2021-10-02
7,دي,بانك دي,20967,705363743,745769530228,1052,1056,1048,-4,-0.38,1057,5,0.48,1043,1080,1400-7-10,2021-10-02
8,شستا,سرمايه گذاري تامين اجتماعي,19415,84338414,1099058249050,12650,12800,13090,440,3.48,13030,380,3,12710,13230,1400-7-10,2021-10-02
9,شپنا,پالايش نفت اصفهان,18467,159465272,2194833653260,13200,13500,13860,660,5,13760,560,4.24,13500,13860,1400-7-10,2021-10-02
10,دارا يكم,صندوق واسطه گري مالي يكم-سهام,17593,11446962,1447775480590,124820,125900,126100,1280,1.03,126480,1660,1.33,125180,128190,1400-7-10,2021-10-02
11,خودرو,ايران‌ خودرو,16411,462281079,850282289046,1845,1855,1823,-22,-1.19,1839,-6,-0.33,1817,1880,1400-7-10,2021-10-02
12,كالا,بورس كالاي ايران,16404,60219617,2310359383820,37720,36400,39600,1880,4.98,38370,650,1.72,36400,39600,1400-7-10,2021-10-02
13,تپكو,توليدتجهيزات‌سنگين‌هپكو,15526,287995654,648609276744,2271,2307,2321,50,2.2,2252,-19,-0.84,2203,2329,1400-7-10,2021-10-02
14,فولاد,فولاد مباركه اصفهان,15429,127159011,1386646483970,10480,10590,10870,390,3.72,10900,420,4.01,10590,11000,1400-7-10,2021-10-02
15,شتران,پالايش نفت تهران,13777,118625859,1379871965920,11150,11700,11700,550,4.93,11630,480,4.3,11400,11700,1400-7-10,2021-10-02
16,لپارس,پارس‌ الكتريك‌,12933,7896080,1321211048840,160790,168820,168820,8030,4.99,167320,6530,4.06,161000,168820,1400-7-10,2021-10-02
17,فملي,ملي‌ صنايع‌ مس‌ ايران‌,12911,62515985,826266984510,12980,13150,13170,190,1.46,13220,240,1.85,13000,13430,1400-7-10,2021-10-02
18,وهامون,سرمايه گذاري هامون صبا,12421,24371363,81663118902,3315,3400,3307,-8,-0.24,3351,36,1.09,3270,3413,1400-7-10,2021-10-02
19,قتربت,قند تربت حيدريه,11511,2145694,95591140101,45603,44235,44260,-1343,-2.94,44550,-1053,-2.31,44235,46300,1400-7-10,2021-10-02
20,بركت,گروه دارويي بركت,11276,30510214,973142236950,30620,30500,32150,1530,5,31900,1280,4.18,30500,32150,1400-7-10,2021-10-02
21,نوري,پتروشيمي نوري,11192,11201108,1264553685470,107900,109100,113290,5390,5,112900,5000,4.63,109100,113290,1400-7-10,2021-10-02
