,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین,تاریخ,gregorian_date
0,پالايش,صندوق پالايشي يكم-سهام,21479,23576260,1712839194710,71910,73050,72130,220,0.31,72650,740,1.03,71900,73750,1400-8-26,2021-11-17
1,پترول,گ.س.وت.ص.پتروشيمي خليج فارس,17302,336985015,1003013378792,2957,2871,3067,110,3.72,2976,19,0.64,2871,3091,1400-8-26,2021-11-17
2,دارا يكم,صندوق واسطه گري مالي يكم-سهام,16616,11681434,1361037217010,114590,116200,115630,1040,0.91,116510,1920,1.68,115050,118120,1400-8-26,2021-11-17
3,شستا,سرمايه گذاري تامين اجتماعي,14814,63776954,703831308480,10940,10960,10930,-10,-0.09,11040,100,0.91,10930,11220,1400-8-26,2021-11-17
4,بورس,بورس اوراق بهادار تهران,14317,85113577,1248381390220,14920,14920,14390,-530,-3.55,14670,-250,-1.68,14210,15220,1400-8-26,2021-11-17
5,سپيد,سپيد ماكيان,13210,10764592,655943057990,58370,59290,61280,2910,4.99,60940,2570,4.4,58630,61280,1400-8-26,2021-11-17
6,غكورش,صنعت غذايي كورش,9001,11945754,590716308470,47330,48100,49490,2160,4.56,49450,2120,4.48,48100,49690,1400-8-26,2021-11-17
7,بركت,گروه دارويي بركت,8904,24957633,622244963260,24560,25000,25190,630,2.57,24930,370,1.51,24230,25560,1400-8-26,2021-11-17
8,فولاد,فولاد مباركه اصفهان,8786,53548043,597674516320,11220,11150,11200,-20,-0.18,11160,-60,-0.53,11050,11340,1400-8-26,2021-11-17
9,فسبزوار,پارس فولاد سبزوار,8667,4520035,160776729680,35310,35170,35410,100,0.28,35570,260,0.74,35170,36030,1400-8-26,2021-11-17
10,خگستر,گسترش‌سرمايه‌گذاري‌ايران‌خودرو,8473,263473738,685835276442,2485,2540,2609,124,4.99,2603,118,4.75,2523,2609,1400-8-26,2021-11-17
11,كيمياتك,آريان كيميا تك,8464,3566073,96248592720,26150,26350,26750,600,2.29,26990,840,3.21,26100,27450,1400-8-26,2021-11-17
