,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین,تاریخ,gregorian_date
0,تفارس,تامين سرمايه خليج فارس,151063,2000000000,2000000000000,1000,1000,1000,0,0,1000,0,0,1000,1000,1400-8-8,2021-10-30
1,آواپارس,بيمه اتكايي آواي پارس70%تاديه,88637,1500000000,1050000000000,1000,700,700,-300,-30,700,-300,-30,700,700,1400-8-8,2021-10-30
2,فجهان,مجتمع جهان فولاد سيرجان,29804,150465400,880374713210,5858,5880,6050,192,3.28,5851,-7,-0.12,5570,6050,1400-8-8,2021-10-30
3,پالايش,صندوق پالايشي يكم-سهام,24103,20622597,1402546813780,69460,70020,67000,-2460,-3.54,68010,-1450,-2.09,66670,70070,1400-8-8,2021-10-30
4,توسن,توسعه سامانه ي نرم افزاري نگين,24090,12004687,165746362226,14467,14000,13745,-722,-4.99,13807,-660,-4.56,13744,14300,1400-8-8,2021-10-30
5,فسبزوار,پارس فولاد سبزوار,23591,11845876,409685336540,35210,35220,34840,-370,-1.05,34580,-630,-1.79,33940,35220,1400-8-8,2021-10-30
6,خبنيان,بنيان ديزل,20952,1523264,257621287501,161294,169358,169357,8063,5,169125,7831,4.86,161310,169358,1400-8-8,2021-10-30
7,كيمياتك,آريان كيميا تك,17628,2865996,73489037500,26320,26000,25500,-820,-3.12,25640,-680,-2.58,25250,26200,1400-8-8,2021-10-30
8,دارا يكم,صندوق واسطه گري مالي يكم-سهام,16024,7107833,758941224180,110410,111000,105040,-5370,-4.86,106780,-3630,-3.29,104790,111290,1400-8-8,2021-10-30
9,فرابورس,فرابورس ايران,13943,53831963,1391373284815,25985,27284,24686,-1299,-5,25847,-138,-0.53,24686,27284,1400-8-8,2021-10-30
10,فولاد,فولاد مباركه اصفهان,13625,95982108,1086001186690,11480,11700,11700,220,1.92,11310,-170,-1.48,11130,11730,1400-8-8,2021-10-30
11,مديريت,س. و خدمات مديريت صند. ب كشوري,12869,11053789,98105599415,8948,9120,9000,52,0.58,8875,-73,-0.82,8650,9140,1400-8-8,2021-10-30
12,خودرو,ايران‌ خودرو,12372,402885513,664592470743,1706,1726,1668,-38,-2.23,1650,-56,-3.28,1621,1726,1400-8-8,2021-10-30
13,كدما,معدني‌ دماوند,11154,9834538,978708756660,95350,100000,100110,4760,4.99,99520,4170,4.37,95500,100110,1400-8-8,2021-10-30
14,شپنا,پالايش نفت اصفهان,11016,58540500,622219979190,10920,11200,10630,-290,-2.66,10630,-290,-2.66,10380,11200,1400-8-8,2021-10-30
15,خساپا,سايپا,10934,410975238,617180814998,1558,1580,1513,-45,-2.89,1502,-56,-3.59,1481,1580,1400-8-8,2021-10-30
16,قتربت,قند تربت حيدريه,10599,1702109,91768265129,54780,54500,53137,-1643,-3,53914,-866,-1.58,53137,56423,1400-8-8,2021-10-30
17,لپارس,پارس‌ الكتريك‌,10425,6842208,869387621650,126200,120000,130000,3800,3.01,127060,860,0.68,120000,132510,1400-8-8,2021-10-30
18,شبندر,پالايش نفت بندرعباس,10322,104058767,625394223460,6180,6220,5950,-230,-3.72,6010,-170,-2.75,5880,6280,1400-8-8,2021-10-30
19,امين,تامين سرمايه امين,9124,10043538,116806884350,11560,11600,11740,180,1.56,11630,70,0.61,11600,11800,1400-8-8,2021-10-30
20,فملي,ملي‌ صنايع‌ مس‌ ايران‌,8818,60114522,782165473460,13310,13290,13090,-220,-1.65,13010,-300,-2.25,12810,13450,1400-8-8,2021-10-30
21,ولقمان,سرمايه گذاري لقمان,8805,40627135,179034249692,4342,4559,4300,-42,-0.97,4407,65,1.5,4125,4559,1400-8-8,2021-10-30
22,شتران,پالايش نفت تهران,8279,91058539,404435960996,4604,4650,4390,-214,-4.65,4441,-163,-3.54,4374,4680,1400-8-8,2021-10-30
23,گدنا,تهيه توزيع غذاي دنا آفرين فدك,7123,5139600,79110128978,14832,15500,15200,368,2.48,15392,560,3.78,15010,15573,1400-8-8,2021-10-30
24,خگستر,گسترش‌سرمايه‌گذاري‌ايران‌خودرو,7107,218000550,422163362104,2014,2040,1949,-65,-3.23,1937,-77,-3.82,1914,2049,1400-8-8,2021-10-30
25,كرمان,س. توسعه و عمران استان كرمان,6261,165668975,164785332904,1018,1021,980,-38,-3.73,995,-23,-2.26,973,1045,1400-8-8,2021-10-30
26,وهامون,سرمايه گذاري هامون صبا,6254,15857091,43693292347,2783,2850,2729,-54,-1.94,2755,-28,-1.01,2713,2850,1400-8-8,2021-10-30
27,شفن,پتروشيمي فناوران,6203,1096789,425808235100,403170,403470,393700,-9470,-2.35,388230,-14940,-3.71,383020,403470,1400-8-8,2021-10-30
28,ثبهساز,بهساز كاشانه تهران,5912,33773059,56743367092,1678,1716,1650,-28,-1.67,1680,2,0.12,1610,1731,1400-8-8,2021-10-30
29,ويسا,سرمايه گذاري ايساتيس پويا,5749,28609308,203682195859,7454,7100,7199,-255,-3.42,7119,-335,-4.49,7082,7454,1400-8-8,2021-10-30
30,كمند,صندوق س. با درآمد ثابت كمند,5727,199902819,2024323907348,10110,10126,10127,17,0.17,10127,17,0.17,10126,10128,1400-8-8,2021-10-30
31,سپيدار,سپيدار سيستم آسيا,5606,1456132,24986453342,17845,17600,17021,-824,-4.62,17159,-686,-3.84,17010,17850,1400-8-8,2021-10-30
32,حگردش,ريل گردش ايرانيان,5588,76571616,277826460182,3475,3648,3648,173,4.98,3628,153,4.4,3582,3648,1400-8-8,2021-10-30
33,بوعلي,پتروشيمي بوعلي سينا,5573,2838048,202774863580,71580,71070,70100,-1480,-2.07,71450,-130,-0.18,69650,72710,1400-8-8,2021-10-30
34,كاما,باما,5561,41632918,339515736200,8490,8700,8070,-420,-4.95,8150,-340,-4,8070,8740,1400-8-8,2021-10-30
35,بركت,گروه دارويي بركت,5430,15657543,354066195260,23690,23000,22510,-1180,-4.98,22610,-1080,-4.56,22510,23690,1400-8-8,2021-10-30
36,خپارس,پارس‌ خودرو,5394,220234342,222199879654,1033,1033,1008,-25,-2.42,1009,-24,-2.32,987,1058,1400-8-8,2021-10-30
37,ثشاهد,سرمايه‌ گذاري‌ شاهد,5178,33410543,410038135660,11730,12300,12310,580,4.94,12270,540,4.6,11900,12310,1400-8-8,2021-10-30
38,نوري,پتروشيمي نوري,5176,3719859,402613496860,108840,108370,108390,-450,-0.41,108230,-610,-0.56,106500,109970,1400-8-8,2021-10-30
39,كيان,صندوق س. با درآمد ثابت كيان,5143,41650758,1303873614599,31261,31305,31306,45,0.14,31305,44,0.14,31295,31312,1400-8-8,2021-10-30
40,آريا,پليمر آريا ساسول,5089,1495534,163103169528,109639,108701,107445,-2194,-2,109060,-579,-0.53,107000,111271,1400-8-8,2021-10-30
41,آبادا,توليد نيروي برق آبادان,5078,2232770,33672305280,15220,15300,15020,-200,-1.31,15080,-140,-0.92,14630,15390,1400-8-8,2021-10-30
42,وتجارت,بانك تجارت,5022,111289897,197822441252,1823,1823,1758,-65,-3.57,1778,-45,-2.47,1732,1832,1400-8-8,2021-10-30
43,ومدير,گ.مديريت ارزش سرمايه ص ب كشوري,4481,14851509,64371448368,4430,4520,4300,-130,-2.93,4334,-96,-2.17,4220,4520,1400-8-8,2021-10-30
44,غزر,صنعتي زر ماكارون,4441,5665371,60324721070,10880,10660,11000,120,1.1,10650,-230,-2.11,10340,11200,1400-8-8,2021-10-30
45,وبصادر,بانك صادرات ايران,4438,133340456,231861645328,1806,1807,1716,-90,-4.98,1739,-67,-3.71,1716,1836,1400-8-8,2021-10-30
46,صبا,سرمايه گذاري صبا تامين,4383,27748552,166914615044,6088,6150,5972,-116,-1.91,6015,-73,-1.2,5925,6150,1400-8-8,2021-10-30
47,لطيف,محصولات كاغذي لطيف,4237,1011954,38344802552,39028,39400,37621,-1407,-3.61,37892,-1136,-2.91,37568,39400,1400-8-8,2021-10-30
48,وملي,گروه‌ صنعتي‌ ملي‌ (هلدينگ‌,4214,1731628,325053920880,179350,181800,188310,8960,5,187720,8370,4.67,181000,188310,1400-8-8,2021-10-30
49,وكبهمن,مديريت سرمايه گذاري كوثربهمن,4080,1725837,17402905452,10324,10251,10107,-217,-2.1,10084,-240,-2.32,9990,10290,1400-8-8,2021-10-30
50,ولپارس,ليزينگ پارسيان,3985,9387982,36444824804,3999,4000,3880,-119,-2.98,3882,-117,-2.93,3800,4080,1400-8-8,2021-10-30
51,ثاميد,توسعه و عمران اميد,3983,19585644,27581832428,1440,1426,1383,-57,-3.96,1408,-32,-2.22,1370,1466,1400-8-8,2021-10-30
52,وسپهر,سرمايه گذاري مالي سپهرصادرات,3907,12508194,88383948108,7067,7067,7066,-1,-0.01,7066,-1,-0.01,7066,7071,1400-8-8,2021-10-30
53,ولكار,ليزينگ كارآفرين,3890,1566878,6766085639,4345,4432,4255,-90,-2.07,4333,-12,-0.28,4250,4433,1400-8-8,2021-10-30
54,كزغال,زغال سنگ پروده طبس,3835,1851460,59038337655,32075,31830,31999,-76,-0.24,31887,-188,-0.59,31350,32950,1400-8-8,2021-10-30
55,وخارزم,سرمايه گذاري خوارزمي,3812,45589673,181438993012,4146,4020,3980,-166,-4,3980,-166,-4,3939,4135,1400-8-8,2021-10-30
