,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین,تاریخ,gregorian_date
0,كيمياتك,آريان كيميا تك,56345,10478323,338442393420,33050,32720,32500,-550,-1.66,32300,-750,-2.27,31850,33000,1400-7-12,2021-10-04
1,فجهان,مجتمع جهان فولاد سيرجان,49825,126930732,828519259954,6660,6670,6553,-107,-1.61,6527,-133,-2,6430,6670,1400-7-12,2021-10-04
2,فسبزوار,پارس فولاد سبزوار,45409,23206714,852450874830,36750,36400,36550,-200,-0.54,36730,-20,-0.05,36350,37090,1400-7-12,2021-10-04
3,توسن,توسعه سامانه ي نرم افزاري نگين,42200,3812056,48870557920,12210,12820,12820,610,5,12820,610,5,12820,12820,1400-7-12,2021-10-04
4,پالايش,صندوق پالايشي يكم-سهام,32930,37835316,3024520186700,79900,79310,80030,130,0.16,79940,40,0.05,78650,80750,1400-7-12,2021-10-04
5,مديريت,س. و خدمات مديريت صند. ب كشوري,24498,13549861,136464263398,10066,9999,10082,16,0.16,10071,5,0.05,9900,10230,1400-7-12,2021-10-04
6,دي,بانك دي,24355,965226995,1051332605456,1044,1070,1096,52,4.98,1089,45,4.31,1060,1096,1400-7-12,2021-10-04
7,كدما,معدني‌ دماوند,23729,16345377,1986185487430,121710,115630,126400,4690,3.85,121510,-200,-0.16,115630,127500,1400-7-12,2021-10-04
8,دارا يكم,صندوق واسطه گري مالي يكم-سهام,17793,13195499,1687333105240,126030,127810,127100,1070,0.85,127870,1840,1.46,126760,129300,1400-7-12,2021-10-04
9,شپنا,پالايش نفت اصفهان,14953,141468747,1984174149090,13620,13400,14280,660,4.85,14030,410,3.01,13400,14300,1400-7-12,2021-10-04
10,بركت,گروه دارويي بركت,14808,35515094,1226790002560,32950,33990,34570,1620,4.92,34540,1590,4.83,33670,34590,1400-7-12,2021-10-04
11,شبندر,پالايش نفت بندرعباس,14687,199816846,1430226506200,6980,7190,7130,150,2.15,7160,180,2.58,7050,7270,1400-7-12,2021-10-04
12,خودرو,ايران‌ خودرو,13139,372926185,720468292366,1878,1941,1931,53,2.82,1932,54,2.88,1906,1955,1400-7-12,2021-10-04
13,شتران,پالايش نفت تهران,12581,104226920,1203737840030,11490,11390,11540,50,0.44,11550,60,0.52,11260,11730,1400-7-12,2021-10-04
14,شستا,سرمايه گذاري تامين اجتماعي,11625,43827789,575401055810,12990,13000,13080,90,0.69,13130,140,1.08,12960,13240,1400-7-12,2021-10-04
