,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین,تاریخ,gregorian_date
0,پالايش,صندوق پالايشي يكم-سهام,41906,55654812,4078227374110,72220,72850,72790,570,0.79,73280,1060,1.47,72600,74380,1400-4-5,2021-06-26
1,ومدير,گ.مديريت ارزش سرمايه ص ب كشوري,33031,32406901,127683189940,3753,3940,3940,187,4.98,3940,187,4.98,3940,3940,1400-4-5,2021-06-26
2,شپنا,پالايش نفت اصفهان,27467,207905327,2813653724620,13090,13240,13290,200,1.53,13530,440,3.36,13100,13740,1400-4-5,2021-06-26
3,فملي,ملي‌ صنايع‌ مس‌ ايران‌,25260,155751582,1934122998780,12310,12550,12160,-150,-1.22,12420,110,0.89,12120,12600,1400-4-5,2021-06-26
4,غكورش,صنعت غذايي كورش,25227,14159998,571994707210,41290,41330,39940,-1350,-3.27,40400,-890,-2.16,39860,41330,1400-4-5,2021-06-26
5,خودرو,ايران‌ خودرو,24530,722082093,1528784700473,2116,2100,2089,-27,-1.28,2117,1,0.05,2069,2171,1400-4-5,2021-06-26
6,شصدف,صنعتي دوده فام,22701,29227143,799777852544,27557,26180,28934,1377,5,27364,-193,-0.7,26180,28934,1400-4-5,2021-06-26
7,شستا,سرمايه گذاري تامين اجتماعي,21872,224809251,2812943425380,11930,12520,12520,590,4.95,12510,580,4.86,12200,12520,1400-4-5,2021-06-26
8,دارا يكم,صندوق واسطه گري مالي يكم-سهام,21291,15682766,2003068753820,127470,127470,126750,-720,-0.56,127720,250,0.2,126400,129000,1400-4-5,2021-06-26
9,فولاد,فولاد مباركه اصفهان,20109,144220200,1557425927120,10590,10880,10590,0,0,10800,210,1.98,10580,10960,1400-4-5,2021-06-26
10,خساپا,سايپا,18817,763725029,1412493058826,1835,1810,1813,-22,-1.2,1849,14,0.76,1780,1899,1400-4-5,2021-06-26
11,لطيف,محصولات كاغذي لطيف,17626,763512,26054847000,32500,34125,34125,1625,5,34125,1625,5,34125,34125,1400-4-5,2021-06-26
12,پترول,گ.س.وت.ص.پتروشيمي خليج فارس,15806,103417973,965922466910,9330,9100,9300,-30,-0.32,9340,10,0.11,9000,9690,1400-4-5,2021-06-26
13,شتران,پالايش نفت تهران,14354,202397376,1939840556340,9190,9470,9540,350,3.81,9580,390,4.24,9270,9640,1400-4-5,2021-06-26
