,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین,تاریخ,gregorian_date
0,پالايش,صندوق پالايشي يكم-سهام,27604,24353379,1688830321410,71320,70000,69100,-2220,-3.11,69350,-1970,-2.76,68830,70020,1400-9-6,2021-11-27
1,فولاد,فولاد مباركه اصفهان,16071,116006291,1192050965120,10770,10350,10240,-530,-4.92,10280,-490,-4.55,10240,10550,1400-9-6,2021-11-27
2,شستا,سرمايه گذاري تامين اجتماعي,15524,91775343,1016407527620,11590,11260,11020,-570,-4.92,11070,-520,-4.49,11020,11260,1400-9-6,2021-11-27
3,دارا يكم,صندوق واسطه گري مالي يكم-سهام,14154,7890699,876873107320,113770,112900,110480,-3290,-2.89,111130,-2640,-2.32,110120,112900,1400-9-6,2021-11-27
4,وفتخار,سرمايه گذاري افتخار سهام,13447,66945572,143924479321,2119,2182,2056,-63,-2.97,2150,31,1.46,2056,2182,1400-9-6,2021-11-27
5,بورس,بورس اوراق بهادار تهران,12926,107818710,1438921348440,12780,13300,13410,630,4.93,13350,570,4.46,13040,13410,1400-9-6,2021-11-27
6,توسن,توسعه سامانه ي نرم افزاري نگين,11241,14137583,331042939690,22429,22780,23550,1121,5,23416,987,4.4,22500,23550,1400-9-6,2021-11-27
7,بركت,گروه دارويي بركت,10427,27639165,585206345720,22050,21900,20960,-1090,-4.94,21170,-880,-3.99,20950,21950,1400-9-6,2021-11-27
8,خگستر,گسترش‌سرمايه‌گذاري‌ايران‌خودرو,8471,213457231,550543126943,2639,2600,2550,-89,-3.37,2579,-60,-2.27,2508,2674,1400-9-6,2021-11-27
9,انرژي3,سايراشخاص بورس انرژي,8320,7457492,762406401000,98010,102200,102910,4900,5,102230,4220,4.31,98500,102910,1400-9-6,2021-11-27
10,شبندر,پالايش نفت بندرعباس,8018,105740083,645787216850,6400,6100,6080,-320,-5,6110,-290,-4.53,6080,6220,1400-9-6,2021-11-27
11,فجهان,مجتمع جهان فولاد سيرجان,7953,37257065,208714438012,5656,5610,5600,-56,-0.99,5602,-54,-0.95,5557,5658,1400-9-6,2021-11-27
12,پترول,گ.س.وت.ص.پتروشيمي خليج فارس,7932,167075140,463267002103,2913,2861,2768,-145,-4.98,2773,-140,-4.81,2768,2870,1400-9-6,2021-11-27
13,فسبزوار,پارس فولاد سبزوار,7571,10692971,368913205040,34590,34100,34310,-280,-0.81,34500,-90,-0.26,34100,35130,1400-9-6,2021-11-27
14,شپنا,پالايش نفت اصفهان,7517,60486481,356416259770,6160,5870,5860,-300,-4.87,5890,-270,-4.38,5860,6020,1400-9-6,2021-11-27
15,كالا,بورس كالاي ايران,7443,18173615,539078916790,28770,30000,29660,890,3.09,29660,890,3.09,28500,30150,1400-9-6,2021-11-27
16,خبهمن,گروه‌بهمن‌,7427,252878616,520662789809,2118,2020,2047,-71,-3.35,2059,-59,-2.79,2015,2129,1400-9-6,2021-11-27
17,فرابورس,فرابورس ايران,7139,20948990,458363288229,21234,22000,21700,466,2.19,21880,646,3.04,21300,22205,1400-9-6,2021-11-27
18,نوري,پتروشيمي نوري,6575,4245738,485017813440,118180,117620,113680,-4500,-3.81,114240,-3940,-3.33,112280,117620,1400-9-6,2021-11-27
19,وبملت,بانك ملت,6531,143681617,418644347485,3047,3038,2895,-152,-4.99,2914,-133,-4.36,2895,3038,1400-9-6,2021-11-27
20,كرمان,س. توسعه و عمران استان كرمان,6178,188795376,183639598496,1003,1000,978,-25,-2.49,973,-30,-2.99,961,1010,1400-9-6,2021-11-27
21,شتران,پالايش نفت تهران,5974,76164587,315945151946,4356,4170,4140,-216,-4.96,4148,-208,-4.78,4139,4283,1400-9-6,2021-11-27
22,تسه0008,امتيازتسهيلات مسكن آبان1400,5488,197035,162221074400,797190,816114,835000,37810,4.74,823311,26121,3.28,796000,837000,1400-9-6,2021-11-27
23,شفن,پتروشيمي فناوران,5387,22725957,371079562990,16990,16300,16160,-830,-4.89,16330,-660,-3.88,16150,16900,1400-9-6,2021-11-27
24,شفنح,ح . پتروشيمي فناوران,4957,23502351,279200153760,12940,12390,11770,-1170,-9.04,11880,-1060,-8.19,11730,12390,1400-9-6,2021-11-27
25,كيمياتك,آريان كيميا تك,4913,1681468,42205850110,25910,25480,24680,-1230,-4.75,25100,-810,-3.13,24620,26430,1400-9-6,2021-11-27
26,وتجارت,بانك تجارت,4659,115412946,206364453545,1863,1831,1770,-93,-4.99,1788,-75,-4.03,1770,1860,1400-9-6,2021-11-27
27,كيان,صندوق س. با درآمد ثابت كيان,4655,79745995,2533286690529,31730,31766,31768,38,0.12,31767,37,0.12,31766,31769,1400-9-6,2021-11-27
28,كمند,صندوق س. با درآمد ثابت كمند,4613,173196317,1751975679495,10103,10115,10116,13,0.13,10116,13,0.13,10115,10116,1400-9-6,2021-11-27
29,امين يكم,صندوق درآمد ثابت امين يكم فردا,4601,158158831,1586005816326,10014,10025,10028,14,0.14,10028,14,0.14,10025,10030,1400-9-6,2021-11-27
30,ذوب,سهامي ذوب آهن  اصفهان,4524,65501197,232876993323,3722,3660,3536,-186,-5,3555,-167,-4.49,3536,3660,1400-9-6,2021-11-27
31,مديريت,س. و خدمات مديريت صند. ب كشوري,4488,5676193,51234721779,9308,9110,8984,-324,-3.48,9026,-282,-3.03,8906,9194,1400-9-6,2021-11-27
32,لپارس,پارس‌ الكتريك‌,4283,5161291,576101837550,106470,111790,111790,5320,5,111620,5150,4.84,107170,111790,1400-9-6,2021-11-27
33,كدما,معدني‌ دماوند,3857,2880884,237796585390,86640,85900,82310,-4330,-5,82540,-4100,-4.73,82310,85900,1400-9-6,2021-11-27
34,آريا,پليمر آريا ساسول,3742,919319,103803921008,115281,115981,111800,-3481,-3.02,112914,-2367,-2.05,111730,115981,1400-9-6,2021-11-27
35,بركتح,ح . گروه دارويي بركت,3676,8969152,158301147390,17680,17500,17660,-20,-0.11,17650,-30,-0.17,16820,18590,1400-9-6,2021-11-27
36,وغدير,سرمايه‌گذاري‌غدير(هلدينگ‌,3607,29316428,407692154140,14580,14340,13870,-710,-4.87,13910,-670,-4.6,13860,14450,1400-9-6,2021-11-27
37,امين,تامين سرمايه امين,3487,1722785,21115687370,12220,12250,12290,70,0.57,12230,10,0.08,12210,12310,1400-9-6,2021-11-27
38,وبصادر,بانك صادرات ايران,3328,87904121,152895293180,1811,1789,1721,-90,-4.97,1739,-72,-3.98,1721,1789,1400-9-6,2021-11-27
39,سپيد,سپيد ماكيان,3320,4094286,247481885530,63240,61210,60970,-2270,-3.59,60450,-2790,-4.41,60080,62650,1400-9-6,2021-11-27
40,تپكو,توليدتجهيزات‌سنگين‌هپكو,3303,81245294,297312209419,3769,3660,3656,-113,-3,3659,-110,-2.92,3656,3702,1400-9-6,2021-11-27
41,وملي,گروه‌ صنعتي‌ ملي‌ (هلدينگ‌,3160,1538074,245692600370,153020,153540,160270,7250,4.74,159740,6720,4.39,150550,160670,1400-9-6,2021-11-27
42,غزر,صنعتي زر ماكارون,3077,4636529,47519200960,10370,10250,10260,-110,-1.06,10250,-120,-1.16,10100,10410,1400-9-6,2021-11-27
43,حسير,ريل سير كوثر,3041,7450195,202251857418,27278,27000,28270,992,3.64,27147,-131,-0.48,25915,28540,1400-9-6,2021-11-27
44,ثشاهد,سرمايه‌ گذاري‌ شاهد,2982,18128134,205130919660,11830,11690,11290,-540,-4.56,11320,-510,-4.31,11240,12000,1400-9-6,2021-11-27
45,كاما,باما,2964,26802386,214589200300,8190,8060,7960,-230,-2.81,8010,-180,-2.2,7830,8140,1400-9-6,2021-11-27
46,وخارزم,سرمايه گذاري خوارزمي,2940,52019328,224435895878,4530,4537,4304,-226,-4.99,4314,-216,-4.77,4304,4537,1400-9-6,2021-11-27
47,بوعلي,پتروشيمي بوعلي سينا,2885,1316404,94928216170,72560,73300,71200,-1360,-1.87,72130,-430,-0.59,71010,73310,1400-9-6,2021-11-27
48,صبا,سرمايه گذاري صبا تامين,2832,26875804,161286122752,6073,6100,5990,-83,-1.37,6001,-72,-1.19,5961,6100,1400-9-6,2021-11-27
49,حگردش,ريل گردش ايرانيان,2802,29467268,119120190887,4089,3990,3980,-109,-2.67,4042,-47,-1.15,3886,4209,1400-9-6,2021-11-27
