,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین,تاریخ,gregorian_date
0,پالايش,صندوق پالايشي يكم-سهام,40290,47481028,3421439226690,69460,71280,71190,1730,2.49,72060,2600,3.74,69770,73800,1400-8-11,2021-11-02
1,دارا يكم,صندوق واسطه گري مالي يكم-سهام,20825,13674441,1522991640030,108150,110230,109850,1700,1.57,111380,3230,2.99,108350,113350,1400-8-11,2021-11-02
2,بركت,گروه دارويي بركت,18657,54185727,1094445624950,20860,20010,20750,-110,-0.53,20200,-660,-3.16,19820,20850,1400-8-11,2021-11-02
3,بركتح,ح . گروه دارويي بركت,15929,29635500,506596631150,17214,16100,17650,436,2.53,17090,-124,-0.72,16040,18440,1400-8-11,2021-11-02
4,شبندر,پالايش نفت بندرعباس,10413,165129255,1034300329300,6010,6130,6310,300,4.99,6260,250,4.16,6070,6310,1400-8-11,2021-11-02
5,فجهان,مجتمع جهان فولاد سيرجان,10171,39679008,235269953121,5897,5830,5940,43,0.73,5929,32,0.54,5802,5999,1400-8-11,2021-11-02
6,فولاد,فولاد مباركه اصفهان,9937,80821341,942911578100,11400,11680,11800,400,3.51,11670,270,2.37,11510,11840,1400-8-11,2021-11-02
7,فسبزوار,پارس فولاد سبزوار,9831,5671333,198014791230,34840,34830,34920,80,0.23,34920,80,0.23,34700,35300,1400-8-11,2021-11-02
8,شپنا,پالايش نفت اصفهان,9353,58460472,639824600690,10610,10800,10970,360,3.39,10940,330,3.11,10630,11130,1400-8-11,2021-11-02
9,فرابورس,فرابورس ايران,8970,26620075,729469248663,26341,26700,27658,1317,5,27403,1062,4.03,26350,27658,1400-8-11,2021-11-02
10,مديريت,س. و خدمات مديريت صند. ب كشوري,8024,22600617,223565982080,9489,9850,9963,474,5,9892,403,4.25,9536,9963,1400-8-11,2021-11-02
11,كدما,معدني‌ دماوند,7398,4384625,409663292570,93470,92500,92300,-1170,-1.25,93430,-40,-0.04,90010,96500,1400-8-11,2021-11-02
12,كيمياتك,آريان كيميا تك,7116,1879654,49198787560,26190,26470,26180,-10,-0.04,26170,-20,-0.08,25910,26900,1400-8-11,2021-11-02
13,فملي,ملي‌ صنايع‌ مس‌ ايران‌,6366,32826433,435921570420,13140,13210,13300,160,1.22,13280,140,1.07,13150,13390,1400-8-11,2021-11-02
14,غزر,صنعتي زر ماكارون,6248,25951712,276423958770,10160,10660,10660,500,4.92,10650,490,4.82,10450,10660,1400-8-11,2021-11-02
15,شتران,پالايش نفت تهران,5942,54913532,249527769490,4430,4480,4534,104,2.35,4544,114,2.57,4430,4637,1400-8-11,2021-11-02
16,خودرو,ايران‌ خودرو,5866,318838776,547628392112,1648,1698,1730,82,4.98,1718,70,4.25,1681,1730,1400-8-11,2021-11-02
17,كمند,صندوق س. با درآمد ثابت كمند,5633,227526608,2307889179441,10138,10145,10144,6,0.06,10143,5,0.05,10143,10145,1400-8-11,2021-11-02
18,سپيد,سپيد ماكيان,5410,4425748,245633679540,53350,52920,55700,2350,4.4,55500,2150,4.03,52010,56010,1400-8-11,2021-11-02
19,خساپا,سايپا,5174,280573282,438137368621,1500,1535,1575,75,5,1562,62,4.13,1515,1575,1400-8-11,2021-11-02
20,وسديد,گروه ‌صنعتي‌سديد,5045,94709535,92040360380,980,960,995,15,1.53,972,-8,-0.82,932,1011,1400-8-11,2021-11-02
21,شپترو,پتروشيمي آبادان,4927,119699149,434710041636,3799,3610,3718,-81,-2.13,3632,-167,-4.4,3610,3720,1400-8-11,2021-11-02
22,توسن,توسعه سامانه ي نرم افزاري نگين,4875,1062075,15462749925,13866,14559,14559,693,5,14559,693,5,14559,14559,1400-8-11,2021-11-02
23,وتجارت,بانك تجارت,4854,114687123,210301673645,1767,1800,1830,63,3.57,1834,67,3.79,1776,1855,1400-8-11,2021-11-02
24,غگيلا,شيرپاستوريزه پگاه گيلان,4806,6852911,117593328213,17101,16690,17640,539,3.15,17160,59,0.35,16246,17900,1400-8-11,2021-11-02
25,وهامون,سرمايه گذاري هامون صبا,4592,11985565,34404027840,2763,2850,2901,138,4.99,2870,107,3.87,2760,2901,1400-8-11,2021-11-02
26,نوري,پتروشيمي نوري,4398,4675605,520399338670,110250,110800,111670,1420,1.29,111300,1050,0.95,109750,112000,1400-8-11,2021-11-02
27,آريا,پليمر آريا ساسول,4366,2919965,323327450779,108310,108700,113490,5180,4.78,110730,2420,2.23,108001,113550,1400-8-11,2021-11-02
28,كرمان,س. توسعه و عمران استان كرمان,4359,131285920,132460861202,989,995,1017,28,2.83,1009,20,2.02,981,1029,1400-8-11,2021-11-02
29,امين,تامين سرمايه امين,4236,7291847,86414562240,11840,11860,11870,30,0.25,11850,10,0.08,11600,12010,1400-8-11,2021-11-02
30,خصدرا,صنعتي‌ دريايي‌ ايران‌,4128,99322967,260183932886,2545,2541,2672,127,4.99,2620,75,2.95,2422,2672,1400-8-11,2021-11-02
31,رافزا,رايان هم افزا,3915,617661,32693179714,54609,52060,53290,-1319,-2.42,52931,-1678,-3.07,52060,54200,1400-8-11,2021-11-02
32,كيان,صندوق س. با درآمد ثابت كيان,3829,58006753,1818852269248,31339,31355,31357,18,0.06,31356,17,0.05,31354,31358,1400-8-11,2021-11-02
33,وبصادر,بانك صادرات ايران,3716,100407757,179415205142,1729,1796,1780,51,2.95,1787,58,3.35,1740,1815,1400-8-11,2021-11-02
34,تسه0007,امتيازتسهيلات مسكن مهر1400,3702,104089,73356166460,703732,695000,712000,8268,1.17,704745,1013,0.14,690001,718989,1400-8-11,2021-11-02
35,ديران,ايران‌دارو,3554,10340716,250069280050,24920,23680,24720,-200,-0.8,24180,-740,-2.97,23680,25300,1400-8-11,2021-11-02
36,سپيدار,سپيدار سيستم آسيا,3402,1982105,35548636389,17106,17500,17961,855,5,17935,829,4.85,17500,17961,1400-8-11,2021-11-02
37,سمگا,گروه سرمايه گذاري ميراث فرهنگي,3354,66937687,614716749263,9595,9170,9220,-375,-3.91,9183,-412,-4.29,9116,9547,1400-8-11,2021-11-02
38,آبادا,توليد نيروي برق آبادان,3264,2284217,33154829810,14590,14600,14610,20,0.14,14510,-80,-0.55,14060,14730,1400-8-11,2021-11-02
39,ثشاهد,سرمايه‌ گذاري‌ شاهد,3257,16449341,190030888780,11580,11400,11520,-60,-0.52,11550,-30,-0.26,11080,11900,1400-8-11,2021-11-02
40,كاما,باما,3199,18309940,148433105750,8060,7870,8110,50,0.62,8110,50,0.62,7750,8290,1400-8-11,2021-11-02
41,سنير,سيمان‌ سفيد ني‌ريز,3124,1820358,153720677830,88290,84000,83880,-4410,-4.99,84450,-3840,-4.35,83880,86800,1400-8-11,2021-11-02
42,ذوب,سهامي ذوب آهن  اصفهان,3120,49900773,188449267097,3696,3750,3790,94,2.54,3776,80,2.16,3698,3840,1400-8-11,2021-11-02
43,صبا,سرمايه گذاري صبا تامين,3101,13396593,81755522264,6000,6080,6119,119,1.98,6076,76,1.27,5931,6146,1400-8-11,2021-11-02
44,وملي,گروه‌ صنعتي‌ ملي‌ (هلدينگ‌,3060,1127843,190978970420,177100,176500,168250,-8850,-5,169330,-7770,-4.39,168250,176500,1400-8-11,2021-11-02
45,شاروم,پتروشيمي اروميه,2982,2017026,26398745937,12835,12870,13290,455,3.54,13088,253,1.97,12820,13443,1400-8-11,2021-11-02
46,بكاب,صنايع‌جوشكاب‌يزد,2935,1289313,148589153290,120090,116840,116800,-3290,-2.74,115250,-4840,-4.03,114090,121400,1400-8-11,2021-11-02
