,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین,تاریخ,gregorian_date
0,پالايش,صندوق پالايشي يكم-سهام,18346,18343719,1285437169620,69350,69400,70100,750,1.08,70080,730,1.05,69390,70750,1400-9-7,2021-11-28
1,شستا,سرمايه گذاري تامين اجتماعي,15925,82320083,930007644550,11070,10810,11180,110,0.99,11300,230,2.08,10810,11620,1400-9-7,2021-11-28
2,دارا يكم,صندوق واسطه گري مالي يكم-سهام,12334,7626815,856354474540,111130,111000,112260,1130,1.02,112280,1150,1.03,111000,113950,1400-9-7,2021-11-28
3,انرژي3,سايراشخاص بورس انرژي,11547,8781365,935048669910,102230,103000,105250,3020,2.95,106480,4250,4.16,102230,107340,1400-9-7,2021-11-28
4,توسن,توسعه سامانه ي نرم افزاري نگين,11533,18101744,441841731215,23416,24350,24586,1170,5,24409,993,4.24,23612,24586,1400-9-7,2021-11-28
5,فولاد,فولاد مباركه اصفهان,9904,73268483,754752495350,10280,10110,10200,-80,-0.78,10300,20,0.19,10110,10450,1400-9-7,2021-11-28
6,فجهان,مجتمع جهان فولاد سيرجان,8836,28095044,153877102443,5602,5530,5431,-171,-3.05,5477,-125,-2.23,5341,5600,1400-9-7,2021-11-28
7,بورس,بورس اوراق بهادار تهران,8077,43578922,575774881580,13350,13350,12900,-450,-3.37,13210,-140,-1.05,12800,13670,1400-9-7,2021-11-28
8,كزغال,زغال سنگ پروده طبس,7751,2076932,62079529464,29748,28504,30410,662,2.23,29890,142,0.48,28504,30550,1400-9-7,2021-11-28
9,بركت,گروه دارويي بركت,7379,16199341,344695729750,21170,21290,21670,500,2.36,21280,110,0.52,20640,21690,1400-9-7,2021-11-28
10,فسبزوار,پارس فولاد سبزوار,7262,4903294,168777082400,34500,34090,34490,-10,-0.03,34420,-80,-0.23,34090,34700,1400-9-7,2021-11-28
11,شبندر,پالايش نفت بندرعباس,7184,80251038,487035840540,6110,6020,6050,-60,-0.98,6070,-40,-0.65,5920,6200,1400-9-7,2021-11-28
12,تپكو,توليدتجهيزات‌سنگين‌هپكو,7111,166895183,624819139074,3659,3680,3690,31,0.85,3744,85,2.32,3671,3768,1400-9-7,2021-11-28
13,وبملت,بانك ملت,6353,162855673,472540580454,2914,2850,2878,-36,-1.24,2902,-12,-0.41,2832,2970,1400-9-7,2021-11-28
14,شپنا,پالايش نفت اصفهان,6303,45005851,263588923990,5890,5780,5790,-100,-1.7,5860,-30,-0.51,5770,6000,1400-9-7,2021-11-28
15,خگستر,گسترش‌سرمايه‌گذاري‌ايران‌خودرو,6223,142934968,372899180846,2579,2530,2584,5,0.19,2609,30,1.16,2530,2659,1400-9-7,2021-11-28
16,كالا,بورس كالاي ايران,6022,13418596,389591414760,29660,29590,28200,-1460,-4.92,29030,-630,-2.12,28180,30330,1400-9-7,2021-11-28
17,فرابورس,فرابورس ايران,5944,15809680,336861205843,21880,21700,20789,-1091,-4.99,21307,-573,-2.62,20787,22200,1400-9-7,2021-11-28
18,پترول,گ.س.وت.ص.پتروشيمي خليج فارس,5801,87952443,240037055803,2773,2709,2707,-66,-2.38,2729,-44,-1.59,2671,2810,1400-9-7,2021-11-28
19,گدنا,تهيه توزيع غذاي دنا آفرين فدك,5650,8283147,130062740597,15951,15174,16240,289,1.81,15702,-249,-1.56,15174,16370,1400-9-7,2021-11-28
20,كيمياتك,آريان كيميا تك,5189,1867963,46343513200,25100,25000,25000,-100,-0.4,24810,-290,-1.16,24180,25520,1400-9-7,2021-11-28
21,لپارس,پارس‌ الكتريك‌,5110,2878896,317515675660,111620,111620,108000,-3620,-3.24,110290,-1330,-1.19,106040,116000,1400-9-7,2021-11-28
22,تسه0008,امتيازتسهيلات مسكن آبان1400,5103,170578,144488984730,823311,837000,850002,26691,3.24,847055,23744,2.88,835226,857999,1400-9-7,2021-11-28
23,خبهمن,گروه‌بهمن‌,4908,155336570,325126332858,2059,2049,2099,40,1.94,2093,34,1.65,2045,2131,1400-9-7,2021-11-28
24,شفن,پتروشيمي فناوران,4902,23718471,402210051420,16330,16330,17100,770,4.72,16960,630,3.86,16170,17140,1400-9-7,2021-11-28
25,كمند,صندوق س. با درآمد ثابت كمند,4556,180530730,1827255219822,10116,10121,10122,6,0.06,10122,6,0.06,10121,10123,1400-9-7,2021-11-28
26,كدما,معدني‌ دماوند,4514,2461093,198564513780,82540,80000,79880,-2660,-3.22,80680,-1860,-2.25,79410,83690,1400-9-7,2021-11-28
27,خمحور,توليدمحورخودرو,4488,140855090,521764089538,3645,3827,3827,182,4.99,3704,59,1.62,3463,3827,1400-9-7,2021-11-28
28,پارس,پتروشيمي پارس,4411,3617783,713364272160,187970,197360,196000,8030,4.27,197180,9210,4.9,194000,197360,1400-9-7,2021-11-28
29,مديريت,س. و خدمات مديريت صند. ب كشوري,4313,4009886,35730674582,9026,9050,8852,-174,-1.93,8911,-115,-1.27,8810,9050,1400-9-7,2021-11-28
30,كرمان,س. توسعه و عمران استان كرمان,4273,130845617,128272104943,973,978,975,2,0.21,980,7,0.72,955,999,1400-9-7,2021-11-28
31,شلرد,كود شيميايي اوره لردگان,4172,43237445,532020647869,12644,12265,12400,-244,-1.93,12305,-339,-2.68,12265,12589,1400-9-7,2021-11-28
32,نوري,پتروشيمي نوري,3885,2140733,246105826360,114240,112430,115380,1140,1,114960,720,0.63,112430,116400,1400-9-7,2021-11-28
33,شتران,پالايش نفت تهران,3859,34719791,145051499616,4148,4061,4190,42,1.01,4178,30,0.72,4061,4258,1400-9-7,2021-11-28
34,وصنعت,سرمايه گذاري توسعه صنعت وتجارت,3671,39926905,305210852830,7330,7490,7390,60,0.82,7640,310,4.23,7380,7690,1400-9-7,2021-11-28
35,وتجارت,بانك تجارت,3555,73917270,131968863890,1788,1768,1790,2,0.11,1785,-3,-0.17,1760,1820,1400-9-7,2021-11-28
36,فاذر,صنايع‌ آذرآب‌,3523,125435711,110673943728,920,900,885,-35,-3.8,882,-38,-4.13,874,909,1400-9-7,2021-11-28
37,شفنح,ح . پتروشيمي فناوران,3514,25940016,314714940240,11880,11810,12170,290,2.44,12130,250,2.1,11810,12460,1400-9-7,2021-11-28
38,غزر,صنعتي زر ماكارون,3428,4927161,51301390810,10250,10110,10330,80,0.78,10410,160,1.56,10100,10630,1400-9-7,2021-11-28
39,خزاميا,زامياد,3190,35314655,274311525100,7430,7620,7790,360,4.85,7770,340,4.58,7470,7800,1400-9-7,2021-11-28
40,ختور,رادياتور ايران‌,3182,19065894,324695979230,17890,17260,17000,-890,-4.97,17030,-860,-4.81,17000,17800,1400-9-7,2021-11-28
41,وخارزم,سرمايه گذاري خوارزمي,3105,33209526,141767815305,4314,4160,4270,-44,-1.02,4269,-45,-1.04,4160,4359,1400-9-7,2021-11-28
42,سپيد,سپيد ماكيان,3026,1520372,92787944270,60450,60080,61000,550,0.91,61030,580,0.96,60080,61600,1400-9-7,2021-11-28
43,لابسا,آبسال‌,3007,7433033,279135473670,35950,37700,36700,750,2.09,37550,1600,4.45,36000,37740,1400-9-7,2021-11-28
44,امين,تامين سرمايه امين,2936,1593612,19523653080,12230,12260,12250,20,0.16,12240,10,0.08,12230,12300,1400-9-7,2021-11-28
45,خنصير,مهندسي‌نصيرماشين‌,2933,12975639,258112335190,20810,20200,19770,-1040,-5,19890,-920,-4.42,19770,20700,1400-9-7,2021-11-28
46,سحرخيز,صندوق س. گروه زعفران سحرخيز,2908,6244791,128087168810,21271,21070,20450,-821,-3.86,20511,-760,-3.57,19831,21170,1400-9-7,2021-11-28
47,كاما,باما,2897,17269962,137266748170,8010,8000,7900,-110,-1.37,7950,-60,-0.75,7800,8140,1400-9-7,2021-11-28
48,سپيدار,سپيدار سيستم آسيا,2791,1071824,19190317694,18218,17500,18001,-217,-1.19,17904,-314,-1.72,17491,18218,1400-9-7,2021-11-28
49,بركتح,ح . گروه دارويي بركت,2772,5302327,95839578830,17650,17630,18280,630,3.57,18080,430,2.44,17630,18490,1400-9-7,2021-11-28
50,خصدرا,صنعتي‌ دريايي‌ ايران‌,2750,57950800,133079704097,2382,2376,2271,-111,-4.66,2296,-86,-3.61,2263,2445,1400-9-7,2021-11-28
51,بوعلي,پتروشيمي بوعلي سينا,2750,860399,61849798030,72130,70050,71850,-280,-0.39,71980,-150,-0.21,70050,73200,1400-9-7,2021-11-28
