,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین,تاریخ,gregorian_date
0,سپيد,سپيد ماكيان,123697,39914124,1491191672640,35590,37360,37360,1770,4.97,37360,1770,4.97,37360,37360,1400-5-16,2021-08-07
1,دي,بانك دي,27212,886020366,1011197448000,1129,1129,1132,3,0.27,1141,12,1.06,1120,1178,1400-5-16,2021-08-07
2,شستا,سرمايه گذاري تامين اجتماعي,26868,123349176,1651700973500,13500,13700,13230,-270,-2,13390,-110,-0.81,13110,13840,1400-5-16,2021-08-07
3,دارا يكم,صندوق واسطه گري مالي يكم-سهام,26338,18362924,2233373743960,115440,117600,121960,6520,5.65,121620,6180,5.35,117450,123500,1400-5-16,2021-08-07
4,وهامون,سرمايه گذاري هامون صبا,24242,11777293,29984987978,2425,2546,2546,121,4.99,2546,121,4.99,2546,2546,1400-5-16,2021-08-07
5,لطيف,محصولات كاغذي لطيف,22221,1897539,100276175688,54540,54540,52562,-1978,-3.63,52845,-1695,-3.11,52000,54540,1400-5-16,2021-08-07
6,پالايش,صندوق پالايشي يكم-سهام,20654,17653675,1248574174310,70500,71460,70300,-200,-0.28,70730,230,0.33,70050,71620,1400-5-16,2021-08-07
7,فملي,ملي‌ صنايع‌ مس‌ ايران‌,18164,75721493,1054004098500,14020,14250,13850,-170,-1.21,13920,-100,-0.71,13630,14470,1400-5-16,2021-08-07
8,فارس,صنايع پتروشيمي خليج فارس,16943,268665288,3425580539120,12190,12790,12690,500,4.1,12750,560,4.59,12500,12790,1400-5-16,2021-08-07
9,خساپا,سايپا,16883,691582369,1253070802794,1744,1759,1796,52,2.98,1812,68,3.9,1755,1831,1400-5-16,2021-08-07
10,ومدير,گ.مديريت ارزش سرمايه ص ب كشوري,16575,166375851,737428318904,4324,4381,4525,201,4.65,4432,108,2.5,4347,4540,1400-5-16,2021-08-07
11,بركت,گروه دارويي بركت,15800,26954978,1076135446830,39150,40200,39650,500,1.28,39920,770,1.97,39390,41000,1400-5-16,2021-08-07
12,ولكار,ليزينگ كارآفرين,15210,12790554,52543368171,4221,4220,4115,-106,-2.51,4108,-113,-2.68,4010,4220,1400-5-16,2021-08-07
13,شپنا,پالايش نفت اصفهان,14841,128617021,1631157506590,12710,12900,12630,-80,-0.63,12680,-30,-0.24,12500,12990,1400-5-16,2021-08-07
14,وبملت,بانك ملت,14093,518677418,2019741570785,3715,3770,3900,185,4.98,3894,179,4.82,3770,3900,1400-5-16,2021-08-07
15,گدنا,تهيه توزيع غذاي دنا آفرين فدك,13699,9583231,206434100663,21998,22743,20899,-1099,-5,21541,-457,-2.08,20899,22780,1400-5-16,2021-08-07
16,خودرو,ايران‌ خودرو,13049,332572824,668471478363,1971,1990,2002,31,1.57,2010,39,1.98,1989,2049,1400-5-16,2021-08-07
17,وتجارت,بانك تجارت,12206,331971925,844380918114,2450,2461,2549,99,4.04,2544,94,3.84,2461,2572,1400-5-16,2021-08-07
18,فگستر,گسترش صنايع روي ايرانيان,11896,6924956,100795478675,14949,14970,14390,-559,-3.74,14555,-394,-2.64,14250,15250,1400-5-16,2021-08-07
19,پترول,گ.س.وت.ص.پتروشيمي خليج فارس,11808,72275052,766528967330,10720,10870,10520,-200,-1.87,10610,-110,-1.03,10450,10870,1400-5-16,2021-08-07
20,فتوسا,توليد و توسعه سرب روي ايرانيان,11652,10156408,148621913748,14998,15270,14400,-598,-3.99,14633,-365,-2.43,14249,15270,1400-5-16,2021-08-07
21,نوري,پتروشيمي نوري,11439,8924893,845882366880,96860,98800,94200,-2660,-2.75,94780,-2080,-2.15,92330,99500,1400-5-16,2021-08-07
22,شتران,پالايش نفت تهران,10539,64622615,595614044460,9380,9460,9120,-260,-2.77,9220,-160,-1.71,9100,9480,1400-5-16,2021-08-07
23,آريا,پليمر آريا ساسول,10195,6511051,699491052560,108264,108697,108260,-4,0,107431,-833,-0.77,105000,112500,1400-5-16,2021-08-07
24,ثبهساز,بهساز كاشانه تهران,9865,55497703,125156934590,2204,2210,2314,110,4.99,2255,51,2.31,2210,2314,1400-5-16,2021-08-07
25,كاما,باما,9807,56122807,653476436460,12180,12170,11590,-590,-4.84,11640,-540,-4.43,11580,12170,1400-5-16,2021-08-07
