,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین,تاریخ,gregorian_date
0,دارا يكم,صندوق واسطه گري مالي يكم-سهام,24903,20562096,2360515213050,111860,112000,114940,3080,2.75,114800,2940,2.63,111600,116660,1400-9-9,2021-11-30
1,پالايش,صندوق پالايشي يكم-سهام,18096,18963343,1330095089670,70310,70100,69890,-420,-0.6,70140,-170,-0.24,69500,71010,1400-9-9,2021-11-30
2,وبملت,بانك ملت,10360,309661866,927286290065,2863,2890,3006,143,4.99,2995,132,4.61,2866,3006,1400-9-9,2021-11-30
3,شستا,سرمايه گذاري تامين اجتماعي,9551,50034910,559791098520,11240,11420,11100,-140,-1.25,11190,-50,-0.44,11080,11420,1400-9-9,2021-11-30
4,فولاد,فولاد مباركه اصفهان,9364,56379579,569508052650,10220,10250,10020,-200,-1.96,10100,-120,-1.17,10020,10250,1400-9-9,2021-11-30
5,نوري,پتروشيمي نوري,8136,5060281,562908054980,115350,114900,110450,-4900,-4.25,111240,-4110,-3.56,109590,114900,1400-9-9,2021-11-30
6,فجهان,مجتمع جهان فولاد سيرجان,7596,38439471,205965681548,5415,5325,5417,2,0.04,5358,-57,-1.05,5220,5502,1400-9-9,2021-11-30
7,كمند,صندوق س. با درآمد ثابت كمند,7157,316965218,3211757123271,10126,10132,10133,7,0.07,10133,7,0.07,10132,10134,1400-9-9,2021-11-30
8,بركت,گروه دارويي بركت,6956,18761775,403704192600,22030,22030,21110,-920,-4.18,21520,-510,-2.32,20930,22250,1400-9-9,2021-11-30
9,كوير,توليدي فولاد سپيد فراب كوير,6730,7947913,47923685400,5990,5880,6020,30,0.5,6020,30,0.5,5880,6070,1400-9-9,2021-11-30
10,خگستر,گسترش‌سرمايه‌گذاري‌ايران‌خودرو,6507,164903123,440469858239,2667,2650,2638,-29,-1.09,2671,4,0.15,2609,2760,1400-9-9,2021-11-30
11,فسبزوار,پارس فولاد سبزوار,6411,5453079,184837043690,34180,33800,33610,-570,-1.67,33900,-280,-0.82,33400,34180,1400-9-9,2021-11-30
12,وگردش,بانك گردشگري,6376,110633294,1350507565248,11941,12299,12298,357,2.99,12207,266,2.23,11810,12299,1400-9-9,2021-11-30
13,كدما,معدني‌ دماوند,6206,3855613,298124272640,80580,81100,76560,-4020,-4.99,77320,-3260,-4.05,76560,81100,1400-9-9,2021-11-30
14,خبنيان,بنيان ديزل,6109,445494,93176757002,203909,210026,209900,5991,2.94,209154,5245,2.57,198800,210026,1400-9-9,2021-11-30
15,وبصادر,بانك صادرات ايران,6012,210051589,383539598640,1744,1741,1831,87,4.99,1826,82,4.7,1741,1831,1400-9-9,2021-11-30
16,پترول,گ.س.وت.ص.پتروشيمي خليج فارس,5993,80246087,210512165212,2710,2698,2610,-100,-3.69,2623,-87,-3.21,2580,2737,1400-9-9,2021-11-30
17,انرژي3,سايراشخاص بورس انرژي,5697,3202504,328600959060,103900,102000,101840,-2060,-1.98,102610,-1290,-1.24,99000,105900,1400-9-9,2021-11-30
18,وسديد,گروه ‌صنعتي‌سديد,5555,105317429,133348160128,1233,1210,1266,33,2.68,1266,33,2.68,1210,1269,1400-9-9,2021-11-30
19,كاما,باما,5524,34737754,261624398810,7860,7890,7470,-390,-4.96,7530,-330,-4.2,7470,7890,1400-9-9,2021-11-30
20,خبهمن,گروه‌بهمن‌,5304,170620328,353454579777,2101,2069,2055,-46,-2.19,2072,-29,-1.38,2030,2147,1400-9-9,2021-11-30
21,شبندر,پالايش نفت بندرعباس,4975,54344458,327218810180,6070,6070,5990,-80,-1.32,6020,-50,-0.82,5970,6180,1400-9-9,2021-11-30
22,شپنا,پالايش نفت اصفهان,4782,38738354,223786084120,5850,5820,5720,-130,-2.22,5780,-70,-1.2,5680,5920,1400-9-9,2021-11-30
23,كرمان,س. توسعه و عمران استان كرمان,4429,127916807,122719388760,977,975,956,-21,-2.15,959,-18,-1.84,950,978,1400-9-9,2021-11-30
24,بورس,بورس اوراق بهادار تهران,4363,26649936,321130989540,12630,12480,12000,-630,-4.99,12050,-580,-4.59,12000,12480,1400-9-9,2021-11-30
25,ختوقا,قطعات‌ اتومبيل‌ ايران‌,4320,146416253,417929913905,2793,2932,2741,-52,-1.86,2854,61,2.18,2715,2932,1400-9-9,2021-11-30
26,وتجارت,بانك تجارت,4045,150187969,278967127436,1780,1790,1869,89,5,1857,77,4.33,1790,1869,1400-9-9,2021-11-30
27,شفن,پتروشيمي فناوران,4038,11753357,196116664270,17270,17490,16480,-790,-4.57,16690,-580,-3.36,16410,17490,1400-9-9,2021-11-30
28,كيمياتك,آريان كيميا تك,4033,1038102,25963858600,24920,25000,24920,0,0,25010,90,0.36,24920,25100,1400-9-9,2021-11-30
29,كالا,بورس كالاي ايران,4006,13253540,350358473770,27740,26510,26360,-1380,-4.97,26440,-1300,-4.69,26360,27250,1400-9-9,2021-11-30
30,فرابورس,فرابورس ايران,4001,12816519,248808312723,20358,20000,19341,-1017,-5,19413,-945,-4.64,19341,20000,1400-9-9,2021-11-30
31,سمگا,گروه سرمايه گذاري ميراث فرهنگي,3701,146002982,1941410898772,13995,13296,13400,-595,-4.25,13297,-698,-4.99,13296,13410,1400-9-9,2021-11-30
32,وفتخار,سرمايه گذاري افتخار سهام,3660,18711096,39891462541,2081,2129,2143,62,2.98,2132,51,2.45,2024,2143,1400-9-9,2021-11-30
33,مديريت,س. و خدمات مديريت صند. ب كشوري,3629,3340528,29143575064,8788,8675,8696,-92,-1.05,8724,-64,-0.73,8650,8888,1400-9-9,2021-11-30
34,تسه0008,امتيازتسهيلات مسكن آبان1400,3301,122497,102147149498,841154,835001,827610,-13544,-1.61,833875,-7279,-0.87,825000,853999,1400-9-9,2021-11-30
35,كزغال,زغال سنگ پروده طبس,3237,3766768,121735456354,31158,31420,31735,577,1.85,32318,1160,3.72,31420,32715,1400-9-9,2021-11-30
36,سپيد,سپيد ماكيان,3190,4951369,288140726820,60840,60000,57800,-3040,-5,58190,-2650,-4.36,57800,60010,1400-9-9,2021-11-30
37,غصينو,صنعتي مينو,3150,11516611,249694270939,20861,20861,21904,1043,5,21681,820,3.93,20180,21904,1400-9-9,2021-11-30
38,ثشاهد,سرمايه‌ گذاري‌ شاهد,3137,27510414,297979611300,11290,11360,10740,-550,-4.87,10830,-460,-4.07,10730,11390,1400-9-9,2021-11-30
39,خزاميا,زامياد,2984,29984059,233477456930,8070,7970,7670,-400,-4.96,7790,-280,-3.47,7670,8140,1400-9-9,2021-11-30
40,شتران,پالايش نفت تهران,2945,21289491,89723097561,4215,4240,4193,-22,-0.52,4215,0,0,4170,4288,1400-9-9,2021-11-30
41,سپيدار,سپيدار سيستم آسيا,2845,3993827,71752745383,17907,17446,18150,243,1.36,17966,59,0.33,17446,18690,1400-9-9,2021-11-30
42,شصدف,صنعتي دوده فام,2814,3930989,136637572852,33893,34000,34300,407,1.2,34759,866,2.56,34000,35410,1400-9-9,2021-11-30
43,غزر,صنعتي زر ماكارون,2804,3844249,40095142940,10540,10450,10500,-40,-0.38,10430,-110,-1.04,10300,10670,1400-9-9,2021-11-30
44,كيان,صندوق س. با درآمد ثابت كيان,2803,40776946,1297489089221,31801,31818,31821,20,0.06,31819,18,0.06,31818,31821,1400-9-9,2021-11-30
45,بركتح,ح . گروه دارويي بركت,2737,6945096,124153140250,18750,18110,17560,-1190,-6.35,17880,-870,-4.64,17490,18800,1400-9-9,2021-11-30
46,امين,تامين سرمايه امين,2713,1318894,16199749940,12260,12290,12290,30,0.24,12270,10,0.08,12270,12300,1400-9-9,2021-11-30
47,آريا,پليمر آريا ساسول,2700,806030,90910124153,113440,111861,112630,-810,-0.71,112834,-606,-0.53,111861,113501,1400-9-9,2021-11-30
48,خمهرح,ح . مهركام‌پارس‌,2696,49070183,46683505042,938,956,931,-7,-0.75,951,13,1.39,918,989,1400-9-9,2021-11-30
49,صبا,سرمايه گذاري صبا تامين,2693,18642042,111860393818,6025,6030,5993,-32,-0.53,6000,-25,-0.41,5975,6050,1400-9-9,2021-11-30
50,وخارزم,سرمايه گذاري خوارزمي,2635,28972320,125391869134,4244,4252,4320,76,1.79,4328,84,1.98,4165,4450,1400-9-9,2021-11-30
