,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین,تاریخ,gregorian_date
0,ولكار,ليزينگ كارآفرين,90295,44197532,199172904744,4630,4480,4436,-194,-4.19,4506,-124,-2.68,4399,4698,1400-4-21,2021-07-12
1,ومدير,گ.مديريت ارزش سرمايه ص ب كشوري,61677,121239522,543419231141,4607,4590,4457,-150,-3.26,4482,-125,-2.71,4401,4600,1400-4-21,2021-07-12
2,لطيف,محصولات كاغذي لطيف,61331,1514773,88400637507,55580,58359,58359,2779,5,58359,2779,5,58359,58359,1400-4-21,2021-07-12
3,شستا,سرمايه گذاري تامين اجتماعي,32288,130348005,1691485392060,12940,13170,12790,-150,-1.16,12980,40,0.31,12700,13280,1400-4-21,2021-07-12
4,فتوسا,توليد و توسعه سرب روي ايرانيان,30448,10176866,166605654949,16034,16031,16101,67,0.42,16371,337,2.1,16031,16800,1400-4-21,2021-07-12
5,بركت,گروه دارويي بركت,29857,50459003,1993767451570,41090,41090,39040,-2050,-4.99,39510,-1580,-3.85,39040,41100,1400-4-21,2021-07-12
6,گدنا,تهيه توزيع غذاي دنا آفرين فدك,28319,13314792,303647516773,21832,22000,22923,1091,5,22805,973,4.46,21999,22923,1400-4-21,2021-07-12
7,پالايش,صندوق پالايشي يكم-سهام,22370,20899602,1461017006000,69740,70110,69300,-440,-0.63,69910,170,0.24,69200,70490,1400-4-21,2021-07-12
8,فولاد,فولاد مباركه اصفهان,19250,156216780,1695540395300,10540,10660,10740,200,1.9,10850,310,2.94,10610,11060,1400-4-21,2021-07-12
9,فملي,ملي‌ صنايع‌ مس‌ ايران‌,18918,106208763,1383102268310,12880,13110,12860,-20,-0.16,13020,140,1.09,12840,13340,1400-4-21,2021-07-12
10,فگستر,گسترش صنايع روي ايرانيان,16822,2125190,33225220460,14890,15634,15634,744,5,15634,744,5,15634,15634,1400-4-21,2021-07-12
11,شپنا,پالايش نفت اصفهان,16478,110060130,1427117752810,12650,12890,12790,140,1.11,12970,320,2.53,12740,13220,1400-4-21,2021-07-12
12,دارا يكم,صندوق واسطه گري مالي يكم-سهام,15829,10878068,1342547286610,122170,122600,122400,230,0.19,123420,1250,1.02,122320,124700,1400-4-21,2021-07-12
13,غكورش,صنعت غذايي كورش,15741,5338698,204486323880,38410,38200,38060,-350,-0.91,38300,-110,-0.29,37950,38840,1400-4-21,2021-07-12
14,شتران,پالايش نفت تهران,14397,178120820,1731242889550,9310,9490,9610,300,3.22,9720,410,4.4,9360,9770,1400-4-21,2021-07-12
15,كرمان,س. توسعه و عمران استان كرمان,13755,431973693,599192323915,1406,1385,1374,-32,-2.28,1387,-19,-1.35,1364,1420,1400-4-21,2021-07-12
16,خگستر,گسترش‌سرمايه‌گذاري‌ايران‌خودرو,13364,385495719,1033545328677,2579,2670,2638,59,2.29,2681,102,3.96,2622,2707,1400-4-21,2021-07-12
17,خودرو,ايران‌ خودرو,12838,315068306,660023364670,2081,2111,2060,-21,-1.01,2095,14,0.67,2054,2145,1400-4-21,2021-07-12
18,چخزر,صنايع چوب خزر كاسپين,12479,1598635,58992749461,37172,36450,36480,-692,-1.86,36902,-270,-0.73,36200,37850,1400-4-21,2021-07-12
19,خساپا,سايپا,11577,374566999,707123739952,1877,1910,1862,-15,-0.8,1888,11,0.59,1856,1934,1400-4-21,2021-07-12
20,وبصادر,بانك صادرات ايران,10242,379284857,865306143905,2185,2200,2281,96,4.39,2281,96,4.39,2200,2294,1400-4-21,2021-07-12
21,غزر,صنعتي زر ماكارون,9559,4465301,108601560160,23700,23400,24300,600,2.53,24320,620,2.62,23400,24850,1400-4-21,2021-07-12
22,ثبهساز,بهساز كاشانه تهران,9358,66914272,143306352346,2179,2168,2108,-71,-3.26,2142,-37,-1.7,2090,2200,1400-4-21,2021-07-12
23,بوعلي,پتروشيمي بوعلي سينا,9290,3607603,181428095830,50890,50980,49670,-1220,-2.4,50290,-600,-1.18,49550,51250,1400-4-21,2021-07-12
24,وتجارت,بانك تجارت,9264,189675419,510516327747,2631,2650,2655,24,0.91,2692,61,2.32,2641,2759,1400-4-21,2021-07-12
25,رافزا,رايان هم افزا,9260,2121381,176043997423,79430,80250,80900,1470,1.85,82986,3556,4.48,80250,83401,1400-4-21,2021-07-12
26,وخارزم,سرمايه گذاري خوارزمي,9117,88222065,556017954330,6070,6200,6170,100,1.65,6300,230,3.79,6080,6370,1400-4-21,2021-07-12
27,كزغال,زغال سنگ پروده طبس,9014,5410854,200291915368,36122,35800,36790,668,1.85,37017,895,2.48,35800,37800,1400-4-21,2021-07-12
28,زملارد,كشاورزي و دامپروري ملارد شير,8578,1358846,40277613708,30327,29500,29670,-657,-2.17,29641,-686,-2.26,29159,30299,1400-4-21,2021-07-12
29,ذوب,سهامي ذوب آهن  اصفهان,8102,186457786,702090836392,3697,3795,3730,33,0.89,3765,68,1.84,3697,3831,1400-4-21,2021-07-12
30,شاروم,پتروشيمي اروميه,7942,4226209,65855337746,15279,15790,15360,81,0.53,15583,304,1.99,15281,15975,1400-4-21,2021-07-12
31,نطرين,عطرين نخ قم,7743,44981477,475441921137,10814,10274,10679,-135,-1.25,10570,-244,-2.26,10274,10870,1400-4-21,2021-07-12
32,ولصنم,ليزينگ‌صنعت‌ومعدن‌,7377,46031763,378606913850,8280,8360,8390,110,1.33,8220,-60,-0.72,7940,8450,1400-4-21,2021-07-12
33,وبملت,بانك ملت,7292,179043864,732113196317,3975,4021,4060,85,2.14,4089,114,2.87,4004,4170,1400-4-21,2021-07-12
34,وكبهمن,مديريت سرمايه گذاري كوثربهمن,7051,1672465,19339653035,11552,11695,11410,-142,-1.23,11564,12,0.1,11320,11830,1400-4-21,2021-07-12
35,سيتا,سرمايه گذاري سيمان تامين,6921,10104418,155179865430,15590,16000,15150,-440,-2.82,15360,-230,-1.48,15110,16000,1400-4-21,2021-07-12
36,ولپارس,ليزينگ پارسيان,6631,6870171,29717890310,4308,4370,4310,2,0.05,4326,18,0.42,4202,4460,1400-4-21,2021-07-12
37,پترول,گ.س.وت.ص.پتروشيمي خليج فارس,6599,38230825,370694940030,9670,9680,9600,-70,-0.72,9700,30,0.31,9540,9900,1400-4-21,2021-07-12
38,ثاميد,توسعه و عمران اميد,6370,58537910,100206273669,1739,1760,1682,-57,-3.28,1712,-27,-1.55,1680,1769,1400-4-21,2021-07-12
39,هماي,صندوق س هماي آگاه-ثابت,6257,18253503,182535030000,10000,10000,10000,0,0,10000,0,0,10000,10000,1400-4-21,2021-07-12
40,ميهن,بيمه ميهن,5977,72265050,329491562889,4639,4408,4591,-48,-1.03,4559,-80,-1.72,4408,4738,1400-4-21,2021-07-12
41,آبادا,توليد نيروي برق آبادان,5941,4023355,49203601610,12600,12280,12070,-530,-4.21,12230,-370,-2.94,12000,12600,1400-4-21,2021-07-12
42,سصفها,سيمان‌اصفهان‌,5936,9029374,565100893680,61150,62380,63900,2750,4.5,62580,1430,2.34,59410,64180,1400-4-21,2021-07-12
43,كالا,بورس كالاي ايران,5899,18363638,332016255350,15700,18640,17760,2060,13.12,18080,2380,15.16,17710,18650,1400-4-21,2021-07-12
44,خزر,فنرسازي‌زر,5763,23744613,524939984010,21100,21850,22150,1050,4.98,22110,1010,4.79,21600,22150,1400-4-21,2021-07-12
45,خپارس,پارس‌ خودرو,5689,290777782,352540054948,1207,1220,1203,-4,-0.33,1212,5,0.41,1191,1242,1400-4-21,2021-07-12
