,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین,تاریخ,gregorian_date
0,شستا,سرمايه گذاري تامين اجتماعي,43837,236542345,2601216832340,11020,10860,10970,-50,-0.45,11000,-20,-0.18,10860,11160,1400-10-8,2021-12-29
1,پالايش,صندوق پالايشي يكم-سهام,23416,27488744,1962482837980,72060,71900,70680,-1380,-1.92,71390,-670,-0.93,70620,72180,1400-10-8,2021-12-29
2,دارا يكم,صندوق واسطه گري مالي يكم-سهام,20481,16160385,1824747319700,111770,112000,111670,-100,-0.09,112910,1140,1.02,111160,114560,1400-10-8,2021-12-29
3,خودرو,ايران‌ خودرو,12508,433094222,865090336824,2010,2018,1969,-41,-2.04,1997,-13,-0.65,1950,2055,1400-10-8,2021-12-29
4,ضخود1052,اختيارخ خودرو-2000-1400/10/08,10772,548562,2224901000,15,16,1,-14,-93.33,4,-11,-73.33,1,17,1400-10-8,2021-12-29
5,فرابورس,فرابورس ايران,10462,45161127,857394751674,18576,19220,18720,144,0.78,18985,409,2.2,18540,19400,1400-10-8,2021-12-29
6,خپارس,پارس‌ خودرو,10119,599367738,649893012038,1041,1035,1077,36,3.46,1084,43,4.13,1035,1093,1400-10-8,2021-12-29
7,بركتح,ح . گروه دارويي بركت,9160,29966836,358054770910,12790,12490,11610,-1180,-9.23,11950,-840,-6.57,11520,12500,1400-10-8,2021-12-29
8,فملي,ملي‌ صنايع‌ مس‌ ايران‌,8531,117936110,853023583920,7280,7280,7290,10,0.14,7230,-50,-0.69,7150,7350,1400-10-8,2021-12-29
9,وبملت,بانك ملت,8397,269846258,873704901658,3113,3137,3184,71,2.28,3238,125,4.02,3110,3268,1400-10-8,2021-12-29
10,بركت,گروه دارويي بركت,8354,27310296,472195376120,17290,17490,17200,-90,-0.52,17290,0,0,16850,17790,1400-10-8,2021-12-29
11,خساپا,سايپا,8247,276142339,472543889193,1716,1716,1681,-35,-2.04,1711,-5,-0.29,1677,1758,1400-10-8,2021-12-29
12,شبندر,پالايش نفت بندرعباس,7989,79004995,523494358170,6750,6770,6550,-200,-2.96,6630,-120,-1.78,6530,6830,1400-10-8,2021-12-29
13,فولاد,فولاد مباركه اصفهان,7422,79734418,863067247710,10960,10940,10680,-280,-2.55,10820,-140,-1.28,10680,11070,1400-10-8,2021-12-29
14,شتران,پالايش نفت تهران,6504,83151053,352196083768,4304,4275,4160,-144,-3.35,4236,-68,-1.58,4150,4320,1400-10-8,2021-12-29
15,وتجارت,بانك تجارت,6291,194316245,387733651457,1959,1930,1965,6,0.31,1995,36,1.84,1930,2050,1400-10-8,2021-12-29
16,وبرق,س.کارکنان صنعت برق زنجان وقزوي,5996,7632204,863841172099,108156,113563,113563,5407,5,113184,5028,4.65,109000,113563,1400-10-8,2021-12-29
17,وبصادر,بانك صادرات ايران,5868,244106403,478261670030,1901,1900,1932,31,1.63,1959,58,3.05,1900,1996,1400-10-8,2021-12-29
18,حآفرين,ريل پرداز نو آفرين,5868,112684741,491448658292,4562,4588,4334,-228,-5,4361,-201,-4.41,4334,4590,1400-10-8,2021-12-29
19,كالا,بورس كالاي ايران,5860,13293169,408267396700,30670,31500,30100,-570,-1.86,30710,40,0.13,29980,31700,1400-10-8,2021-12-29
20,خنصير,مهندسي‌نصيرماشين‌,5454,29060241,546953653140,18400,19320,18090,-310,-1.68,18820,420,2.28,17620,19320,1400-10-8,2021-12-29
21,شپنا,پالايش نفت اصفهان,5438,41669390,262024172770,6400,6390,6270,-130,-2.03,6290,-110,-1.72,6150,6470,1400-10-8,2021-12-29
22,خگستر,گسترش‌سرمايه‌گذاري‌ايران‌خودرو,5384,163253071,393871678641,2381,2400,2365,-16,-0.67,2413,32,1.34,2352,2488,1400-10-8,2021-12-29
23,بورس,بورس اوراق بهادار تهران,4916,31188548,369035428840,11840,11970,11570,-270,-2.28,11830,-10,-0.08,11450,12140,1400-10-8,2021-12-29
24,خزاميا,زامياد,4908,49111994,414867861130,8210,8470,8230,20,0.24,8450,240,2.92,8130,8620,1400-10-8,2021-12-29
