,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین,تاریخ,gregorian_date
0,ولكار,ليزينگ كارآفرين,119069,61326266,283934580956,4770,4790,4553,-217,-4.55,4630,-140,-2.94,4535,4790,1400-4-20,2021-07-11
1,لطيف,محصولات كاغذي لطيف,66170,1703826,94698649080,52934,55580,55580,2646,5,55580,2646,5,55580,55580,1400-4-20,2021-07-11
2,شستا,سرمايه گذاري تامين اجتماعي,44046,214903992,2781019850870,13170,12650,13040,-130,-0.99,12940,-230,-1.75,12560,13230,1400-4-20,2021-07-11
3,گدنا,تهيه توزيع غذاي دنا آفرين فدك,34075,11739699,256295769898,22356,22000,21999,-357,-1.6,21832,-524,-2.34,21350,22832,1400-4-20,2021-07-11
4,ومدير,گ.مديريت ارزش سرمايه ص ب كشوري,33119,118404276,545443771827,4551,4620,4579,28,0.62,4607,56,1.23,4480,4699,1400-4-20,2021-07-11
5,فتوسا,توليد و توسعه سرب روي ايرانيان,30914,12790906,205095445431,15758,15770,15900,142,0.9,16034,276,1.75,15030,16300,1400-4-20,2021-07-11
6,كرمان,س. توسعه و عمران استان كرمان,21330,700156387,984254479605,1391,1420,1388,-3,-0.22,1406,15,1.08,1360,1449,1400-4-20,2021-07-11
7,پالايش,صندوق پالايشي يكم-سهام,21178,19914470,1388818683910,69180,69030,70010,830,1.2,69740,560,0.81,69020,70140,1400-4-20,2021-07-11
8,بركت,گروه دارويي بركت,19131,31129712,1279273185350,40380,41370,40900,520,1.29,41090,710,1.76,40500,41800,1400-4-20,2021-07-11
9,فملي,ملي‌ صنايع‌ مس‌ ايران‌,17982,93706526,1207112113900,12660,12600,12990,330,2.61,12880,220,1.74,12600,13120,1400-4-20,2021-07-11
10,فگستر,گسترش صنايع روي ايرانيان,17340,4188839,62373870884,14250,14800,14962,712,5,14890,640,4.49,14359,14962,1400-4-20,2021-07-11
11,خودرو,ايران‌ خودرو,16135,496798035,1033636499054,2023,2003,2112,89,4.4,2081,58,2.87,1996,2123,1400-4-20,2021-07-11
12,شپنا,پالايش نفت اصفهان,15218,105282413,1332139207630,12280,12180,12810,530,4.32,12650,370,3.01,12110,12830,1400-4-20,2021-07-11
13,فولاد,فولاد مباركه اصفهان,14398,98697009,1039841681900,10260,10400,10590,330,3.22,10540,280,2.73,10350,10690,1400-4-20,2021-07-11
14,خساپا,سايپا,13402,416098887,781036394601,1843,1830,1897,54,2.93,1877,34,1.84,1825,1929,1400-4-20,2021-07-11
15,خزر,فنرسازي‌زر,13151,42207230,890403837300,21740,20660,21530,-210,-0.97,21100,-640,-2.94,20660,21700,1400-4-20,2021-07-11
16,غكورش,صنعت غذايي كورش,13150,3854028,148042335130,38080,37700,38390,310,0.81,38410,330,0.87,37700,38970,1400-4-20,2021-07-11
17,دارا يكم,صندوق واسطه گري مالي يكم-سهام,11823,7671000,937153073970,122050,121800,122290,240,0.2,122170,120,0.1,121450,122700,1400-4-20,2021-07-11
18,اپال,فرآوري معدني اپال كاني پارس,10802,7547784,154241946800,20350,20050,20700,350,1.72,20440,90,0.44,19930,20750,1400-4-20,2021-07-11
19,خگستر,گسترش‌سرمايه‌گذاري‌ايران‌خودرو,10498,305384228,787714110701,2501,2470,2626,125,5,2579,78,3.12,2470,2626,1400-4-20,2021-07-11
20,چخزر,صنايع چوب خزر كاسپين,9758,3005503,111719126229,36375,35200,36600,225,0.62,37172,797,2.19,35200,37999,1400-4-20,2021-07-11
21,ثبهساز,بهساز كاشانه تهران,9450,88528235,192868418129,2134,2180,2163,29,1.36,2179,45,2.11,2095,2240,1400-4-20,2021-07-11
22,وتجارت,بانك تجارت,8648,414670366,1090924660856,2625,2627,2635,10,0.38,2631,6,0.23,2575,2650,1400-4-20,2021-07-11
23,ثاميد,توسعه و عمران اميد,8383,86820010,150992095073,1721,1721,1727,6,0.35,1739,18,1.05,1685,1769,1400-4-20,2021-07-11
24,ساربيل,سيمان آرتا اردبيل,8137,12802299,544114839490,43200,41040,43600,400,0.93,42500,-700,-1.62,41040,44250,1400-4-20,2021-07-11
25,سفار,سيمان‌فارس‌,8021,4919757,531482503390,119220,107300,107330,-11890,-9.97,108030,-11190,-9.39,107300,112260,1400-4-20,2021-07-11
26,شاروم,پتروشيمي اروميه,7944,4866989,74363602526,15099,14920,15556,457,3.03,15279,180,1.19,14900,15700,1400-4-20,2021-07-11
27,شتران,پالايش نفت تهران,7828,56153023,523048291180,9090,9070,9450,360,3.96,9310,220,2.42,9000,9470,1400-4-20,2021-07-11
28,بوعلي,پتروشيمي بوعلي سينا,7823,3649490,185740120200,49320,50470,50500,1180,2.39,50890,1570,3.18,49880,51530,1400-4-20,2021-07-11
29,غزر,صنعتي زر ماكارون,7623,3104910,73588310030,23950,23580,23670,-280,-1.17,23700,-250,-1.04,23050,24260,1400-4-20,2021-07-11
30,زملارد,كشاورزي و دامپروري ملارد شير,7554,1990882,60376705475,30326,31200,29830,-496,-1.64,30327,1,0,29250,31500,1400-4-20,2021-07-11
31,رافزا,رايان هم افزا,7178,1327168,105417160700,76000,76500,79800,3800,5,79430,3430,4.51,76000,79800,1400-4-20,2021-07-11
32,بورس,بورس اوراق بهادار تهران,7065,19330482,713273834810,36950,38400,36000,-950,-2.57,36900,-50,-0.14,35400,38400,1400-4-20,2021-07-11
33,كزغال,زغال سنگ پروده طبس,6905,2203098,79580158884,35379,35900,36035,656,1.85,36122,743,2.1,35760,36700,1400-4-20,2021-07-11
34,وبملت,بانك ملت,6585,142987335,568431396697,3952,3970,3987,35,0.89,3975,23,0.58,3911,4023,1400-4-20,2021-07-11
35,خپارس,پارس‌ خودرو,6191,298743182,360441832621,1192,1199,1213,21,1.76,1207,15,1.26,1174,1239,1400-4-20,2021-07-11
36,آبادا,توليد نيروي برق آبادان,6153,7689561,96867091460,12610,12820,12380,-230,-1.82,12600,-10,-0.08,12000,12950,1400-4-20,2021-07-11
37,ذوب,سهامي ذوب آهن  اصفهان,6116,174610985,645623734842,3547,3560,3724,177,4.99,3697,150,4.23,3550,3724,1400-4-20,2021-07-11
38,وكبهمن,مديريت سرمايه گذاري كوثربهمن,6069,1623109,18750479400,11481,11500,11567,86,0.75,11552,71,0.62,11345,11670,1400-4-20,2021-07-11
39,بپيوند,برق و انرژي پيوندگستر پارس,6018,9552362,122902283975,13212,13399,12760,-452,-3.42,12866,-346,-2.62,12614,13399,1400-4-20,2021-07-11
40,پترول,گ.س.وت.ص.پتروشيمي خليج فارس,5959,36473600,352707239490,9530,9590,9780,250,2.62,9670,140,1.47,9410,9860,1400-4-20,2021-07-11
41,ولپارس,ليزينگ پارسيان,5959,7632802,32883478864,4269,4330,4312,43,1.01,4308,39,0.91,4170,4399,1400-4-20,2021-07-11
42,شگويا,پتروشيمي تندگويان,5621,24188075,252748547201,10131,10020,10633,502,4.96,10449,318,3.14,9990,10633,1400-4-20,2021-07-11
43,غنوش,نوش‌ مازندران‌,5569,10127674,391846306510,40560,38540,38690,-1870,-4.61,38690,-1870,-4.61,38540,39990,1400-4-20,2021-07-11
44,وبصادر,بانك صادرات ايران,5362,132670647,289945115043,2178,2133,2195,17,0.78,2185,7,0.32,2133,2225,1400-4-20,2021-07-11
45,بترانس,ايران‌ ترانسفو,5295,171999304,438831731260,2434,2438,2555,121,4.97,2551,117,4.81,2438,2555,1400-4-20,2021-07-11
46,بگيلان,توسعه مسير برق گيلان,5275,2732362,57570146098,21439,22000,20720,-719,-3.35,21070,-369,-1.72,20368,22400,1400-4-20,2021-07-11
47,هماي,صندوق س هماي آگاه-ثابت,5147,22806761,228067610000,10000,10000,10000,0,0,10000,0,0,10000,10000,1400-4-20,2021-07-11
48,زكشت,كشاورزي مكانيزه اصفهان كشت,5124,9800441,342263554424,35947,34800,35910,-37,-0.1,34923,-1024,-2.85,34150,36510,1400-4-20,2021-07-11
49,فاراك,ماشين‌ سازي‌ اراك‌,5088,145390370,284942271884,2036,1999,1978,-58,-2.85,1960,-76,-3.73,1935,2019,1400-4-20,2021-07-11
50,بجهرم,توسعه مولد نيروگاهي جهرم,5025,81641541,219562289104,2698,2730,2700,2,0.07,2689,-9,-0.33,2610,2750,1400-4-20,2021-07-11
51,وپارس,بانك‌پارسيان‌,4892,146886221,405765002929,2703,2720,2838,135,4.99,2762,59,2.18,2662,2838,1400-4-20,2021-07-11
52,آريا,پليمر آريا ساسول,4876,1887505,170168615727,90075,89990,90200,125,0.14,90155,80,0.09,89500,91200,1400-4-20,2021-07-11
53,بكهنوج,توليد برق ماهتاب كهنوج,4806,201068879,353547784015,1680,1764,1764,84,5,1758,78,4.64,1703,1764,1400-4-20,2021-07-11
54,وسپهر,سرمايه گذاري مالي سپهرصادرات,4716,9987157,92186622420,9226,9232,9232,6,0.07,9230,4,0.04,9230,9240,1400-4-20,2021-07-11
55,وخارزم,سرمايه گذاري خوارزمي,4663,57541697,349448466630,5800,5840,6090,290,5,6070,270,4.66,5840,6090,1400-4-20,2021-07-11
56,وغدير,سرمايه‌گذاري‌غدير(هلدينگ‌,4651,34132359,442113689550,12710,12400,13070,360,2.83,12950,240,1.89,12400,13270,1400-4-20,2021-07-11
57,غالبر,لبنيات‌ كالبر,4644,15340307,270709854010,17600,18280,17040,-560,-3.18,17650,50,0.28,16900,18480,1400-4-20,2021-07-11
58,پيزد,مجتمع صنايع لاستيك يزد,4630,2197601,153345871089,66639,65251,68980,2341,3.51,69779,3140,4.71,65251,69970,1400-4-20,2021-07-11
59,شلعاب,لعابيران‌,4469,20373930,223235550580,10800,10400,11340,540,5,10960,160,1.48,10260,11340,1400-4-20,2021-07-11
