,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین,تاریخ,gregorian_date
0,فولاد,فولاد مباركه اصفهان,19469,178922727,2053247627470,11050,11070,11600,550,4.98,11480,430,3.89,11040,11600,1400-8-5,2021-10-27
1,پالايش,صندوق پالايشي يكم-سهام,19134,20389393,1416196086940,68660,69000,69960,1300,1.89,69460,800,1.17,68520,70290,1400-8-5,2021-10-27
2,توسن,توسعه سامانه ي نرم افزاري نگين,15716,8851883,128057093237,15146,15000,14389,-757,-5,14467,-679,-4.48,14389,15100,1400-8-5,2021-10-27
3,فسبزوار,پارس فولاد سبزوار,14498,7099968,249958284720,34700,34970,35160,460,1.33,35210,510,1.47,34700,35700,1400-8-5,2021-10-27
4,فجهان,مجتمع جهان فولاد سيرجان,13138,37816372,221538393647,5870,5841,5873,3,0.05,5858,-12,-0.2,5805,5951,1400-8-5,2021-10-27
5,دارا يكم,صندوق واسطه گري مالي يكم-سهام,10014,5649445,623765129820,110200,110200,110840,640,0.58,110410,210,0.19,109200,111400,1400-8-5,2021-10-27
6,مديريت,س. و خدمات مديريت صند. ب كشوري,9801,12951030,115879478765,8615,8690,9045,430,4.99,8948,333,3.87,8570,9045,1400-8-5,2021-10-27
7,كيمياتك,آريان كيميا تك,9559,2106600,55451910280,26390,26190,26200,-190,-0.72,26320,-70,-0.27,26100,26900,1400-8-5,2021-10-27
8,شپنا,پالايش نفت اصفهان,9350,47424256,518088086740,10780,10820,11000,220,2.04,10920,140,1.3,10630,11150,1400-8-5,2021-10-27
9,خودرو,ايران‌ خودرو,8032,219905018,375070363175,1698,1701,1696,-2,-0.12,1706,8,0.47,1680,1738,1400-8-5,2021-10-27
10,كدما,معدني‌ دماوند,7920,8504021,810832673100,91580,89000,96150,4570,4.99,95350,3770,4.12,87600,96150,1400-8-5,2021-10-27
11,تپكو,توليدتجهيزات‌سنگين‌هپكو,7423,195531990,560489223127,2864,2784,2949,85,2.97,2866,2,0.07,2779,2949,1400-8-5,2021-10-27
12,كمند,صندوق س. با درآمد ثابت كمند,7330,338826442,3425636988616,10104,10110,10111,7,0.07,10110,6,0.06,10110,10112,1400-8-5,2021-10-27
13,شبندر,پالايش نفت بندرعباس,7225,80758310,499398765140,6070,6080,6250,180,2.97,6180,110,1.81,6020,6320,1400-8-5,2021-10-27
14,فملي,ملي‌ صنايع‌ مس‌ ايران‌,7218,37437897,498226073660,13130,13110,13300,170,1.29,13310,180,1.37,13060,13560,1400-8-5,2021-10-27
15,بركت,گروه دارويي بركت,6648,19398537,459558242770,23160,23750,23370,210,0.91,23690,530,2.29,23160,24490,1400-8-5,2021-10-27
16,ثشاهد,سرمايه‌ گذاري‌ شاهد,6362,40007483,469464777450,11610,11050,12180,570,4.91,11730,120,1.03,11030,12190,1400-8-5,2021-10-27
17,خساپا,سايپا,5912,159747877,248845350724,1555,1555,1555,0,0,1558,3,0.19,1534,1586,1400-8-5,2021-10-27
18,قتربت,قند تربت حيدريه,5581,938125,51390572470,53193,54788,54788,1595,3,54780,1587,2.98,53193,54788,1400-8-5,2021-10-27
19,شتران,پالايش نفت تهران,5545,56263655,259047415465,4564,4564,4618,54,1.18,4604,40,0.88,4520,4690,1400-8-5,2021-10-27
20,هاي وب,داده گسترعصرنوين-هاي وب,5187,92302035,803955566550,8320,8250,8700,380,4.57,8710,390,4.69,8250,8730,1400-8-5,2021-10-27
21,وخارزم,سرمايه گذاري خوارزمي,5165,66584570,276060025234,4200,4130,4165,-35,-0.83,4146,-54,-1.29,4010,4294,1400-8-5,2021-10-27
22,غگيلا,شيرپاستوريزه پگاه گيلان,4910,6748334,130189952212,20112,19800,19107,-1005,-5,19292,-820,-4.08,19107,20468,1400-8-5,2021-10-27
23,خگستر,گسترش‌سرمايه‌گذاري‌ايران‌خودرو,4903,130195378,262205028967,2018,2020,2010,-8,-0.4,2014,-4,-0.2,1985,2059,1400-8-5,2021-10-27
24,وهامون,سرمايه گذاري هامون صبا,4902,17276100,48078089753,2773,2745,2801,28,1.01,2783,10,0.36,2645,2902,1400-8-5,2021-10-27
25,كرمان,س. توسعه و عمران استان كرمان,4726,138674288,141189809006,1014,1016,1025,11,1.08,1018,4,0.39,992,1049,1400-8-5,2021-10-27
26,كيان,صندوق س. با درآمد ثابت كيان,4631,88584986,2769259338127,31235,31269,31260,25,0.08,31261,26,0.08,31258,31270,1400-8-5,2021-10-27
27,ومدير,گ.مديريت ارزش سرمايه ص ب كشوري,4612,27107406,120095210140,4295,4290,4508,213,4.96,4430,135,3.14,4202,4509,1400-8-5,2021-10-27
28,ثبهساز,بهساز كاشانه تهران,4516,45228999,75885677096,1615,1639,1694,79,4.89,1678,63,3.9,1615,1695,1400-8-5,2021-10-27
29,وملي,گروه‌ صنعتي‌ ملي‌ (هلدينگ‌,4421,1776437,318601618630,187610,180000,180500,-7110,-3.79,179350,-8260,-4.4,178230,185000,1400-8-5,2021-10-27
30,گدنا,تهيه توزيع غذاي دنا آفرين فدك,4400,2562461,38007395594,14586,14500,15130,544,3.73,14832,246,1.69,13930,15315,1400-8-5,2021-10-27
31,سپيد,سپيد ماكيان,4157,2039833,111162983340,53760,54400,54790,1030,1.92,54500,740,1.38,53010,55620,1400-8-5,2021-10-27
32,كاما,باما,4032,36145855,307025738880,8180,8180,8580,400,4.89,8490,310,3.79,8150,8580,1400-8-5,2021-10-27
33,آريا,پليمر آريا ساسول,4028,1239709,135919958727,105908,108026,110290,4382,4.14,109639,3731,3.52,106447,110920,1400-8-5,2021-10-27
34,سپيدار,سپيدار سيستم آسيا,3821,876180,15635852181,17978,18100,17710,-268,-1.49,17845,-133,-0.74,17650,18200,1400-8-5,2021-10-27
35,وتجارت,بانك تجارت,3771,93372360,170211046986,1818,1800,1833,15,0.83,1823,5,0.28,1775,1847,1400-8-5,2021-10-27
36,اتكاي,بيمه اتكايي ايرانيان,3759,213830716,2120728185415,9446,9918,9918,472,5,9918,472,5,9830,9918,1400-8-5,2021-10-27
37,لطيف,محصولات كاغذي لطيف,3622,1134144,44262991141,37281,37620,39145,1864,5,39028,1747,4.69,37620,39145,1400-8-5,2021-10-27
38,شصدف,صنعتي دوده فام,3573,4828040,150165176712,30364,30800,31302,938,3.09,31103,739,2.43,30470,31882,1400-8-5,2021-10-27
39,تسه0007,امتيازتسهيلات مسكن مهر1400,3538,75472,51147039273,691127,710000,675000,-16127,-2.33,677696,-13431,-1.94,656600,710000,1400-8-5,2021-10-27
40,آبادا,توليد نيروي برق آبادان,3526,2484892,37823368920,15190,15250,15250,60,0.39,15220,30,0.2,14810,15400,1400-8-5,2021-10-27
41,لكما,كارخانجات‌مخابراتي‌ايران‌,3488,101380595,113048038616,1162,1104,1114,-48,-4.13,1115,-47,-4.04,1104,1150,1400-8-5,2021-10-27
42,پترول,گ.س.وت.ص.پتروشيمي خليج فارس,3414,40783908,125120055776,3032,3089,3099,67,2.21,3068,36,1.19,2881,3178,1400-8-5,2021-10-27
43,كماسه,تامين‌ ماسه‌ ريخته‌گري‌,3382,31395826,179478308790,5660,5580,5540,-120,-2.12,5720,60,1.06,5500,5900,1400-8-5,2021-10-27
44,شاراك,پتروشيمي شازند,3327,6122002,290962088770,45750,46440,47590,1840,4.02,47530,1780,3.89,46400,48030,1400-8-5,2021-10-27
45,نوري,پتروشيمي نوري,3275,1754593,190973699250,106760,108860,108570,1810,1.7,108840,2080,1.95,107960,110000,1400-8-5,2021-10-27
46,بوعلي,پتروشيمي بوعلي سينا,3163,994230,71318899950,71140,70660,71950,810,1.14,71580,440,0.62,70660,72700,1400-8-5,2021-10-27
47,غزر,صنعتي زر ماكارون,3160,2875421,31195304330,11150,11000,10750,-400,-3.59,10880,-270,-2.42,10660,11150,1400-8-5,2021-10-27
48,صبا,سرمايه گذاري صبا تامين,3140,18947565,115345116791,6095,6100,6120,25,0.41,6088,-7,-0.11,6018,6207,1400-8-5,2021-10-27
49,خپارس,پارس‌ خودرو,3101,129910436,134134905252,1030,1030,1034,4,0.39,1033,3,0.29,1016,1046,1400-8-5,2021-10-27
50,ذوب,سهامي ذوب آهن  اصفهان,3084,56056269,213089651613,3737,3750,3774,37,0.99,3801,64,1.71,3720,3900,1400-8-5,2021-10-27
51,شفن,پتروشيمي فناوران,3075,466401,188038508570,403770,402500,403200,-570,-0.14,403170,-600,-0.15,393000,415000,1400-8-5,2021-10-27
52,شاروم,پتروشيمي اروميه,3046,1305375,18335100311,13961,14041,14001,40,0.29,14046,85,0.61,13620,14400,1400-8-5,2021-10-27
53,فردا,صندوق س آواي فرداي زاگرس-ثابت,3045,146679527,1714611324676,11683,11690,11689,6,0.05,11690,7,0.06,11689,11691,1400-8-5,2021-10-27
54,قثابت,قند ثابت‌ خراسان‌,3037,77837704,177778983179,2372,2311,2322,-50,-2.11,2284,-88,-3.71,2254,2380,1400-8-5,2021-10-27
55,چخزر,صنايع چوب خزر كاسپين,3013,448310,12786066157,28288,28056,28270,-18,-0.06,28503,215,0.76,27975,29100,1400-8-5,2021-10-27
56,ثاميد,توسعه و عمران اميد,2992,15178598,21861787964,1420,1398,1457,37,2.61,1440,20,1.41,1398,1457,1400-8-5,2021-10-27
57,كزغال,زغال سنگ پروده طبس,2979,1672417,53642986381,31844,31151,32415,571,1.79,32075,231,0.73,31150,32500,1400-8-5,2021-10-27
58,وبصادر,بانك صادرات ايران,2967,76535178,138236234451,1806,1800,1820,14,0.78,1806,0,0,1754,1841,1400-8-5,2021-10-27
59,ولپارس,ليزينگ پارسيان,2941,6097633,24384252886,4017,4000,4060,43,1.07,3999,-18,-0.45,3931,4098,1400-8-5,2021-10-27
60,ولكار,ليزينگ كارآفرين,2917,2439210,10620671742,4324,4306,4374,50,1.16,4345,21,0.49,4253,4430,1400-8-5,2021-10-27
