,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین,تاریخ,gregorian_date
0,سپيد,سپيد ماكيان,53940,3347888,102981034880,29300,30760,30760,1460,4.98,30760,1460,4.98,30760,30760,1400-5-10,2021-08-01
1,لطيف,محصولات كاغذي لطيف,29489,4446318,258847005968,60375,61510,57357,-3018,-5,58216,-2159,-3.58,57357,61575,1400-5-10,2021-08-01
2,فملي,ملي‌ صنايع‌ مس‌ ايران‌,23775,118858503,1615093803780,13540,13760,13420,-120,-0.89,13590,50,0.37,13410,13870,1400-5-10,2021-08-01
3,بركت,گروه دارويي بركت,21711,37308272,1400121634700,38930,39000,37050,-1880,-4.83,37530,-1400,-3.6,36990,39000,1400-5-10,2021-08-01
4,شستا,سرمايه گذاري تامين اجتماعي,19126,69665255,878620898340,12700,12850,12480,-220,-1.73,12610,-90,-0.71,12430,12880,1400-5-10,2021-08-01
5,خودرو,ايران‌ خودرو,18210,478794976,963982252009,2024,1996,1985,-39,-1.93,2013,-11,-0.54,1978,2069,1400-5-10,2021-08-01
6,پالايش,صندوق پالايشي يكم-سهام,18119,12195157,848746791430,70320,70400,69380,-940,-1.34,69600,-720,-1.02,69330,70410,1400-5-10,2021-08-01
7,گدنا,تهيه توزيع غذاي دنا آفرين فدك,17698,11649772,230703124986,19412,19270,20382,970,5,19803,391,2.01,18442,20382,1400-5-10,2021-08-01
8,ولكار,ليزينگ كارآفرين,16567,23054144,97717498134,4192,4290,4250,58,1.38,4239,47,1.12,4090,4300,1400-5-10,2021-08-01
9,بوعلي,پتروشيمي بوعلي سينا,15742,12237638,711092515020,60310,61390,58030,-2280,-3.78,58110,-2200,-3.65,57300,61390,1400-5-10,2021-08-01
10,آريا,پليمر آريا ساسول,14852,11252126,1162760551226,99043,103995,102470,3427,3.46,103337,4294,4.34,101116,103995,1400-5-10,2021-08-01
11,فگستر,گسترش صنايع روي ايرانيان,14037,6627549,91815369834,14452,14330,13735,-717,-4.96,13854,-598,-4.14,13730,14530,1400-5-10,2021-08-01
12,ومدير,گ.مديريت ارزش سرمايه ص ب كشوري,13285,43569890,188103104943,4291,4360,4260,-31,-0.72,4317,26,0.61,4252,4398,1400-5-10,2021-08-01
13,شپنا,پالايش نفت اصفهان,12883,74081658,892851906370,12180,12300,11920,-260,-2.13,12050,-130,-1.07,11880,12420,1400-5-10,2021-08-01
14,نوري,پتروشيمي نوري,12478,10326955,956674996600,90870,94000,91720,850,0.94,92640,1770,1.95,90010,95000,1400-5-10,2021-08-01
15,خساپا,سايپا,11784,331574923,575770253988,1720,1722,1718,-2,-0.12,1736,16,0.93,1681,1779,1400-5-10,2021-08-01
16,فتوسا,توليد و توسعه سرب روي ايرانيان,11528,7031658,95961994214,14208,14199,13600,-608,-4.28,13647,-561,-3.95,13498,14256,1400-5-10,2021-08-01
17,شتران,پالايش نفت تهران,10853,68005965,618976876600,9330,9330,9000,-330,-3.54,9100,-230,-2.47,8960,9400,1400-5-10,2021-08-01
18,وهامون,سرمايه گذاري هامون صبا,10386,14077501,29506442096,1997,2096,2096,99,4.96,2096,99,4.96,2096,2096,1400-5-10,2021-08-01
19,دارا يكم,صندوق واسطه گري مالي يكم-سهام,10007,5015579,580975888890,117120,117000,115200,-1920,-1.64,115830,-1290,-1.1,115200,117300,1400-5-10,2021-08-01
20,وتجارت,بانك تجارت,9083,228721710,568845354879,2551,2515,2490,-61,-2.39,2487,-64,-2.51,2430,2550,1400-5-10,2021-08-01
21,غكورش,صنعت غذايي كورش,8845,5000195,204084180790,41320,41000,40800,-520,-1.26,40820,-500,-1.21,40600,41200,1400-5-10,2021-08-01
22,خگستر,گسترش‌سرمايه‌گذاري‌ايران‌خودرو,8575,189662762,499777653911,2581,2580,2611,30,1.16,2635,54,2.09,2541,2700,1400-5-10,2021-08-01
23,وبملت,بانك ملت,8538,161992804,597384430063,3742,3742,3671,-71,-1.9,3688,-54,-1.44,3646,3769,1400-5-10,2021-08-01
24,چخزر,صنايع چوب خزر كاسپين,8473,1953937,75618058500,39370,40000,38300,-1070,-2.72,38700,-670,-1.7,37500,40580,1400-5-10,2021-08-01
25,كاما,باما,7850,46271058,543725651020,12200,12120,11590,-610,-5,11750,-450,-3.69,11590,12150,1400-5-10,2021-08-01
26,وپارس,بانك‌پارسيان‌,7837,200331567,572093630883,2744,2790,2841,97,3.53,2856,112,4.08,2704,2881,1400-5-10,2021-08-01
27,اپال,فرآوري معدني اپال كاني پارس,7697,5730585,128021651880,22280,22950,22400,120,0.54,22340,60,0.27,22180,22950,1400-5-10,2021-08-01
28,ذوب,سهامي ذوب آهن  اصفهان,7235,118550751,481654517775,4138,4120,4011,-127,-3.07,4063,-75,-1.81,4000,4155,1400-5-10,2021-08-01
29,زملارد,كشاورزي و دامپروري ملارد شير,7151,2669088,82428139347,29966,29600,30860,894,2.98,30883,917,3.06,29600,31460,1400-5-10,2021-08-01
30,ثبهساز,بهساز كاشانه تهران,6949,57374400,126878867929,2205,2226,2217,12,0.54,2211,6,0.27,2153,2241,1400-5-10,2021-08-01
31,شاراك,پتروشيمي شازند,6907,44303683,1602410742620,34500,36220,36220,1720,4.99,36170,1670,4.84,35500,36220,1400-5-10,2021-08-01
32,شاروم,پتروشيمي اروميه,6782,3191730,48664839055,15326,15479,15200,-126,-0.82,15247,-79,-0.52,15053,15542,1400-5-10,2021-08-01
33,كرمان,س. توسعه و عمران استان كرمان,6609,218973803,284902469611,1312,1318,1290,-22,-1.68,1301,-11,-0.84,1286,1329,1400-5-10,2021-08-01
34,ثاميد,توسعه و عمران اميد,6501,54596959,95174398853,1727,1770,1750,23,1.33,1743,16,0.93,1716,1778,1400-5-10,2021-08-01
35,وغدير,سرمايه‌گذاري‌غدير(هلدينگ‌,6440,60671343,850352999210,13660,14290,13890,230,1.68,14020,360,2.64,13810,14290,1400-5-10,2021-08-01
36,كزغال,زغال سنگ پروده طبس,6261,3194459,112203193813,35116,35980,35150,34,0.1,35124,8,0.02,34520,35980,1400-5-10,2021-08-01
37,شگويا,پتروشيمي تندگويان,6257,30921662,348531298953,11476,11500,11190,-286,-2.49,11271,-205,-1.79,11134,11570,1400-5-10,2021-08-01
38,هاي وب,داده گسترعصرنوين-هاي وب,6151,105347341,950633574280,8630,8420,9060,430,4.98,9020,390,4.52,8420,9060,1400-5-10,2021-08-01
39,كمند,صندوق س. با درآمد ثابت كمند,5925,258484489,2621639660481,10137,10142,10143,6,0.06,10142,5,0.05,10142,10144,1400-5-10,2021-08-01
40,غزر,صنعتي زر ماكارون,5680,2119240,47944233660,23010,23000,22480,-530,-2.3,22620,-390,-1.69,22460,23180,1400-5-10,2021-08-01
41,ولپارس,ليزينگ پارسيان,5634,11285000,46632861892,3997,4059,4196,199,4.98,4132,135,3.38,3914,4196,1400-5-10,2021-08-01
42,خبهمن,گروه‌بهمن‌,5541,196691739,274092901833,1405,1372,1405,0,0,1394,-11,-0.78,1355,1430,1400-5-10,2021-08-01
43,بپاس,بيمه پاسارگاد,5520,8760215,550737294814,60143,63150,62490,2347,3.9,62868,2725,4.53,60746,63150,1400-5-10,2021-08-01
44,رافزا,رايان هم افزا,5290,1038501,78149694708,76468,76000,75001,-1467,-1.92,75252,-1216,-1.59,75000,77000,1400-5-10,2021-08-01
45,حكشتي,كشتيراني جمهوري اسلامي ايران,5129,16946038,280806928090,17020,17020,16320,-700,-4.11,16570,-450,-2.64,16170,17140,1400-5-10,2021-08-01
46,سيتا,سرمايه گذاري سيمان تامين,5061,8032414,116303799330,14690,14690,14310,-380,-2.59,14480,-210,-1.43,14150,14690,1400-5-10,2021-08-01
47,وكبهمن,مديريت سرمايه گذاري كوثربهمن,5017,990986,10741262523,10787,10830,10802,15,0.14,10824,37,0.34,10730,11000,1400-5-10,2021-08-01
48,البرز,بيمه البرز,5015,172906624,470692146621,2610,2700,2740,130,4.98,2722,112,4.29,2587,2740,1400-5-10,2021-08-01
49,آسيا,بيمه آسيا,4950,198133352,397226531857,1913,2008,2006,93,4.86,2005,92,4.81,1969,2008,1400-5-10,2021-08-01
50,وسپهر,سرمايه گذاري مالي سپهرصادرات,4931,9851173,91814121627,9319,9320,9320,1,0.01,9320,1,0.01,9320,9323,1400-5-10,2021-08-01
51,ميدكو,توسعه معادن وص.معدني خاورميانه,4874,12428476,491730519360,37800,39400,39690,1890,5,39560,1760,4.66,38500,39690,1400-5-10,2021-08-01
52,فارس,صنايع پتروشيمي خليج فارس,4741,50940951,562733822200,10820,11190,10960,140,1.29,11050,230,2.13,10830,11230,1400-5-10,2021-08-01
53,وبصادر,بانك صادرات ايران,4547,106029631,218628034914,2095,2100,2050,-45,-2.15,2062,-33,-1.58,2041,2110,1400-5-10,2021-08-01
54,كساوه,صنايع‌ كاشي‌ و سراميك‌ سينا,4462,11218457,563669780240,50570,48050,50660,90,0.18,50240,-330,-0.65,48050,52580,1400-5-10,2021-08-01
55,آبادا,توليد نيروي برق آبادان,4457,2211854,29131000220,13150,13000,12990,-160,-1.22,13170,20,0.15,12880,13500,1400-5-10,2021-08-01
56,اخابر,مخابرات ايران,4424,58364427,536319021840,8800,8820,9080,280,3.18,9190,390,4.43,8700,9240,1400-5-10,2021-08-01
57,كدماح,ح . معدني‌ دماوند,4366,10426181,1260226829380,111170,122280,122280,11110,9.99,120870,9700,8.73,116280,122280,1400-5-10,2021-08-01
58,بپيوند,برق و انرژي پيوندگستر پارس,4267,3316714,36529456756,11199,11100,10918,-281,-2.51,11014,-185,-1.65,10900,11200,1400-5-10,2021-08-01
59,خزر,فنرسازي‌زر,4242,12000770,221136514850,17990,18030,18200,210,1.17,18430,440,2.45,17540,18810,1400-5-10,2021-08-01
60,امين يكم,صندوق درآمد ثابت امين يكم فردا,4204,146079092,1464869732225,10023,10029,10022,-1,-0.01,10028,5,0.05,10019,10033,1400-5-10,2021-08-01
61,ومعادن,توسعه‌معادن‌وفلزات‌,4026,46361009,511135622650,10890,11100,11020,130,1.19,11030,140,1.29,10610,11310,1400-5-10,2021-08-01
62,امين,تامين سرمايه امين,3962,1700982,12930707090,7570,7600,7600,30,0.4,7580,10,0.13,7580,7620,1400-5-10,2021-08-01
63,خپارس,پارس‌ خودرو,3868,145818635,169106652205,1151,1170,1146,-5,-0.43,1160,9,0.78,1141,1189,1400-5-10,2021-08-01
64,وخارزم,سرمايه گذاري خوارزمي,3810,28762696,171558211450,5980,6100,5930,-50,-0.84,5960,-20,-0.33,5800,6100,1400-5-10,2021-08-01
65,بگيلان,توسعه مسير برق گيلان,3788,655126,13000866106,20409,20040,19980,-429,-2.1,20194,-215,-1.05,19716,20100,1400-5-10,2021-08-01
66,كچاد,معدني‌وصنعتي‌چادرملو,3753,9309882,266402259910,28640,28190,28330,-310,-1.08,28610,-30,-0.1,28190,29110,1400-5-10,2021-08-01
67,پترول,گ.س.وت.ص.پتروشيمي خليج فارس,3752,40878225,405768487960,9500,9750,9970,470,4.95,9930,430,4.53,9680,9970,1400-5-10,2021-08-01
68,كگل,معدني و صنعتي گل گهر,3727,15408698,339364109710,21900,22840,22070,170,0.78,22020,120,0.55,21700,22840,1400-5-10,2021-08-01
69,فخوز,فولاد  خوزستان,3612,15977638,262715495410,16490,16700,16350,-140,-0.85,16440,-50,-0.3,16210,16770,1400-5-10,2021-08-01
70,فروي,ذوب روي اصفهان,3522,3915232,128091216996,32991,33810,32000,-991,-3,32716,-275,-0.83,31911,33990,1400-5-10,2021-08-01
71,وگستر,گسترش سرمايه گذاري ايرانيان,3489,15804345,194104356349,11947,12150,12090,143,1.2,12282,335,2.8,11899,12544,1400-5-10,2021-08-01
72,تاپيكو,س. نفت و گاز و پتروشيمي تأمين,3443,23375687,332696543630,14310,14490,14250,-60,-0.42,14230,-80,-0.56,14090,14530,1400-5-10,2021-08-01
73,غگل,گلوكوزان‌,3388,34585378,125635940879,3699,3680,3562,-137,-3.7,3633,-66,-1.78,3515,3750,1400-5-10,2021-08-01
74,پيزد,مجتمع صنايع لاستيك يزد,3365,923172,66681975745,70694,72000,73260,2566,3.63,72231,1537,2.17,70825,74104,1400-5-10,2021-08-01
