,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین,تاریخ,gregorian_date
0,پالايش,صندوق پالايشي يكم-سهام,39655,50877634,3791407099690,75760,73480,74820,-940,-1.24,74520,-1240,-1.64,72870,76170,1400-8-17,2021-11-08
1,خودرو,ايران‌ خودرو,34147,1856803942,3793151085120,1954,1971,2051,97,4.96,2043,89,4.55,1970,2051,1400-8-17,2021-11-08
2,دارا يكم,صندوق واسطه گري مالي يكم-سهام,32449,30217291,3667174023090,122630,118890,120090,-2540,-2.07,121360,-1270,-1.04,117900,124900,1400-8-17,2021-11-08
3,خساپا,سايپا,31671,1515492445,2737094122588,1752,1725,1774,22,1.26,1806,54,3.08,1703,1839,1400-8-17,2021-11-08
4,شستا,سرمايه گذاري تامين اجتماعي,27495,158012209,1902380212330,12170,12120,11910,-260,-2.14,12040,-130,-1.07,11880,12340,1400-8-17,2021-11-08
5,توسن,توسعه سامانه ي نرم افزاري نگين,16874,25451033,442952725579,16841,17683,17250,409,2.43,17404,563,3.34,16500,17683,1400-8-17,2021-11-08
6,شپنا,پالايش نفت اصفهان,12821,81339069,920777563560,11470,11100,11270,-200,-1.74,11320,-150,-1.31,11010,11570,1400-8-17,2021-11-08
7,كالا,بورس كالاي ايران,12803,42624947,1540416383350,37320,36000,35470,-1850,-4.96,36140,-1180,-3.16,35460,38120,1400-8-17,2021-11-08
8,نوري,پتروشيمي نوري,12110,12609760,1612149499160,122660,122600,127550,4890,3.99,127850,5190,4.23,121000,128790,1400-8-17,2021-11-08
9,خبهمن,گروه‌بهمن‌,11973,570746742,1084112447970,1894,1890,1846,-48,-2.53,1899,5,0.26,1827,1975,1400-8-17,2021-11-08
10,فولاد,فولاد مباركه اصفهان,11648,80923031,966600408080,11940,11710,12000,60,0.5,11940,0,0,11620,12150,1400-8-17,2021-11-08
11,فجهان,مجتمع جهان فولاد سيرجان,10888,44573458,265922006879,5976,5850,5978,2,0.03,5966,-10,-0.17,5850,6000,1400-8-17,2021-11-08
12,خگستر,گسترش‌سرمايه‌گذاري‌ايران‌خودرو,10773,397922521,950897385900,2300,2300,2385,85,3.7,2390,90,3.91,2254,2415,1400-8-17,2021-11-08
13,خپارس,پارس‌ خودرو,10671,538501941,630308859363,1174,1141,1145,-29,-2.47,1170,-4,-0.34,1127,1219,1400-8-17,2021-11-08
14,فسبزوار,پارس فولاد سبزوار,10242,6874839,242415257010,35300,35300,35220,-80,-0.23,35260,-40,-0.11,34950,35860,1400-8-17,2021-11-08
15,بركت,گروه دارويي بركت,10023,39236203,897532845390,21930,22000,23020,1090,4.97,22880,950,4.33,21370,23020,1400-8-17,2021-11-08
16,شبندر,پالايش نفت بندرعباس,9592,113806498,747805469420,6590,6400,6630,40,0.61,6570,-20,-0.3,6390,6710,1400-8-17,2021-11-08
17,بركتح,ح . گروه دارويي بركت,8377,22338470,473262555330,19970,19720,21390,1420,7.11,21190,1220,6.11,19150,21870,1400-8-17,2021-11-08
18,مديريت,س. و خدمات مديريت صند. ب كشوري,8006,11544610,112395110906,9924,9700,9611,-313,-3.15,9736,-188,-1.89,9431,9990,1400-8-17,2021-11-08
19,كمند,صندوق س. با درآمد ثابت كمند,7756,297399693,2977412820660,10006,10012,10012,6,0.06,10011,5,0.05,10011,10013,1400-8-17,2021-11-08
20,فرابورس,فرابورس ايران,7671,27105730,710419304309,27350,25983,25983,-1367,-5,26209,-1141,-4.17,25983,27100,1400-8-17,2021-11-08
21,فملي,ملي‌ صنايع‌ مس‌ ايران‌,7348,40132131,543208812290,13570,13380,13670,100,0.74,13540,-30,-0.22,13200,13780,1400-8-17,2021-11-08
22,كيمياتك,آريان كيميا تك,7342,2072515,54282959820,26900,25750,26130,-770,-2.86,26190,-710,-2.64,25750,26880,1400-8-17,2021-11-08
23,كدما,معدني‌ دماوند,7197,4211041,381905985560,94010,90000,90100,-3910,-4.16,90690,-3320,-3.53,89310,94900,1400-8-17,2021-11-08
24,وتجارت,بانك تجارت,6711,209425187,429154161126,2047,2000,2017,-30,-1.47,2049,2,0.1,1962,2111,1400-8-17,2021-11-08
25,وخارزم,سرمايه گذاري خوارزمي,6261,72105626,346439974920,4731,4700,4755,24,0.51,4805,74,1.56,4620,4941,1400-8-17,2021-11-08
26,شتران,پالايش نفت تهران,5632,45175470,209524270558,4712,4550,4609,-103,-2.19,4638,-74,-1.57,4540,4778,1400-8-17,2021-11-08
27,آريا,پليمر آريا ساسول,5173,2617019,309531585046,117419,116350,118880,1461,1.24,118276,857,0.73,116014,119700,1400-8-17,2021-11-08
28,كرمان,س. توسعه و عمران استان كرمان,5117,159362592,165740663632,1054,1030,1035,-19,-1.8,1040,-14,-1.33,1018,1068,1400-8-17,2021-11-08
29,امين,تامين سرمايه امين,4940,3815433,45761244880,11960,12000,11980,20,0.17,11990,30,0.25,11890,12070,1400-8-17,2021-11-08
30,خنصير,مهندسي‌نصيرماشين‌,4807,19696654,427468506220,21880,21880,22030,150,0.69,21700,-180,-0.82,20790,22400,1400-8-17,2021-11-08
31,سپيد,سپيد ماكيان,4749,3093578,169988228760,56060,55000,54700,-1360,-2.43,54950,-1110,-1.98,53860,57260,1400-8-17,2021-11-08
32,بوعلي,پتروشيمي بوعلي سينا,4614,2587556,203481171970,77130,77890,79860,2730,3.54,78640,1510,1.96,77480,79980,1400-8-17,2021-11-08
33,غزر,صنعتي زر ماكارون,4557,9474786,98567957310,10720,10260,10260,-460,-4.29,10400,-320,-2.99,10190,10680,1400-8-17,2021-11-08
34,ضخود1052,اختيارخ خودرو-2000-1400/10/08,4356,191900,40495140000,186,170,202,16,8.6,211,25,13.44,161,250,1400-8-17,2021-11-08
35,وبصادر,بانك صادرات ايران,4331,96735138,188924892682,1956,1929,1936,-20,-1.02,1953,-3,-0.15,1890,2018,1400-8-17,2021-11-08
36,خمهرح,ح . مهركام‌پارس‌,4310,76946389,71065832821,935,890,895,-40,-4.28,924,-11,-1.18,880,963,1400-8-17,2021-11-08
37,غگيلا,شيرپاستوريزه پگاه گيلان,4211,7038001,120109939246,17701,17389,16830,-871,-4.92,17066,-635,-3.59,16816,17700,1400-8-17,2021-11-08
38,شاراك,پتروشيمي شازند,4163,13103096,629460693560,46090,46550,48390,2300,4.99,48040,1950,4.23,46200,48390,1400-8-17,2021-11-08
39,سمگا,گروه سرمايه گذاري ميراث فرهنگي,4070,122639204,1271271056837,9875,10368,10368,493,4.99,10366,491,4.97,10172,10368,1400-8-17,2021-11-08
40,لپارس,پارس‌ الكتريك‌,4003,3869720,420684955830,114060,108360,108360,-5700,-5,108710,-5350,-4.69,108360,111290,1400-8-17,2021-11-08
41,وهامون,سرمايه گذاري هامون صبا,3883,11526403,34883083549,3029,2918,3000,-29,-0.96,3026,-3,-0.1,2918,3110,1400-8-17,2021-11-08
42,گدنا,تهيه توزيع غذاي دنا آفرين فدك,3827,3793818,55889539746,15364,14701,14596,-768,-5,14732,-632,-4.11,14596,15250,1400-8-17,2021-11-08
43,سپيدار,سپيدار سيستم آسيا,3778,1019131,18731284103,18476,17901,18350,-126,-0.68,18380,-96,-0.52,17900,18900,1400-8-17,2021-11-08
44,ضخود1053,اختيارخ خودرو-2500-1400/10/08,3770,165285,9226591000,45,33,50,5,11.11,56,11,24.44,33,66,1400-8-17,2021-11-08
45,كيان,صندوق س. با درآمد ثابت كيان,3742,41086135,1292324789557,31438,31456,31455,17,0.05,31454,16,0.05,31453,31456,1400-8-17,2021-11-08
46,كاما,باما,3663,21516651,182917841580,8670,8490,8520,-150,-1.73,8500,-170,-1.96,8300,8780,1400-8-17,2021-11-08
47,ختور,رادياتور ايران‌,3571,18339125,302143331610,17150,16330,16340,-810,-4.72,16480,-670,-3.91,16300,16980,1400-8-17,2021-11-08
48,زملارد,كشاورزي و دامپروري ملارد شير,3505,1164478,26258838951,21529,21759,22605,1076,5,22550,1021,4.74,21759,22605,1400-8-17,2021-11-08
