,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین,تاریخ,gregorian_date
0,غكورش,صنعت غذايي كورش,76432,17575129,671369927800,36390,38200,38200,1810,4.97,38200,1810,4.97,38200,38200,1400-3-12,2021-06-02
1,پالايش,صندوق پالايشي يكم-سهام,57925,97316007,7174004994700,72350,71800,74440,2090,2.89,73720,1370,1.89,71450,75330,1400-3-12,2021-06-02
2,فگستر,گسترش صنايع روي ايرانيان,31604,912780,10465935480,10920,11466,11466,546,5,11240,320,2.93,11466,11466,1400-3-12,2021-06-02
3,دارا يكم,صندوق واسطه گري مالي يكم-سهام,23205,20290965,2503617071140,121950,120730,124310,2360,1.94,123390,1440,1.18,120110,124970,1400-3-12,2021-06-02
4,سپيدار,سپيدار سيستم آسيا,20769,2779909,142257038070,48773,51211,51211,2438,5,51173,2400,4.92,50010,51211,1400-3-12,2021-06-02
5,چخزر,صنايع چوب خزر كاسپين,16502,7951770,272782663850,33617,35100,33628,11,0.03,34305,688,2.05,31966,35297,1400-3-12,2021-06-02
6,غزر,صنعتي زر ماكارون,15979,10350058,247165956310,22950,22000,24000,1050,4.58,23880,930,4.05,22000,24090,1400-3-12,2021-06-02
7,شپنا,پالايش نفت اصفهان,15710,191546097,2139912991720,10760,10700,11290,530,4.93,11170,410,3.81,10640,11290,1400-3-12,2021-06-02
8,امينح,ح . تامين سرمايه امين,15018,13767640,64025575660,4760,4610,4760,0,0,4650,-110,-2.31,4510,4880,1400-3-12,2021-06-02
9,اپال,فرآوري معدني اپال كاني پارس,12436,14529552,285571335370,19610,19700,19610,0,0,19650,40,0.2,19410,19940,1400-3-12,2021-06-02
10,خساپا,سايپا,11989,438657413,686575814828,1522,1519,1580,58,3.81,1565,43,2.83,1489,1595,1400-3-12,2021-06-02
11,خودرو,ايران‌ خودرو,11217,367809664,639429298231,1686,1687,1766,80,4.74,1738,52,3.08,1660,1769,1400-3-12,2021-06-02
12,شبندر,پالايش نفت بندرعباس,10928,56669975,1210197020260,21030,20250,21350,320,1.52,21360,330,1.57,20250,21990,1400-3-12,2021-06-02
13,فملي,ملي‌ صنايع‌ مس‌ ايران‌,10219,60394598,752545395210,12390,12190,12480,90,0.73,12460,70,0.56,12190,12590,1400-3-12,2021-06-02
14,فولاد,فولاد مباركه اصفهان,9352,89406208,880045727480,9650,9560,9870,220,2.28,9840,190,1.97,9560,9940,1400-3-12,2021-06-02
15,شستا,سرمايه گذاري تامين اجتماعي,9069,51464552,526349774110,10140,10010,10270,130,1.28,10230,90,0.89,9920,10390,1400-3-12,2021-06-02
16,شتران,پالايش نفت تهران,8783,114478144,942186567190,7950,7800,8340,390,4.91,8230,280,3.52,7740,8340,1400-3-12,2021-06-02
17,خگستر,گسترش‌سرمايه‌گذاري‌ايران‌خودرو,8566,328682776,620953236811,1838,1800,1929,91,4.95,1889,51,2.77,1750,1929,1400-3-12,2021-06-02
18,وبملت,بانك ملت,8434,180112487,664493275012,3678,3620,3715,37,1.01,3689,11,0.3,3594,3742,1400-3-12,2021-06-02
19,غگيلا,شيرپاستوريزه پگاه گيلان,8062,10584014,179927393761,16760,15922,17598,838,5,17000,240,1.43,15922,17598,1400-3-12,2021-06-02
20,شپلي,پلي اكريل ايران,8047,78775792,826252395468,10409,10590,10000,-409,-3.93,10489,80,0.77,9993,10825,1400-3-12,2021-06-02
21,ولپارس,ليزينگ پارسيان,7796,22931179,97311720034,4068,4143,4216,148,3.64,4244,176,4.33,4120,4271,1400-3-12,2021-06-02
22,ثشاهد,سرمايه‌ گذاري‌ شاهد,7260,33790473,505724953550,15550,14780,14990,-560,-3.6,14970,-580,-3.73,14780,15480,1400-3-12,2021-06-02
23,دماوند,توليد نيروي برق دماوند,6736,15888235,474225910434,30742,30742,29510,-1232,-4.01,29848,-894,-2.91,29205,30900,1400-3-12,2021-06-02
24,كمند,صندوق س. با درآمد ثابت كمند,6340,276654966,2812312597282,10149,10165,10166,17,0.17,10165,16,0.16,10165,10169,1400-3-12,2021-06-02
25,كزغال,زغال سنگ پروده طبس,5966,2608942,80208378839,30500,31000,31020,520,1.7,30744,244,0.8,30510,31700,1400-3-12,2021-06-02
26,ذوب,سهامي ذوب آهن  اصفهان,5889,177059192,600874115371,3257,3280,3419,162,4.97,3394,137,4.21,3212,3419,1400-3-12,2021-06-02
27,كوير,توليدي فولاد سپيد فراب كوير,5876,38572610,541357125640,13420,14090,13980,560,4.17,14030,610,4.55,13540,14090,1400-3-12,2021-06-02
28,ثاميد,توسعه و عمران اميد,5648,96719218,160096868338,1587,1619,1661,74,4.66,1655,68,4.28,1590,1666,1400-3-12,2021-06-02
29,ثبهساز,بهساز كاشانه تهران,5583,52318269,97115224907,1773,1810,1861,88,4.96,1856,83,4.68,1810,1861,1400-3-12,2021-06-02
30,فاراك,ماشين‌ سازي‌ اراك‌,5520,156295441,304587136582,2002,1902,1985,-17,-0.85,1949,-53,-2.65,1902,2029,1400-3-12,2021-06-02
31,كرمان,س. توسعه و عمران استان كرمان,5498,209910649,212246935562,974,960,1022,48,4.93,1011,37,3.8,960,1022,1400-3-12,2021-06-02
32,بوعلي,پتروشيمي بوعلي سينا,5047,1259784,55490684330,44160,43850,44500,340,0.77,44060,-100,-0.23,43450,44600,1400-3-12,2021-06-02
33,حكشتي,كشتيراني جمهوري اسلامي ايران,5020,28709362,363516874030,12620,12120,12980,360,2.85,12660,40,0.32,11990,13190,1400-3-12,2021-06-02
34,وكبهمن,مديريت سرمايه گذاري كوثربهمن,4998,2674036,29545408376,10818,10900,11053,235,2.17,11049,231,2.14,10900,11116,1400-3-12,2021-06-02
35,چكاپا,گروه صنايع كاغذ پارس,4988,72843240,309616031010,4070,4100,4273,203,4.99,4250,180,4.42,4100,4273,1400-3-12,2021-06-02
36,بزاگرس,نيروگاه زاگرس كوثر,4977,43911410,239948791119,5708,5423,5424,-284,-4.98,5464,-244,-4.27,5423,5610,1400-3-12,2021-06-02
37,خبهمن,گروه‌بهمن‌,4926,214125982,235292709859,1067,1050,1120,53,4.97,1099,32,3,1037,1120,1400-3-12,2021-06-02
38,وخارزمح,ح.سرمايه گذاري خوارزمي,4785,32663314,82343849119,2438,2300,2470,32,1.31,2521,83,3.4,2300,2650,1400-3-12,2021-06-02
39,آبادا,توليد نيروي برق آبادان,4487,4664462,49872255360,9970,10710,10930,960,9.63,10690,720,7.22,10330,11090,1400-3-12,2021-06-02
40,خزاميا,زامياد,4319,46398957,254224212390,5500,5230,5590,90,1.64,5480,-20,-0.36,5230,5690,1400-3-12,2021-06-02
41,وتجارت,بانك تجارت,4277,92280229,188403555391,2004,1970,2060,56,2.79,2042,38,1.9,1950,2082,1400-3-12,2021-06-02
42,بپيوند,برق و انرژي پيوندگستر پارس,4144,5343848,57406290913,10349,10480,10866,517,5,10743,394,3.81,10012,10866,1400-3-12,2021-06-02
43,آريا,پليمر آريا ساسول,4068,1709277,145104033412,83737,84980,85322,1585,1.89,84892,1155,1.38,83737,85520,1400-3-12,2021-06-02
44,وسپهر,سرمايه گذاري مالي سپهرصادرات,4063,7911842,71954438312,9095,9094,9096,1,0.01,9095,0,0,9094,9100,1400-3-12,2021-06-02
45,فجر,فولاد اميركبيركاشان,3996,14278657,354712218240,23950,25140,24440,490,2.05,24840,890,3.72,24100,25140,1400-3-12,2021-06-02
46,كاذر,فرآورده‌هاي‌نسوزآذر,3585,15063100,212507120080,14480,13820,14300,-180,-1.24,14110,-370,-2.56,13760,14800,1400-3-12,2021-06-02
47,پترول,گ.س.وت.ص.پتروشيمي خليج فارس,3445,18299759,155510350280,8380,8300,8540,160,1.91,8500,120,1.43,8250,8640,1400-3-12,2021-06-02
