,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین,تاریخ,gregorian_date
0,وهامون,سرمايه گذاري هامون صبا,172339,257592647,1309411904266,4847,5089,5089,242,4.99,5083,236,4.87,4859,5089,1400-6-14,2021-09-05
1,سپيدار,سپيدار سيستم آسيا,39849,29226446,690686874366,24100,24500,24366,266,1.1,23632,-468,-1.94,22895,24943,1400-6-14,2021-09-05
2,مديريت,س. و خدمات مديريت صند. ب كشوري,37886,7912607,68808030472,8282,8696,8696,414,5,8696,414,5,8696,8696,1400-6-14,2021-09-05
3,پالايش,صندوق پالايشي يكم-سهام,37345,39834612,3361623761800,87110,85100,84200,-2910,-3.34,84390,-2720,-3.12,83020,85400,1400-6-14,2021-09-05
4,دي,بانك دي,36474,1211068175,1651750268271,1340,1366,1356,16,1.19,1364,24,1.79,1301,1397,1400-6-14,2021-09-05
5,فرابورس,فرابورس ايران,34068,88396899,2934277819298,32305,32100,33400,1095,3.39,33194,889,2.75,30800,33920,1400-6-14,2021-09-05
6,شستا,سرمايه گذاري تامين اجتماعي,30399,135317342,1785350233830,13480,13400,13090,-390,-2.89,13190,-290,-2.15,13030,13470,1400-6-14,2021-09-05
7,دارا يكم,صندوق واسطه گري مالي يكم-سهام,22654,16112492,2277533770730,143420,141500,141580,-1840,-1.28,141350,-2070,-1.44,137810,143850,1400-6-14,2021-09-05
8,شبندر,پالايش نفت بندرعباس,19326,228470871,1355169956990,6030,5900,5970,-60,-1,5930,-100,-1.66,5800,6010,1400-6-14,2021-09-05
9,بركت,گروه دارويي بركت,19143,40415777,1774676855050,42370,43800,44480,2110,4.98,43910,1540,3.63,42360,44480,1400-6-14,2021-09-05
10,خساپا,سايپا,17227,611092296,1267466110703,2055,2030,2088,33,1.61,2074,19,0.92,1981,2130,1400-6-14,2021-09-05
11,خودرو,ايران‌ خودرو,17139,529526026,1205083920098,2253,2215,2294,41,1.82,2276,23,1.02,2179,2331,1400-6-14,2021-09-05
12,شپنا,پالايش نفت اصفهان,16265,89686400,1248818355430,14250,14030,13960,-290,-2.04,13920,-330,-2.32,13760,14100,1400-6-14,2021-09-05
13,خگستر,گسترش‌سرمايه‌گذاري‌ايران‌خودرو,15897,564064224,1794877756476,3069,3010,3222,153,4.99,3182,113,3.68,2951,3222,1400-6-14,2021-09-05
14,پترول,گ.س.وت.ص.پتروشيمي خليج فارس,15026,156757023,715976361513,4429,4500,4546,117,2.64,4567,138,3.12,4370,4640,1400-6-14,2021-09-05
15,فملي,ملي‌ صنايع‌ مس‌ ايران‌,13045,53429139,738335549430,14010,13770,13850,-160,-1.14,13820,-190,-1.36,13680,13980,1400-6-14,2021-09-05
16,فولاد,فولاد مباركه اصفهان,13019,58579333,696750759120,12060,12050,11890,-170,-1.41,11890,-170,-1.41,11720,12060,1400-6-14,2021-09-05
17,لپارس,پارس‌ الكتريك‌,12928,9727483,1213536373700,120330,123890,126340,6010,4.99,124750,4420,3.67,117100,126340,1400-6-14,2021-09-05
18,كرمان,س. توسعه و عمران استان كرمان,12344,393903654,563556738955,1437,1433,1440,3,0.21,1431,-6,-0.42,1380,1463,1400-6-14,2021-09-05
19,سنير,سيمان‌ سفيد ني‌ريز,11907,6661189,1174036605040,183170,192320,174020,-9150,-5,176250,-6920,-3.78,174020,192320,1400-6-14,2021-09-05
20,ثبهساز,بهساز كاشانه تهران,11589,82073286,204802188529,2497,2510,2546,49,1.96,2495,-2,-0.08,2412,2579,1400-6-14,2021-09-05
21,كرازي,كارخانجات‌توليدي‌شيشه‌رازي‌,11231,298745098,525951779333,1766,1785,1738,-28,-1.59,1761,-5,-0.28,1700,1820,1400-6-14,2021-09-05
22,گدنا,تهيه توزيع غذاي دنا آفرين فدك,11196,7783282,202868968790,24972,25399,26220,1248,5,26065,1093,4.38,24850,26220,1400-6-14,2021-09-05
23,شتران,پالايش نفت تهران,10940,76375945,864754762710,11540,11310,11340,-200,-1.73,11320,-220,-1.91,11160,11540,1400-6-14,2021-09-05
24,غزر,صنعتي زر ماكارون,10939,18477277,545018764260,28260,29000,29670,1410,4.99,29500,1240,4.39,27000,29670,1400-6-14,2021-09-05
25,ولكار,ليزينگ كارآفرين,10836,14093306,77364737640,5560,5590,5430,-130,-2.34,5490,-70,-1.26,5310,5690,1400-6-14,2021-09-05
26,هاي وب,داده گسترعصرنوين-هاي وب,10798,91698182,955561140430,10000,10270,10500,500,5,10420,420,4.2,10050,10500,1400-6-14,2021-09-05
27,لطيف,محصولات كاغذي لطيف,10737,2424738,144887067576,58629,59990,59000,371,0.63,59754,1125,1.92,58931,60750,1400-6-14,2021-09-05
28,ومدير,گ.مديريت ارزش سرمايه ص ب كشوري,10729,42096800,230537135130,5560,5610,5460,-100,-1.8,5480,-80,-1.44,5410,5610,1400-6-14,2021-09-05
