,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین,تاریخ,gregorian_date
0,دارا يكم,صندوق واسطه گري مالي يكم-سهام,47854,48193710,6763937772840,135380,136300,142340,6960,5.14,140350,4970,3.67,135500,143780,1400-2-8,2021-04-28
1,پالايش,صندوق پالايشي يكم-سهام,45196,55845194,4119050550890,72700,73300,74000,1300,1.79,73760,1060,1.46,72000,75490,1400-2-8,2021-04-28
2,خساپا,سايپا,24389,925184942,1839147123290,1940,1950,2030,90,4.64,1990,50,2.58,1900,2040,1400-2-8,2021-04-28
3,خودرو,ايران‌ خودرو,20859,807459265,1708357752330,2060,2060,2160,100,4.85,2120,60,2.91,2020,2180,1400-2-8,2021-04-28
4,فملي,ملي‌ صنايع‌ مس‌ ايران‌,17297,98350081,1200387842090,12040,12240,12130,90,0.75,12210,170,1.41,11830,12530,1400-2-8,2021-04-28
5,امينح,ح . تامين سرمايه امين,17254,23328221,118011403540,4640,4700,5190,550,11.85,5060,420,9.05,4690,5190,1400-2-8,2021-04-28
6,شپنا,پالايش نفت اصفهان,17193,128765004,1396461566680,11000,11000,10850,-150,-1.36,10850,-150,-1.36,10670,11390,1400-2-8,2021-04-28
7,بركت,گروه دارويي بركت,17163,38089844,1227827294000,32800,33000,31820,-980,-2.99,32240,-560,-1.71,31820,33270,1400-2-8,2021-04-28
8,خگستر,گسترش‌سرمايه‌گذاري‌ايران‌خودرو,16607,440860483,1085712869070,2480,2430,2520,40,1.61,2460,-20,-0.81,2410,2550,1400-2-8,2021-04-28
9,وبملت,بانك ملت,15192,539813093,2422315869670,4250,4360,4500,250,5.88,4490,240,5.65,4330,4500,1400-2-8,2021-04-28
10,وتجارت,بانك تجارت,15011,526356037,1411155991450,2550,2590,2700,150,5.88,2680,130,5.1,2580,2700,1400-2-8,2021-04-28
11,شستا,سرمايه گذاري تامين اجتماعي,12552,45301053,526781331120,11630,11650,11530,-100,-0.86,11630,0,0,11350,11950,1400-2-8,2021-04-28
12,شتران,پالايش نفت تهران,10281,75339993,651954284690,8800,8740,8640,-160,-1.82,8650,-150,-1.7,8540,8960,1400-2-8,2021-04-28
13,فولاد,فولاد مباركه اصفهان,9133,56904744,726552365030,12660,12670,12660,0,0,12770,110,0.87,12450,13200,1400-2-8,2021-04-28
14,امين,تامين سرمايه امين,8406,6395935,45057811850,7110,7010,7090,-20,-0.28,7050,-60,-0.84,6990,7350,1400-2-8,2021-04-28
15,وبصادر,بانك صادرات ايران,8167,297994964,696932500920,2220,2250,2350,130,5.86,2340,120,5.41,2250,2350,1400-2-8,2021-04-28
16,خبهمن,گروه‌بهمن‌,7217,501229329,716082245680,1350,1390,1430,80,5.93,1430,80,5.93,1380,1430,1400-2-8,2021-04-28
17,ضخود2005,اختيارخ خودرو-2000-1400/02/08,6904,376380,6838080000,21,9,31,10,47.62,18,-3,-14.29,2,35,1400-2-8,2021-04-28
18,كرمان,س. توسعه و عمران استان كرمان,6250,233444563,287382014100,1176,1192,1246,70,5.95,1231,55,4.68,1150,1246,1400-2-8,2021-04-28
19,بوعلي,پتروشيمي بوعلي سينا,6182,2901041,124477260410,42090,41900,42950,860,2.04,42910,820,1.95,41900,43560,1400-2-8,2021-04-28
20,وكبهمن,مديريت سرمايه گذاري كوثربهمن,5898,2788062,29920681712,10414,10728,10900,486,4.67,10598,184,1.77,10451,10985,1400-2-8,2021-04-28
21,ذوب,سهامي ذوب آهن  اصفهان,5748,82929267,281037939126,3370,3359,3395,25,0.74,3389,19,0.56,3330,3463,1400-2-8,2021-04-28
22,ساراب,سيمان‌ داراب‌,5457,23379154,473348127160,20390,19780,19780,-610,-2.99,20250,-140,-0.69,19780,21350,1400-2-8,2021-04-28
23,شبندر,پالايش نفت بندرعباس,5382,19225180,419242310960,22190,22000,21750,-440,-1.98,21810,-380,-1.71,21530,22640,1400-2-8,2021-04-28
24,شگويا,پتروشيمي تندگويان,5351,25503805,226340016986,8893,8893,8779,-114,-1.28,8875,-18,-0.2,8662,9197,1400-2-8,2021-04-28
25,پترول,گ.س.وت.ص.پتروشيمي خليج فارس,5304,29994203,260431353680,8620,8740,8660,40,0.46,8680,60,0.7,8550,8910,1400-2-8,2021-04-28
26,آريا,پليمر آريا ساسول,4445,1802920,159053960437,87176,88850,87700,524,0.6,88220,1044,1.2,87000,88850,1400-2-8,2021-04-28
27,حكشتي,كشتيراني جمهوري اسلامي ايران,4262,22939323,398070753360,17840,17310,17310,-530,-2.97,17350,-490,-2.75,17310,17630,1400-2-8,2021-04-28
28,ماديرا,صنايع ماديران,4241,29242168,230949393882,8102,7859,7880,-222,-2.74,7898,-204,-2.52,7859,8199,1400-2-8,2021-04-28
29,بپيوند,برق و انرژي پيوندگستر پارس,4073,3787307,45080638672,12111,11900,11940,-171,-1.41,11912,-199,-1.64,11748,12230,1400-2-8,2021-04-28
30,اپال,فرآوري معدني اپال كاني پارس,3839,4343188,74168809420,17060,17050,17060,0,0,17070,10,0.06,17000,17290,1400-2-8,2021-04-28
31,وخارزم,سرمايه گذاري خوارزمي,3726,36001464,174457267080,4960,4820,4870,-90,-1.81,4850,-110,-2.22,4820,4960,1400-2-8,2021-04-28
32,امين يكم,صندوق درآمد ثابت امين يكم فردا,3620,111600279,1125484722824,10075,10082,10087,12,0.12,10085,10,0.1,10078,10090,1400-2-8,2021-04-28
33,سيتا,سرمايه گذاري سيمان تامين,3573,4827283,72417905230,15010,15000,15000,-10,-0.07,15000,-10,-0.07,15000,15040,1400-2-8,2021-04-28
34,كيان,صندوق س. با درآمد ثابت كيان,3443,34227879,964917786050,28161,28191,28193,32,0.11,28191,30,0.11,28190,28195,1400-2-8,2021-04-28
35,وپارس,بانك‌پارسيان‌,3354,96862236,241727463550,2440,2440,2500,60,2.46,2500,60,2.46,2410,2540,1400-2-8,2021-04-28
36,وپاسار,بانك  پاسارگاد,3241,35666825,505618915910,13700,13770,14390,690,5.04,14180,480,3.5,13770,14400,1400-2-8,2021-04-28
37,وخارزمح,ح.سرمايه گذاري خوارزمي,3229,12791131,42506338130,3320,3350,3330,10,0.3,3320,0,0,3220,3450,1400-2-8,2021-04-28
38,ونوين,بانك‌اقتصادنوين‌,3103,65144758,288937150130,4230,4290,4480,250,5.91,4440,210,4.96,4230,4480,1400-2-8,2021-04-28
39,پيزد,مجتمع صنايع لاستيك يزد,3037,485149,30080929446,63504,63000,64000,496,0.78,62555,-949,-1.49,61599,64700,1400-2-8,2021-04-28
40,كمند,صندوق س. با درآمد ثابت كمند,2957,113449657,1149559468134,10127,10132,10133,6,0.06,10133,6,0.06,10132,10136,1400-2-8,2021-04-28
41,تملت,تامين سرمايه بانك ملت,2922,18712724,92062658820,4730,4730,4910,180,3.81,4920,190,4.02,4620,5010,1400-2-8,2021-04-28
42,غگل,گلوكوزان‌,2773,28289415,86063785240,3000,3080,3030,30,1,3040,40,1.33,2990,3110,1400-2-8,2021-04-28
43,بگيلان,توسعه مسير برق گيلان,2690,434340,8712659016,20480,20000,20110,-370,-1.81,20403,-77,-0.38,19901,20480,1400-2-8,2021-04-28
44,فباهنرح,ح . مس‌ شهيدباهنر,2643,8455093,152481905640,17520,17970,18170,650,3.71,18030,510,2.91,17230,18600,1400-2-8,2021-04-28
45,فخوز,فولاد  خوزستان,2642,13936323,213594338800,15240,15240,15320,80,0.52,15330,90,0.59,15100,15760,1400-2-8,2021-04-28
46,فارس,صنايع پتروشيمي خليج فارس,2601,12882692,115761264520,8850,8940,8950,100,1.13,8980,130,1.47,8800,9200,1400-2-8,2021-04-28
47,كارين2,صندوق س نگين سامان-ثابت,2490,24900000,24900000,10039,1,1,-10038,-99.99,1,-10038,-99.99,1,1,1400-2-8,2021-04-28
48,آوا,صندوق س.سهام آواي معيار-س,2357,15431836,100763497594,6498,6460,6549,51,0.78,6530,32,0.49,6403,6657,1400-2-8,2021-04-28
