,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین,تاریخ,gregorian_date
0,خودرو,ايران‌ خودرو,17475,733471286,1370244919683,1921,1890,1856,-65,-3.38,1868,-53,-2.76,1825,1950,1400-9-24,2021-12-15
1,پالايش,صندوق پالايشي يكم-سهام,15399,14992986,1019408446140,68270,68600,67520,-750,-1.1,67990,-280,-0.41,67200,69060,1400-9-24,2021-12-15
2,خساپا,سايپا,8784,358476424,547801393559,1547,1529,1530,-17,-1.1,1528,-19,-1.23,1478,1589,1400-9-24,2021-12-15
3,فرابورس,فرابورس ايران,8476,33485720,548200971030,16364,16440,16481,117,0.71,16371,7,0.04,15760,17005,1400-9-24,2021-12-15
4,فولاد,فولاد مباركه اصفهان,8472,41755901,412129633110,9850,9850,9840,-10,-0.1,9870,20,0.2,9770,10100,1400-9-24,2021-12-15
5,شستا,سرمايه گذاري تامين اجتماعي,8312,38030270,380172279350,10010,10050,9980,-30,-0.3,10000,-10,-0.1,9920,10140,1400-9-24,2021-12-15
6,دارا يكم,صندوق واسطه گري مالي يكم-سهام,8144,4510498,477515570280,105990,106710,105600,-390,-0.37,105870,-120,-0.11,105000,107480,1400-9-24,2021-12-15
7,كالا,بورس كالاي ايران,7252,23857345,730469854280,29340,30150,30800,1460,4.98,30620,1280,4.36,29950,30800,1400-9-24,2021-12-15
8,توسن,توسعه سامانه ي نرم افزاري نگين,6888,15360529,275782365925,18375,18400,17490,-885,-4.82,17954,-421,-2.29,17457,19200,1400-9-24,2021-12-15
9,سغدير,توسعه سرمايه و صنعت غدير,6595,23377628,362754488608,15610,15010,15695,85,0.54,15517,-93,-0.6,14841,15977,1400-9-24,2021-12-15
10,خگستر,گسترش‌سرمايه‌گذاري‌ايران‌خودرو,6131,222351817,478158562418,2210,2175,2138,-72,-3.26,2150,-60,-2.71,2100,2290,1400-9-24,2021-12-15
11,فملي,ملي‌ صنايع‌ مس‌ ايران‌,5733,36436429,227749526720,6190,6210,6240,50,0.81,6250,60,0.97,6190,6340,1400-9-24,2021-12-15
12,كمند,صندوق س. با درآمد ثابت كمند,5556,233310396,2345316461744,10044,10053,10053,9,0.09,10052,8,0.08,10052,10053,1400-9-24,2021-12-15
13,كدما,معدني‌ دماوند,5293,4793304,262515049840,55730,55000,55340,-390,-0.7,54770,-960,-1.72,53000,57420,1400-9-24,2021-12-15
14,بركت,گروه دارويي بركت,5250,21802897,381250582570,17610,17600,17450,-160,-0.91,17490,-120,-0.68,16860,17850,1400-9-24,2021-12-15
15,خپارس,پارس‌ خودرو,4990,189547284,187289561174,1008,985,984,-24,-2.38,988,-20,-1.98,958,1032,1400-9-24,2021-12-15
16,شبندر,پالايش نفت بندرعباس,4951,48779627,295017607660,6060,6100,6000,-60,-0.99,6050,-10,-0.17,5950,6190,1400-9-24,2021-12-15
17,انرژي3,سايراشخاص بورس انرژي,4731,2785030,270417280410,95400,98000,97250,1850,1.94,97100,1700,1.78,94490,99890,1400-9-24,2021-12-15
18,مديريت,س. و خدمات مديريت صند. ب كشوري,4634,12864625,116701924441,8698,8900,9132,434,4.99,9072,374,4.3,8780,9132,1400-9-24,2021-12-15
19,فردا,صندوق س آواي فرداي زاگرس-ثابت,4520,222181695,2667294111716,11998,12005,12006,8,0.07,12005,7,0.06,12005,12006,1400-9-24,2021-12-15
20,تپكو,توليدتجهيزات‌سنگين‌هپكو,4411,128129468,401688394368,3201,3230,3105,-96,-3,3135,-66,-2.06,3105,3250,1400-9-24,2021-12-15
21,فسبزوار,پارس فولاد سبزوار,4211,1969715,66319049800,33680,33360,33690,10,0.03,33670,-10,-0.03,33360,34000,1400-9-24,2021-12-15
22,امين يكم,صندوق درآمد ثابت امين يكم فردا,3827,149887196,1517128757375,10112,10119,10126,14,0.14,10122,10,0.1,10118,10126,1400-9-24,2021-12-15
23,فجهان,مجتمع جهان فولاد سيرجان,3676,19892914,105446093341,5301,5302,5300,-1,-0.02,5301,0,0,5290,5330,1400-9-24,2021-12-15
24,ضخود1052,اختيارخ خودرو-2000-1400/10/08,3432,160984,8291881000,62,56,51,-11,-17.74,52,-10,-16.13,39,68,1400-9-24,2021-12-15
25,كيان,صندوق س. با درآمد ثابت كيان,3367,56910899,1826232565639,32059,32095,32089,30,0.09,32089,30,0.09,32080,32095,1400-9-24,2021-12-15
26,فاذر,صنايع‌ آذرآب‌,3276,165431885,160923970192,957,980,1004,47,4.91,973,16,1.67,923,1004,1400-9-24,2021-12-15
27,بورس,بورس اوراق بهادار تهران,3122,21989001,229898414790,10680,10680,10460,-220,-2.06,10460,-220,-2.06,10170,10770,1400-9-24,2021-12-15
28,شپنا,پالايش نفت اصفهان,3104,25062217,139495379440,5570,5580,5550,-20,-0.36,5570,0,0,5500,5690,1400-9-24,2021-12-15
29,قتربت,قند تربت حيدريه,3085,455757,25038102204,54373,55979,52742,-1631,-3,54937,564,1.04,52742,56004,1400-9-24,2021-12-15
30,سحرخيز,صندوق س. گروه زعفران سحرخيز,2971,5870939,111986315305,18455,19290,18715,260,1.41,19075,620,3.36,18500,19340,1400-9-24,2021-12-15
31,خبهمن,گروه‌بهمن‌,2855,92347527,164773455267,1775,1780,1797,22,1.24,1784,9,0.51,1751,1840,1400-9-24,2021-12-15
32,كرمان,س. توسعه و عمران استان كرمان,2816,82788381,73295511624,885,892,886,1,0.11,885,0,0,872,905,1400-9-24,2021-12-15
33,وسديد,گروه ‌صنعتي‌سديد,2787,53636605,57450749655,1042,1030,1073,31,2.98,1071,29,2.78,1030,1073,1400-9-24,2021-12-15
34,نوري,پتروشيمي نوري,2654,1332498,140163131250,103840,106400,105500,1660,1.6,105190,1350,1.3,103910,106490,1400-9-24,2021-12-15
35,كيمياتك,آريان كيميا تك,2640,736319,18028310050,24500,24500,24400,-100,-0.41,24480,-20,-0.08,24300,24590,1400-9-24,2021-12-15
36,لپارس,پارس‌ الكتريك‌,2551,2471821,199930915360,77420,81290,81290,3870,5,80880,3460,4.47,79100,81290,1400-9-24,2021-12-15
37,پترول,گ.س.وت.ص.پتروشيمي خليج فارس,2479,42515508,97827585238,2323,2331,2296,-27,-1.16,2301,-22,-0.95,2260,2390,1400-9-24,2021-12-15
38,شفن,پتروشيمي فناوران,2431,15079759,211402814590,13370,13970,14030,660,4.94,14020,650,4.86,13680,14030,1400-9-24,2021-12-15
39,خنصير,مهندسي‌نصيرماشين‌,2332,13578922,218077663650,16790,15960,15960,-830,-4.94,16060,-730,-4.35,15960,16980,1400-9-24,2021-12-15
40,وتجارت,بانك تجارت,2323,55301490,93238532524,1683,1717,1671,-12,-0.71,1686,3,0.18,1662,1720,1400-9-24,2021-12-15
41,وبملت,بانك ملت,2316,51371112,138654378829,2711,2715,2698,-13,-0.48,2699,-12,-0.44,2655,2770,1400-9-24,2021-12-15
42,غزر,صنعتي زر ماكارون,2292,4137707,39106545780,9440,9270,9460,20,0.21,9450,10,0.11,9180,9890,1400-9-24,2021-12-15
43,گدنا,تهيه توزيع غذاي دنا آفرين فدك,2275,2718335,29569823681,11282,11200,10910,-372,-3.3,10878,-404,-3.58,10718,11590,1400-9-24,2021-12-15
44,ثاميد,توسعه و عمران اميد,2264,15887289,23034964264,1438,1405,1454,16,1.11,1450,12,0.83,1405,1460,1400-9-24,2021-12-15
45,آپ,آسان پرداخت پرشين,2247,11984944,112614838410,9700,9660,9380,-320,-3.3,9400,-300,-3.09,9220,10040,1400-9-24,2021-12-15
46,شتران,پالايش نفت تهران,2213,22691166,89805908310,3950,3979,3949,-1,-0.03,3956,6,0.15,3901,4047,1400-9-24,2021-12-15
47,وغدير,سرمايه‌گذاري‌غدير(هلدينگ‌,2108,15111388,218147892240,14590,14610,14600,10,0.07,14440,-150,-1.03,14190,14700,1400-9-24,2021-12-15
48,آريا,پليمر آريا ساسول,2076,589596,62379503387,105196,104577,106390,1194,1.14,105587,391,0.37,104577,108090,1400-9-24,2021-12-15
49,سپيد,سپيد ماكيان,2053,1230651,71893435450,58480,57100,59000,520,0.89,58420,-60,-0.1,57100,60000,1400-9-24,2021-12-15
50,كماسه,تامين‌ ماسه‌ ريخته‌گري‌,2039,43096494,146037699586,3544,3367,3426,-118,-3.33,3389,-155,-4.37,3367,3467,1400-9-24,2021-12-15
51,امين,تامين سرمايه امين,1996,975889,11950728860,12220,12250,12250,30,0.25,12230,10,0.08,12230,12260,1400-9-24,2021-12-15
52,تملتح,ح . تامين سرمايه بانك ملت,1964,10037916,10301640814,1008,1003,1056,48,4.76,1026,18,1.79,1003,1056,1400-9-24,2021-12-15
53,وخارزم,سرمايه گذاري خوارزمي,1955,20726531,83360015980,4013,4099,3980,-33,-0.82,4022,9,0.22,3955,4119,1400-9-24,2021-12-15
54,اعتماد,صندوق س.اعتماد آفرين پارسيان-د,1950,43497110,1769071000260,40629,40671,40670,41,0.1,40671,42,0.1,40670,40674,1400-9-24,2021-12-15
55,صبا,سرمايه گذاري صبا تامين,1945,10297830,60816673274,5961,6006,5888,-73,-1.22,5929,-32,-0.54,5831,6009,1400-9-24,2021-12-15
56,فردا2,صندوق س آواي فرداي زاگرس-ثابت,1938,193800000,193800000,11998,1,1,-11997,-99.99,1,-11997,-99.99,1,1,1400-9-24,2021-12-15
57,وهامون,سرمايه گذاري هامون صبا,1918,9347740,24887397700,2705,2700,2700,-5,-0.18,2662,-43,-1.59,2604,2729,1400-9-24,2021-12-15
58,شلرد,كود شيميايي اوره لردگان,1893,12959653,135397677483,10801,10600,10416,-385,-3.56,10448,-353,-3.27,10270,10803,1400-9-24,2021-12-15
59,طلا,صندوق س.پشتوانه طلاي لوتوس,1888,4378994,409186779947,90909,92989,93700,2791,3.07,93443,2534,2.79,92900,93820,1400-9-24,2021-12-15
60,پارند,صندوق س. پارند پايدار سپهر,1881,78214175,786147077917,10045,10052,10051,6,0.06,10051,6,0.06,10051,10052,1400-9-24,2021-12-15
61,شگويا,پتروشيمي تندگويان,1840,10433541,111380237076,10662,10629,10781,119,1.12,10675,13,0.12,10550,10854,1400-9-24,2021-12-15
62,گنجين2,صندوق س. گنجينه يكم آويد-د,1829,182900000,182900000,14356,1,1,-14355,-99.99,1,-14355,-99.99,1,1,1400-9-24,2021-12-15
63,بوعلي,پتروشيمي بوعلي سينا,1828,705904,48564580700,69080,68030,68150,-930,-1.35,68930,-150,-0.22,67650,70600,1400-9-24,2021-12-15
64,گكوثر,هتل پارسيان كوثر اصفهان,1824,28532782,51472717037,1864,1880,1771,-93,-4.99,1804,-60,-3.22,1771,1880,1400-9-24,2021-12-15
65,بركتح,ح . گروه دارويي بركت,1819,5601538,76184073220,13900,13720,13590,-310,-2.23,13600,-300,-2.16,13170,14280,1400-9-24,2021-12-15
66,شفنح,ح . پتروشيمي فناوران,1803,17283974,174155903040,9590,9800,10050,460,4.8,10080,490,5.11,9750,10190,1400-9-24,2021-12-15
67,سپيدار,سپيدار سيستم آسيا,1794,601579,11449931768,19187,19100,19000,-187,-0.97,19059,-128,-0.67,18452,19260,1400-9-24,2021-12-15
68,ومدير,گ.مديريت ارزش سرمايه ص ب كشوري,1744,6380527,27444847754,4256,4245,4340,84,1.97,4301,45,1.06,4240,4380,1400-9-24,2021-12-15
69,وبصادر,بانك صادرات ايران,1733,39516264,63365628685,1606,1609,1593,-13,-0.81,1605,-1,-0.06,1584,1643,1400-9-24,2021-12-15
70,ولپارس,ليزينگ پارسيان,1729,14150367,40373783621,2985,2930,2858,-127,-4.25,2853,-132,-4.42,2836,3000,1400-9-24,2021-12-15
71,كاما,باما,1717,10003993,63509844430,6460,6420,6320,-140,-2.17,6350,-110,-1.7,6230,6540,1400-9-24,2021-12-15
72,ماديرا,صنايع ماديران,1701,20472411,108854016775,5077,5214,5330,253,4.98,5317,240,4.73,5200,5330,1400-9-24,2021-12-15
73,خاور,ايران خودرو ديزل,1695,114013701,113599035746,968,971,997,29,3,996,28,2.89,971,997,1400-9-24,2021-12-15
74,خزاميا,زامياد,1673,17391760,109430444040,6070,6300,6370,300,4.94,6290,220,3.62,6100,6370,1400-9-24,2021-12-15
75,شاروم,پتروشيمي اروميه,1651,1246868,15325824744,12465,12215,12112,-353,-2.83,12291,-174,-1.4,11971,12748,1400-9-24,2021-12-15
76,غمارگ,مارگارين‌,1623,38552441,85586769299,2315,2200,2300,-15,-0.65,2220,-95,-4.1,2200,2399,1400-9-24,2021-12-15
77,سمگا,گروه سرمايه گذاري ميراث فرهنگي,1622,18778911,202866472990,11140,11114,10583,-557,-5,10803,-337,-3.03,10583,11479,1400-9-24,2021-12-15
78,نهال,صندوق س. طلاي سرخ نوويرا,1618,3311835,64294677351,18900,19574,19228,328,1.74,19414,514,2.72,19011,19790,1400-9-24,2021-12-15
79,ثبهساز,بهساز كاشانه تهران,1600,13571239,19691848605,1447,1450,1452,5,0.35,1451,4,0.28,1413,1478,1400-9-24,2021-12-15
80,وسپهر,سرمايه گذاري مالي سپهرصادرات,1588,5769475,40617260533,7039,7040,7040,1,0.01,7039,0,0,7040,7047,1400-9-24,2021-12-15
81,غدام,خوراك‌  دام‌ پارس‌,1581,979527,88694387800,86590,85010,90910,4320,4.99,90550,3960,4.57,85010,90910,1400-9-24,2021-12-15
82,وفتخار,سرمايه گذاري افتخار سهام,1550,8011875,13446394618,1728,1677,1677,-51,-2.95,1678,-50,-2.89,1677,1765,1400-9-24,2021-12-15
83,بپيوند,برق و انرژي پيوندگستر پارس,1546,886203,7911725930,9106,9098,9105,-1,-0.01,9006,-100,-1.1,8814,9106,1400-9-24,2021-12-15
84,غكورش,صنعت غذايي كورش,1544,1778088,86911522400,48080,48990,48430,350,0.73,48880,800,1.66,48000,49500,1400-9-24,2021-12-15
85,رافزا,رايان هم افزا,1538,406690,23587983083,56285,58600,56890,605,1.07,58000,1715,3.05,56801,58890,1400-9-24,2021-12-15
86,خمهرح,ح . مهركام‌پارس‌,1508,29139473,18675334733,670,650,632,-38,-5.67,641,-29,-4.33,608,692,1400-9-24,2021-12-15
87,كوير,توليدي فولاد سپيد فراب كوير,1485,19151744,105734970780,5660,5830,5380,-280,-4.95,5520,-140,-2.47,5380,5830,1400-9-24,2021-12-15
88,ختوقا,قطعات‌ اتومبيل‌ ايران‌,1459,45811247,103424807684,2358,2268,2241,-117,-4.96,2258,-100,-4.24,2241,2394,1400-9-24,2021-12-15
