,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین,تاریخ,gregorian_date
0,سپيد,سپيد ماكيان,56912,5063403,180206512770,33900,35590,35590,1690,4.99,35590,1690,4.99,35590,35590,1400-5-13,2021-08-04
1,دي,بانك دي,44771,1395477764,1574800699534,1178,1165,1133,-45,-3.82,1129,-49,-4.16,1120,1165,1400-5-13,2021-08-04
2,شستا,سرمايه گذاري تامين اجتماعي,40637,255047784,3444194594010,12960,13010,13600,640,4.94,13500,540,4.17,13010,13600,1400-5-13,2021-08-04
3,پالايش,صندوق پالايشي يكم-سهام,26491,25231841,1778960385950,69580,69790,71070,1490,2.14,70500,920,1.32,69630,71320,1400-5-13,2021-08-04
4,فملي,ملي‌ صنايع‌ مس‌ ايران‌,23617,130718450,1832513656950,13490,13560,14150,660,4.89,14020,530,3.93,13550,14150,1400-5-13,2021-08-04
5,لطيف,محصولات كاغذي لطيف,20829,2353117,128338137327,55119,54880,53960,-1159,-2.1,54540,-579,-1.05,53700,56151,1400-5-13,2021-08-04
6,بركت,گروه دارويي بركت,19556,44661087,1748548806730,37660,38160,39540,1880,4.99,39150,1490,3.96,37660,39540,1400-5-13,2021-08-04
7,شپنا,پالايش نفت اصفهان,18422,187476042,2382366145250,12240,12250,12850,610,4.98,12710,470,3.84,12250,12850,1400-5-13,2021-08-04
8,پترول,گ.س.وت.ص.پتروشيمي خليج فارس,17342,116494793,1248439738090,10780,10680,10800,20,0.19,10720,-60,-0.56,10450,10930,1400-5-13,2021-08-04
9,گدنا,تهيه توزيع غذاي دنا آفرين فدك,17166,18663200,410550824151,21660,22220,22460,800,3.69,21998,338,1.56,20577,22743,1400-5-13,2021-08-04
10,كرمان,س. توسعه و عمران استان كرمان,16948,598000148,725783297821,1257,1257,1229,-28,-2.23,1214,-43,-3.42,1195,1266,1400-5-13,2021-08-04
11,وهامون,سرمايه گذاري هامون صبا,16112,10993466,26659155050,2310,2425,2425,115,4.98,2425,115,4.98,2425,2425,1400-5-13,2021-08-04
12,خودرو,ايران‌ خودرو,15720,408172024,804374931828,2001,1994,1961,-40,-2,1971,-30,-1.5,1952,2020,1400-5-13,2021-08-04
13,ولكار,ليزينگ كارآفرين,13972,12949421,54657197892,4257,4200,4160,-97,-2.28,4221,-36,-0.85,4100,4277,1400-5-13,2021-08-04
14,ومدير,گ.مديريت ارزش سرمايه ص ب كشوري,12387,62316540,269484585576,4253,4231,4380,127,2.99,4324,71,1.67,4212,4397,1400-5-13,2021-08-04
15,خساپا,سايپا,11618,391381009,682667111097,1762,1769,1736,-26,-1.48,1744,-18,-1.02,1720,1810,1400-5-13,2021-08-04
16,فتوسا,توليد و توسعه سرب روي ايرانيان,11135,14609159,219114936023,14353,14800,15070,717,5,14998,645,4.49,14401,15070,1400-5-13,2021-08-04
17,شتران,پالايش نفت تهران,11057,87963607,825218792180,9210,9250,9460,250,2.71,9380,170,1.85,9190,9600,1400-5-13,2021-08-04
18,دارا يكم,صندوق واسطه گري مالي يكم-سهام,10933,5301067,611970465690,114090,114230,116190,2100,1.84,115440,1350,1.18,114230,116300,1400-5-13,2021-08-04
19,خگستر,گسترش‌سرمايه‌گذاري‌ايران‌خودرو,10779,245026576,626901854341,2615,2600,2543,-72,-2.75,2559,-56,-2.14,2508,2646,1400-5-13,2021-08-04
20,غكورش,صنعت غذايي كورش,10511,10433385,443446250010,41140,41190,43190,2050,4.98,42500,1360,3.31,41190,43190,1400-5-13,2021-08-04
21,كاما,باما,9899,73302172,892995968790,12130,12320,12110,-20,-0.16,12180,50,0.41,11830,12580,1400-5-13,2021-08-04
22,وغدير,سرمايه‌گذاري‌غدير(هلدينگ‌,9870,125292500,1882644922650,14330,14330,15040,710,4.95,15030,700,4.88,14330,15040,1400-5-13,2021-08-04
23,بوعلي,پتروشيمي بوعلي سينا,9743,5144536,312923503210,58610,59000,61540,2930,5,60830,2220,3.79,58800,61540,1400-5-13,2021-08-04
24,فجر,فولاد اميركبيركاشان,9636,33464754,997806987890,28520,29200,29940,1420,4.98,29820,1300,4.56,29100,29940,1400-5-13,2021-08-04
25,فگستر,گسترش صنايع روي ايرانيان,9413,6828291,102075412871,14564,14750,14856,292,2,14949,385,2.64,14650,15181,1400-5-13,2021-08-04
26,ذوب,سهامي ذوب آهن  اصفهان,9246,153032039,653253390987,4241,4310,4299,58,1.37,4269,28,0.66,4196,4355,1400-5-13,2021-08-04
27,نوري,پتروشيمي نوري,9122,14311614,1386188518070,92490,93000,97110,4620,5,96860,4370,4.72,92950,97110,1400-5-13,2021-08-04
