,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین,تاریخ,gregorian_date
0,كيمياتك,آريان كيميا تك,218625,36393189,1197613989530,32290,32190,33900,1610,4.99,32910,620,1.92,31200,33900,1400-7-7,2021-09-29
1,فسبزوار,پارس فولاد سبزوار,77630,32587030,1197266978180,36580,36950,37010,430,1.18,36740,160,0.44,36050,37270,1400-7-7,2021-09-29
2,فجهان,مجتمع جهان فولاد سيرجان,70643,178726403,1195535337168,6655,6660,6728,73,1.1,6689,34,0.51,6500,6859,1400-7-7,2021-09-29
3,كدما,معدني‌ دماوند,42738,38684063,5079559572150,135290,128530,133050,-2240,-1.66,131310,-3980,-2.94,128530,139990,1400-7-7,2021-09-29
4,مديريت,س. و خدمات مديريت صند. ب كشوري,37899,32369144,317378179712,9515,9500,9990,475,4.99,9805,290,3.05,9251,9990,1400-7-7,2021-09-29
5,پالايش,صندوق پالايشي يكم-سهام,29870,34472085,2732216501200,80020,78500,79460,-560,-0.7,79260,-760,-0.95,78140,80340,1400-7-7,2021-09-29
6,بركت,گروه دارويي بركت,27281,57680311,1765943812790,31870,30290,30900,-970,-3.04,30620,-1250,-3.92,30280,31700,1400-7-7,2021-09-29
7,دي,بانك دي,20525,669467769,704191565735,1066,1058,1049,-17,-1.59,1052,-14,-1.31,1031,1073,1400-7-7,2021-09-29
8,وهامون,سرمايه گذاري هامون صبا,17192,47604793,157825573914,3349,3231,3370,21,0.63,3315,-34,-1.02,3191,3450,1400-7-7,2021-09-29
9,شبندر,پالايش نفت بندرعباس,17011,196806540,1314919007260,6700,6600,6760,60,0.9,6680,-20,-0.3,6510,6890,1400-7-7,2021-09-29
10,توسن,توسعه سامانه ي نرم افزاري نگين,16253,2493627,28998388383,11076,11629,11629,553,4.99,11629,553,4.99,11629,11629,1400-7-7,2021-09-29
11,خبنيان,بنيان ديزل,15758,1473378,200331845214,130907,135000,137452,6545,5,135968,5061,3.87,128900,137452,1400-7-7,2021-09-29
12,شستا,سرمايه گذاري تامين اجتماعي,14968,65611416,829992157480,12530,12420,12760,230,1.84,12650,120,0.96,12410,12860,1400-7-7,2021-09-29
13,دارا يكم,صندوق واسطه گري مالي يكم-سهام,13137,7774085,970376822160,125210,124190,125010,-200,-0.16,124820,-390,-0.31,123300,125900,1400-7-7,2021-09-29
14,شپنا,پالايش نفت اصفهان,10988,109934781,1451223467460,13160,13100,13200,40,0.3,13200,40,0.3,12800,13410,1400-7-7,2021-09-29
15,شتران,پالايش نفت تهران,10760,71321016,795061306150,11230,11130,11170,-60,-0.53,11150,-80,-0.71,10920,11340,1400-7-7,2021-09-29
16,فولاد,فولاد مباركه اصفهان,10047,61996626,649826970080,10440,10410,10560,120,1.15,10480,40,0.38,10380,10660,1400-7-7,2021-09-29
17,سپيد,سپيد ماكيان,9553,2879610,168359979770,58450,58000,59050,600,1.03,58470,20,0.03,57720,59600,1400-7-7,2021-09-29
18,خودرو,ايران‌ خودرو,9507,248077772,457701882886,1833,1850,1840,7,0.38,1845,12,0.65,1804,1872,1400-7-7,2021-09-29
19,فملي,ملي‌ صنايع‌ مس‌ ايران‌,8864,51708662,671274024020,12930,12960,13070,140,1.08,12980,50,0.39,12800,13090,1400-7-7,2021-09-29
20,وسديد,گروه ‌صنعتي‌سديد,8770,154401170,192736793055,1290,1226,1285,-5,-0.39,1248,-42,-3.26,1226,1295,1400-7-7,2021-09-29
21,خساپا,سايپا,8663,246945448,424906604151,1700,1706,1712,12,0.71,1721,21,1.24,1690,1745,1400-7-7,2021-09-29
22,سپيدار,سپيدار سيستم آسيا,8594,1418633,26018218205,18265,18300,18500,235,1.29,18340,75,0.41,18210,18690,1400-7-7,2021-09-29
