,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین,تاریخ,gregorian_date
0,پالايش,صندوق پالايشي يكم-سهام,19617,21464674,1465485149400,68100,67300,68520,420,0.62,68270,170,0.25,66980,69440,1400-9-23,2021-12-14
1,خودرو,ايران‌ خودرو,14825,809024025,1554474013421,2017,1922,1917,-100,-4.96,1921,-96,-4.76,1917,1969,1400-9-23,2021-12-14
2,دارا يكم,صندوق واسطه گري مالي يكم-سهام,10966,6792473,719939573940,106710,105050,106480,-230,-0.22,105990,-720,-0.67,104010,107750,1400-9-23,2021-12-14
3,شستا,سرمايه گذاري تامين اجتماعي,9958,54986097,550522316290,10050,9840,10030,-20,-0.2,10010,-40,-0.4,9820,10220,1400-9-23,2021-12-14
4,توسن,توسعه سامانه ي نرم افزاري نگين,9069,15799871,290316877285,18265,17352,18998,733,4.01,18375,110,0.6,17352,19178,1400-9-23,2021-12-14
5,فرابورس,فرابورس ايران,9006,46471191,760437514902,17131,16600,16340,-791,-4.62,16364,-767,-4.48,16275,16710,1400-9-23,2021-12-14
6,خساپا,سايپا,8029,334682193,517919464786,1625,1546,1544,-81,-4.98,1547,-78,-4.8,1544,1590,1400-9-23,2021-12-14
7,فولاد,فولاد مباركه اصفهان,7942,66947017,659248406760,9790,9670,9900,110,1.12,9850,60,0.61,9630,10020,1400-9-23,2021-12-14
8,سغدير,توسعه سرمايه و صنعت غدير,7814,21716574,338990122447,16023,16000,15222,-801,-5,15610,-413,-2.58,15222,16220,1400-9-23,2021-12-14
9,شبندر,پالايش نفت بندرعباس,6162,62916112,381210297700,5940,6010,6070,130,2.19,6060,120,2.02,5830,6190,1400-9-23,2021-12-14
10,بركت,گروه دارويي بركت,5978,20390878,358982285000,17870,17600,17390,-480,-2.69,17610,-260,-1.45,16980,18200,1400-9-23,2021-12-14
11,آريا,پليمر آريا ساسول,5809,1242620,130718453528,103668,100270,104790,1122,1.08,105196,1528,1.47,100270,108840,1400-9-23,2021-12-14
12,فملي,ملي‌ صنايع‌ مس‌ ايران‌,5802,53512516,331472581000,6220,6120,6250,30,0.48,6190,-30,-0.48,5980,6380,1400-9-23,2021-12-14
13,كمند,صندوق س. با درآمد ثابت كمند,5268,206408187,2073212663259,10038,10044,10044,6,0.06,10044,6,0.06,10044,10045,1400-9-23,2021-12-14
14,فسبزوار,پارس فولاد سبزوار,4675,2232450,75185773290,33880,33660,33700,-180,-0.53,33680,-200,-0.59,33260,33990,1400-9-23,2021-12-14
15,رافزا,رايان هم افزا,4585,586824,33029258531,54070,54900,56773,2703,5,56285,2215,4.1,53055,56773,1400-9-23,2021-12-14
16,انرژي3,سايراشخاص بورس انرژي,4582,3671728,350297564360,96840,93090,97850,1010,1.04,95400,-1440,-1.49,92200,98900,1400-9-23,2021-12-14
17,شپنا,پالايش نفت اصفهان,4432,36240585,201852900390,5530,5520,5570,40,0.72,5570,40,0.72,5350,5710,1400-9-23,2021-12-14
18,شفن,پتروشيمي فناوران,4290,25825423,345272763770,13080,12480,13730,650,4.97,13370,290,2.22,12430,13730,1400-9-23,2021-12-14
19,خگستر,گسترش‌سرمايه‌گذاري‌ايران‌خودرو,4090,166124977,367133607282,2315,2263,2200,-115,-4.97,2210,-105,-4.54,2200,2300,1400-9-23,2021-12-14
20,فجهان,مجتمع جهان فولاد سيرجان,4085,19717968,104530286940,5286,5311,5300,14,0.26,5301,15,0.28,5300,5350,1400-9-23,2021-12-14
21,مديريت,س. و خدمات مديريت صند. ب كشوري,4012,12066646,104953408075,8353,8220,8770,417,4.99,8698,345,4.13,8220,8770,1400-9-23,2021-12-14
22,نوري,پتروشيمي نوري,3983,2777289,288390633780,102600,100010,105090,2490,2.43,103840,1240,1.21,100010,106930,1400-9-23,2021-12-14
23,كالا,بورس كالاي ايران,3969,19110993,560727899350,28220,28190,29630,1410,5,29340,1120,3.97,27300,29630,1400-9-23,2021-12-14
24,ضخود1052,اختيارخ خودرو-2000-1400/10/08,3712,168812,10391817000,84,65,54,-30,-35.71,62,-22,-26.19,48,80,1400-9-23,2021-12-14
25,خبهمن,گروه‌بهمن‌,3695,125702533,223097235896,1821,1800,1771,-50,-2.75,1775,-46,-2.53,1737,1840,1400-9-23,2021-12-14
26,خپارس,پارس‌ خودرو,3642,187034177,188515182155,1059,1007,1007,-52,-4.91,1008,-51,-4.82,1007,1027,1400-9-23,2021-12-14
27,كرمان,س. توسعه و عمران استان كرمان,3610,111996656,99137565036,894,885,890,-4,-0.45,885,-9,-1.01,870,900,1400-9-23,2021-12-14
28,خاور,ايران خودرو ديزل,3559,184475778,178501735799,1000,990,966,-34,-3.4,968,-32,-3.2,961,1008,1400-9-23,2021-12-14
29,كيان,صندوق س. با درآمد ثابت كيان,3538,65444753,2098081220108,32040,32058,32059,19,0.06,32059,19,0.06,32057,32061,1400-9-23,2021-12-14
30,كدما,معدني‌ دماوند,3291,2731442,152210004250,58470,55850,55550,-2920,-4.99,55730,-2740,-4.69,55550,57000,1400-9-23,2021-12-14
31,فاذر,صنايع‌ آذرآب‌,3214,143685412,137558234406,922,920,967,45,4.88,957,35,3.8,906,968,1400-9-23,2021-12-14
32,شتران,پالايش نفت تهران,3198,29934297,118238254091,3953,3822,3979,26,0.66,3950,-3,-0.08,3781,4050,1400-9-23,2021-12-14
33,پترول,گ.س.وت.ص.پتروشيمي خليج فارس,3185,49341443,114625129421,2320,2300,2326,6,0.26,2323,3,0.13,2215,2400,1400-9-23,2021-12-14
34,لپارس,پارس‌ الكتريك‌,3138,2542621,196854516440,78300,75000,81200,2900,3.7,77420,-880,-1.12,74390,81750,1400-9-23,2021-12-14
35,كيمياتك,آريان كيميا تك,3130,1619444,39672122100,24430,24500,24190,-240,-0.98,24500,70,0.29,24020,24540,1400-9-23,2021-12-14
36,وتجارت,بانك تجارت,3006,87162007,146716470219,1691,1670,1698,7,0.41,1683,-8,-0.47,1631,1729,1400-9-23,2021-12-14
37,وبملت,بانك ملت,2986,90092730,244201009083,2734,2693,2728,-6,-0.22,2711,-23,-0.84,2648,2779,1400-9-23,2021-12-14
38,اعتماد,صندوق س.اعتماد آفرين پارسيان-د,2954,81559020,3313700316030,40607,40630,40631,24,0.06,40629,22,0.05,40628,40632,1400-9-23,2021-12-14
39,بورس,بورس اوراق بهادار تهران,2887,23421149,250183818610,11170,10760,10730,-440,-3.94,10680,-490,-4.39,10620,11050,1400-9-23,2021-12-14
40,فردا,صندوق س آواي فرداي زاگرس-ثابت,2743,133326429,1599681419555,11993,11998,11999,6,0.05,11998,5,0.04,11997,11999,1400-9-23,2021-12-14
41,سپيدما,صندوق س. سپيد دماوند-د,2691,134770153,1552686975174,11516,11522,11522,6,0.05,11521,5,0.04,11521,11522,1400-9-23,2021-12-14
42,پارند,صندوق س. پارند پايدار سپهر,2626,116199154,1167247347377,10039,10045,10045,6,0.06,10045,6,0.06,10045,10046,1400-9-23,2021-12-14
43,سحرخيز,صندوق س. گروه زعفران سحرخيز,2552,6298888,116248048958,17424,18050,19020,1596,9.16,18455,1031,5.92,17800,19050,1400-9-23,2021-12-14
44,وخارزم,سرمايه گذاري خوارزمي,2504,30304370,121614890227,4007,4000,4002,-5,-0.12,4013,6,0.15,3852,4149,1400-9-23,2021-12-14
45,غزر,صنعتي زر ماكارون,2496,5077461,47939280070,9740,9270,9350,-390,-4,9440,-300,-3.08,9260,9990,1400-9-23,2021-12-14
46,صبا,سرمايه گذاري صبا تامين,2353,19373482,115490715271,5968,6005,5943,-25,-0.42,5961,-7,-0.12,5904,6005,1400-9-23,2021-12-14
47,ثاميد,توسعه و عمران اميد,2319,20580351,29585732220,1429,1430,1443,14,0.98,1438,9,0.63,1411,1448,1400-9-23,2021-12-14
48,سمگا,گروه سرمايه گذاري ميراث فرهنگي,2297,35811614,398937185328,11698,11200,11200,-498,-4.26,11140,-558,-4.77,11114,11420,1400-9-23,2021-12-14
49,گدنا,تهيه توزيع غذاي دنا آفرين فدك,2295,4319107,48727839416,11837,11246,11246,-591,-4.99,11282,-555,-4.69,11246,11686,1400-9-23,2021-12-14
50,شفنح,ح . پتروشيمي فناوران,2245,16714375,160213140560,9260,9290,9700,440,4.75,9590,330,3.56,8820,9950,1400-9-23,2021-12-14
51,كاما,باما,2238,16129757,104180636860,6510,6300,6410,-100,-1.54,6460,-50,-0.77,6200,6790,1400-9-23,2021-12-14
52,وسديد,گروه ‌صنعتي‌سديد,2233,43058918,44858869458,1073,1044,1046,-27,-2.52,1042,-31,-2.89,1041,1061,1400-9-23,2021-12-14
53,وبصادر,بانك صادرات ايران,2212,66872368,107377959724,1617,1580,1632,15,0.93,1606,-11,-0.68,1580,1645,1400-9-23,2021-12-14
54,سپيد,سپيد ماكيان,2168,1461725,85482561850,58650,58590,57610,-1040,-1.77,58480,-170,-0.29,56620,59900,1400-9-23,2021-12-14
55,كوير,توليدي فولاد سپيد فراب كوير,2166,36804927,208272879670,5830,5540,5770,-60,-1.03,5660,-170,-2.92,5540,5820,1400-9-23,2021-12-14
56,گشان,توسعه بين المللي پديده شانديز,2131,7778430,148432041346,19991,18992,19000,-991,-4.96,19083,-908,-4.54,18992,19889,1400-9-23,2021-12-14
57,بوعلي,پتروشيمي بوعلي سينا,2123,998457,68852077310,69400,68700,69000,-400,-0.58,69080,-320,-0.46,67000,70990,1400-9-23,2021-12-14
58,افران,صندوق س افرا نماد پايدار-ثابت,2058,69082412,1035210547060,14978,14986,14986,8,0.05,14985,7,0.05,14985,14987,1400-9-23,2021-12-14
59,امين,تامين سرمايه امين,2034,1003625,12290040960,12210,12240,12260,50,0.41,12220,10,0.08,12230,12260,1400-9-23,2021-12-14
60,نهال,صندوق س. طلاي سرخ نوويرا,2026,5548157,104862325715,17917,18602,19300,1383,7.72,18900,983,5.49,18130,19301,1400-9-23,2021-12-14
61,تملتح,ح . تامين سرمايه بانك ملت,2009,9176983,9253443649,1075,1070,1000,-75,-6.98,1008,-67,-6.23,983,1070,1400-9-23,2021-12-14
62,شگويا,پتروشيمي تندگويان,1999,11611047,123799220185,10712,10525,10760,48,0.45,10662,-50,-0.47,10400,10840,1400-9-23,2021-12-14
63,ثبهساز,بهساز كاشانه تهران,1943,17638178,25518014473,1444,1382,1458,14,0.97,1447,3,0.21,1382,1472,1400-9-23,2021-12-14
64,سپيدار,سپيدار سيستم آسيا,1908,681569,13069261157,19373,18960,19001,-372,-1.92,19187,-186,-0.96,18520,19498,1400-9-23,2021-12-14
65,شاروم,پتروشيمي اروميه,1893,2436495,30369745228,12938,12400,12294,-644,-4.98,12465,-473,-3.66,12292,12990,1400-9-23,2021-12-14
66,وهامون,سرمايه گذاري هامون صبا,1884,8292960,22431222557,2744,2740,2702,-42,-1.53,2705,-39,-1.42,2688,2754,1400-9-23,2021-12-14
