,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین,تاریخ,gregorian_date
0,پالايش,صندوق پالايشي يكم-سهام,22003,25842734,1801743554520,67860,68720,70040,2180,3.21,69720,1860,2.74,67970,70510,1400-10-29,2022-01-19
1,فملي,ملي‌ صنايع‌ مس‌ ايران‌,12118,195151477,1312145006450,6830,6760,6740,-90,-1.32,6720,-110,-1.61,6670,6810,1400-10-29,2022-01-19
2,شپنا,پالايش نفت اصفهان,10612,136973057,738032065710,5180,5240,5430,250,4.83,5390,210,4.05,5180,5430,1400-10-29,2022-01-19
3,دارا يكم,صندوق واسطه گري مالي يكم-سهام,9886,6524052,690350567450,104930,105210,106400,1470,1.4,105820,890,0.85,104020,106770,1400-10-29,2022-01-19
4,ذوب,ذوب آهن اصفهان,7884,228466128,626097659001,2868,2725,2758,-110,-3.84,2740,-128,-4.46,2725,2820,1400-10-29,2022-01-19
5,شبندر,پالايش نفت بندرعباس,7622,141080989,906090384910,6150,6280,6450,300,4.88,6420,270,4.39,6180,6450,1400-10-29,2022-01-19
6,خودرو,ايران‌ خودرو,7564,259186005,501380994418,1947,1920,1950,3,0.15,1934,-13,-0.67,1891,1986,1400-10-29,2022-01-19
7,فولاد,فولاد مباركه اصفهان,6183,47305116,454972319400,9580,9620,9620,40,0.42,9620,40,0.42,9580,9760,1400-10-29,2022-01-19
8,قتربت,قند تربت حيدريه,5921,859034,60356676450,69000,71050,71050,2050,2.97,70250,1250,1.81,66950,71050,1400-10-29,2022-01-19
9,كمند,صندوق س. با درآمد ثابت كمند,5737,224784564,2266232123932,10076,10081,10082,6,0.06,10082,6,0.06,10081,10082,1400-10-29,2022-01-19
10,كرمان,س. توسعه و عمران استان كرمان,4967,169186320,133489594760,810,798,787,-23,-2.84,789,-21,-2.59,770,806,1400-10-29,2022-01-19
11,فرابورس,فرابورس ايران,4837,23860271,331444613730,14040,13810,13970,-70,-0.5,13890,-150,-1.07,13400,14320,1400-10-29,2022-01-19
12,كالا,بورس كالاي ايران,4575,15530374,377869486390,24330,24330,24700,370,1.52,24330,0,0,23300,25340,1400-10-29,2022-01-19
13,شتران,پالايش نفت تهران,4522,94812784,339176612097,3449,3480,3621,172,4.99,3577,128,3.71,3463,3621,1400-10-29,2022-01-19
14,خگستر,گسترش‌سرمايه‌گذاري‌ايران‌خودرو,4424,106399324,251321300835,2395,2360,2363,-32,-1.34,2362,-33,-1.38,2285,2430,1400-10-29,2022-01-19
15,خساپا,سايپا,4357,147009186,232291703766,1577,1574,1582,5,0.32,1580,3,0.19,1545,1617,1400-10-29,2022-01-19
16,كدما,معدني‌ دماوند,3886,3850326,212316481970,54910,53400,55980,1070,1.95,55140,230,0.42,53370,57500,1400-10-29,2022-01-19
17,مديريت,س. و خدمات مديريت صند. ب كشوري,3567,14326158,122240683790,8210,8240,8620,410,4.99,8530,320,3.9,8090,8620,1400-10-29,2022-01-19
18,كيان,صندوق س. با درآمد ثابت كيان,3554,38056945,1242499113183,32666,32690,32666,0,0,32648,-18,-0.06,32301,32700,1400-10-29,2022-01-19
19,بركت,گروه دارويي بركت,3226,11428296,175260436040,15510,15200,15210,-300,-1.93,15340,-170,-1.1,15010,15680,1400-10-29,2022-01-19
20,هفولا110,اختيارف ت فولاد-13176-01/10/28,3114,422470000,316852500000,1000,750,750,-250,-25,750,-250,-25,750,750,1400-10-29,2022-01-19
21,اعتماد,صندوق س.اعتماد آفرين پارسيان-د,3111,84521730,3503582418140,41412,41452,41451,39,0.09,41452,40,0.1,41451,41464,1400-10-29,2022-01-19
22,وبملت,بانك ملت,3072,104597038,298430844085,2867,2850,2869,2,0.07,2853,-14,-0.49,2760,2901,1400-10-29,2022-01-19
23,فسبزوار,پارس فولاد سبزوار,2945,1734011,58708347610,33840,33830,34000,160,0.47,33860,20,0.06,33700,34000,1400-10-29,2022-01-19
24,كارا,صندوق س. كارا -د,2909,133502518,1415519595466,10594,10603,10603,9,0.08,10603,9,0.08,10602,10604,1400-10-29,2022-01-19
25,توسن,توسعه سامانه ي نرم افزاري نگين,2873,8616783,214073637200,24800,24950,24950,150,0.6,24850,50,0.2,24200,25200,1400-10-29,2022-01-19
26,نوري,پتروشيمي نوري,2814,1707417,172288403380,98970,98000,102110,3140,3.17,100910,1940,1.96,98000,102240,1400-10-29,2022-01-19
27,پترول,گ.س.وت.ص.پتروشيمي خليج فارس,2746,45486738,93957980545,2048,2011,2071,23,1.12,2066,18,0.88,2005,2100,1400-10-29,2022-01-19
28,خنصير,مهندسي‌نصيرماشين‌,2736,16048600,245638147190,16010,15210,15270,-740,-4.62,15310,-700,-4.37,15210,15870,1400-10-29,2022-01-19
29,خبهمن,گروه‌بهمن‌,2706,71733723,133185643845,1845,1813,1864,19,1.03,1857,12,0.65,1800,1910,1400-10-29,2022-01-19
30,وخارزم,سرمايه گذاري خوارزمي,2672,32879126,131259011315,3882,3860,4050,168,4.33,3992,110,2.83,3830,4070,1400-10-29,2022-01-19
31,فجر,فولاد اميركبيركاشان,2658,9435820,176164671550,19610,18630,18760,-850,-4.33,18670,-940,-4.79,18630,19280,1400-10-29,2022-01-19
32,غزر,صنعتي زر ماكارون,2647,6909161,56483345310,8500,8080,8360,-140,-1.65,8180,-320,-3.76,8080,8580,1400-10-29,2022-01-19
33,فجهان,مجتمع جهان فولاد سيرجان,2615,15187897,83521652240,5500,5420,5500,0,0,5500,0,0,5420,5510,1400-10-29,2022-01-19
34,لپارس,پارس‌ الكتريك‌,2566,1239840,110985135620,89260,85900,90240,980,1.1,89520,260,0.29,85100,93680,1400-10-29,2022-01-19
35,شسينا,صنايع‌شيميايي‌سينا,2556,67740193,135116876380,2093,2000,1989,-104,-4.97,1995,-98,-4.68,1989,2051,1400-10-29,2022-01-19
36,وتجارت,بانك تجارت,2494,65079545,113558401686,1736,1727,1747,11,0.63,1745,9,0.52,1726,1780,1400-10-29,2022-01-19
37,وهامون,سرمايه گذاري هامون صبا,2462,18488277,50204158339,2641,2697,2740,99,3.75,2715,74,2.8,2620,2768,1400-10-29,2022-01-19
38,امين يكم,صندوق درآمد ثابت امين يكم فردا,2414,71235622,722387223700,10133,10138,10140,7,0.07,10141,8,0.08,10138,10144,1400-10-29,2022-01-19
39,سمگا,گروه سرمايه گذاري ميراث فرهنگي,2349,11418616,115497279620,10010,10330,10040,30,0.3,10110,100,1,9980,10330,1400-10-29,2022-01-19
40,آپ,آسان پرداخت پرشين,2316,19823862,153983265230,8120,7910,7720,-400,-4.93,7770,-350,-4.31,7720,8050,1400-10-29,2022-01-19
41,سپيد,سپيد ماكيان,2304,2296676,132320791200,55310,55490,58070,2760,4.99,57610,2300,4.16,55000,58070,1400-10-29,2022-01-19
42,شبريز,پالايش نفت تبريز,2279,7425646,254223598960,32730,33150,34360,1630,4.98,34240,1510,4.61,33010,34360,1400-10-29,2022-01-19
43,افران,صندوق س افرا نماد پايدار-ثابت,2190,60901400,931104416528,15280,15289,15289,9,0.06,15289,9,0.06,15288,15291,1400-10-29,2022-01-19
44,پارند,صندوق س. پارند پايدار سپهر,2147,86221615,868966854662,10072,10078,10078,6,0.06,10078,6,0.06,10078,10079,1400-10-29,2022-01-19
45,ونيرو,سرمايه‌گذاري‌نيرو,2045,57714659,148862056982,2481,2502,2577,96,3.87,2579,98,3.95,2502,2605,1400-10-29,2022-01-19
46,خپارس,پارس‌ خودرو,2039,79892454,80086708188,995,990,1007,12,1.21,1002,7,0.7,988,1028,1400-10-29,2022-01-19
47,كاما,باما,1985,17932475,101647542000,5650,5660,5680,30,0.53,5670,20,0.35,5550,5790,1400-10-29,2022-01-19
48,كيمياتك,آريان كيميا تك,1952,1145564,27505496090,24130,23940,24130,0,0,24010,-120,-0.5,23900,24500,1400-10-29,2022-01-19
49,زملاردح,ح.كشاورزي و دامپروري ملارد شير,1934,836488,4071588450,5010,4770,4810,-200,-3.99,4870,-140,-2.79,4760,5040,1400-10-29,2022-01-19
50,وفتخار,سرمايه گذاري افتخار سهام,1888,9230159,21065119219,2218,2284,2284,66,2.98,2282,64,2.89,2236,2284,1400-10-29,2022-01-19
51,سحرخيز,صندوق س. گروه زعفران سحرخيز,1879,4802392,87113883189,16944,17870,18500,1556,9.18,18140,1196,7.06,17401,18500,1400-10-29,2022-01-19
52,زقيام,كشت و دام قيام اصفهان,1856,58260708,88331543651,1516,1441,1590,74,4.88,1516,0,0,1441,1591,1400-10-29,2022-01-19
53,بهپاك,صنعتي بهپاك,1847,13254763,88663587690,6400,6530,6720,320,5,6690,290,4.53,6350,6720,1400-10-29,2022-01-19
54,شگويا,پتروشيمي تندگويان,1720,6076980,62898874640,10330,10200,10380,50,0.48,10340,10,0.1,10180,10520,1400-10-29,2022-01-19
55,بوعلي,پتروشيمي بوعلي سينا,1643,629394,45118387680,69910,69150,72650,2740,3.92,70710,800,1.14,69010,72900,1400-10-29,2022-01-19
56,گدنا,تهيه توزيع غذاي دنا آفرين فدك,1638,1011073,11064788960,10730,10500,10750,20,0.19,10910,180,1.68,10500,11100,1400-10-29,2022-01-19
57,زاگرس,پتروشيمي زاگرس,1626,554721,99451954700,180000,178500,178250,-1750,-0.97,179300,-700,-0.39,177000,182950,1400-10-29,2022-01-19
58,فخوز,فولاد  خوزستان,1626,17749707,98874987210,5670,5600,5450,-220,-3.88,5580,-90,-1.59,5450,5750,1400-10-29,2022-01-19
59,لكما,كارخانجات‌مخابراتي‌ايران‌,1625,51372268,39860461352,798,775,780,-18,-2.26,776,-22,-2.76,775,796,1400-10-29,2022-01-19
60,غشصفا,شيرپاستوريزه‌پگاه‌اصفهان‌,1625,8254101,135050701010,17080,16230,16240,-840,-4.92,16360,-720,-4.22,16230,17080,1400-10-29,2022-01-19
61,وبصادر,بانك صادرات ايران,1618,58382635,106868959222,1827,1790,1833,6,0.33,1830,3,0.16,1790,1860,1400-10-29,2022-01-19
62,غگيلا,شيرپاستوريزه پگاه گيلان,1559,2613236,40623303890,16180,15380,15380,-800,-4.94,15550,-630,-3.89,15380,16250,1400-10-29,2022-01-19
