,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین,تاریخ,gregorian_date
0,اتكا تهران,بيمه اتكايي تهران رواك50%تاديه,44784,1447000000,723500000000,1000,500,500,-500,-50,500,-500,-50,500,500,1400-9-13,2021-12-04
1,پالايش,صندوق پالايشي يكم-سهام,31475,36564947,2560760422040,68940,69700,71270,2330,3.38,70030,1090,1.58,68020,71450,1400-9-13,2021-12-04
2,دارا يكم,صندوق واسطه گري مالي يكم-سهام,18088,11554619,1271679481910,113070,112000,111120,-1950,-1.72,110060,-3010,-2.66,107000,112750,1400-9-13,2021-12-04
3,توسن,توسعه سامانه ي نرم افزاري نگين,12653,20000157,440109106731,21122,21397,22178,1056,5,22005,883,4.18,21397,22178,1400-9-13,2021-12-04
4,شستا,سرمايه گذاري تامين اجتماعي,11885,64091937,695550664600,10910,11150,10950,40,0.37,10850,-60,-0.55,10590,11150,1400-9-13,2021-12-04
5,فسبزوار,پارس فولاد سبزوار,10313,6089808,205175226020,33590,33350,33810,220,0.65,33690,100,0.3,33350,33940,1400-9-13,2021-12-04
6,فولاد,فولاد مباركه اصفهان,9648,61827229,624409014300,10070,10400,10230,160,1.59,10100,30,0.3,9990,10420,1400-9-13,2021-12-04
7,پترول,گ.س.وت.ص.پتروشيمي خليج فارس,9306,235911177,619646730595,2508,2567,2633,125,4.98,2627,119,4.74,2567,2633,1400-9-13,2021-12-04
8,خبنيان,بنيان ديزل,8358,627835,138434024516,214076,220498,220498,6422,3,220494,6418,3,218991,220498,1400-9-13,2021-12-04
9,شبندر,پالايش نفت بندرعباس,8213,96634816,581099181890,5860,6000,6150,290,4.95,6010,150,2.56,5740,6150,1400-9-13,2021-12-04
10,شپنا,پالايش نفت اصفهان,7299,79133522,455496000650,5630,5750,5900,270,4.8,5760,130,2.31,5580,5910,1400-9-13,2021-12-04
11,فجهان,مجتمع جهان فولاد سيرجان,7254,21583777,116864570838,5512,5495,5496,-16,-0.29,5414,-98,-1.78,5335,5530,1400-9-13,2021-12-04
12,انرژي3,سايراشخاص بورس انرژي,6648,4887255,471565215020,99900,100900,97000,-2900,-2.9,96490,-3410,-3.41,94910,103740,1400-9-13,2021-12-04
13,وبملت,بانك ملت,6523,171602609,488206166052,2960,2999,2849,-111,-3.75,2845,-115,-3.89,2812,3006,1400-9-13,2021-12-04
14,خگستر,گسترش‌سرمايه‌گذاري‌ايران‌خودرو,6353,182078216,448508419985,2557,2530,2467,-90,-3.52,2463,-94,-3.68,2430,2629,1400-9-13,2021-12-04
15,كمند,صندوق س. با درآمد ثابت كمند,6061,247749164,2515694920491,10141,10154,10154,13,0.13,10154,13,0.13,10154,10155,1400-9-13,2021-12-04
16,كيمياتك,آريان كيميا تك,5932,4602355,114490692390,24810,24200,25000,190,0.77,24880,70,0.28,24200,25140,1400-9-13,2021-12-04
17,كرمان,س. توسعه و عمران استان كرمان,5710,181556610,163635849343,927,930,894,-33,-3.56,901,-26,-2.8,888,942,1400-9-13,2021-12-04
18,خبهمن,گروه‌بهمن‌,5544,242630729,461498912243,1987,1992,1929,-58,-2.92,1902,-85,-4.28,1888,2020,1400-9-13,2021-12-04
19,امين,تامين سرمايه امين,5046,5485978,66694961450,12280,12200,12290,10,0.08,12160,-120,-0.98,11670,12310,1400-9-13,2021-12-04
20,بركت,گروه دارويي بركت,4959,16342960,320409305290,20560,19610,19540,-1020,-4.96,19610,-950,-4.62,19540,20360,1400-9-13,2021-12-04
21,وتجارت,بانك تجارت,4950,142583228,259534031457,1888,1888,1806,-82,-4.34,1820,-68,-3.6,1794,1919,1400-9-13,2021-12-04
22,نوري,پتروشيمي نوري,4664,3423445,371322049110,108070,109930,109000,930,0.86,108460,390,0.36,107020,111480,1400-9-13,2021-12-04
23,شتران,پالايش نفت تهران,4500,46669635,192270972560,4087,4120,4225,138,3.38,4120,33,0.81,3990,4260,1400-9-13,2021-12-04
24,سپيدار,سپيدار سيستم آسيا,4378,12403997,243673834002,18804,19744,19744,940,5,19645,841,4.47,17864,19744,1400-9-13,2021-12-04
25,مديريت,س. و خدمات مديريت صند. ب كشوري,4374,5549032,46621021419,8572,8601,8315,-257,-3,8402,-170,-1.98,8275,8730,1400-9-13,2021-12-04
26,وبصادر,بانك صادرات ايران,4306,160545090,278680433142,1817,1762,1746,-71,-3.91,1736,-81,-4.46,1727,1808,1400-9-13,2021-12-04
27,كيان,صندوق س. با درآمد ثابت كيان,3999,44258408,1411272489312,31852,31886,31890,38,0.12,31887,35,0.11,31885,31891,1400-9-13,2021-12-04
28,طلا,صندوق س.پشتوانه طلاي لوتوس,3513,10062042,930333676286,90130,92002,93180,3050,3.38,92460,2330,2.59,92000,93350,1400-9-13,2021-12-04
29,غزر,صنعتي زر ماكارون,3282,3718906,36651673100,10180,10010,9700,-480,-4.72,9860,-320,-3.14,9680,10330,1400-9-13,2021-12-04
30,آريا,پليمر آريا ساسول,3185,1156218,127085492810,109909,108841,110282,373,0.34,109915,6,0.01,108673,113301,1400-9-13,2021-12-04
