,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین,تاریخ,gregorian_date
0,پالايش,صندوق پالايشي يكم-سهام,51422,73205184,5498307141290,72920,72210,77050,4130,5.66,75110,2190,3,71810,77700,1400-5-24,2021-08-15
1,وهامون,سرمايه گذاري هامون صبا,42226,23194924,73295959840,3010,3160,3160,150,4.98,3160,150,4.98,3160,3160,1400-5-24,2021-08-15
2,سپيد,سپيد ماكيان,39323,5928400,282488260000,45390,47650,47650,2260,4.98,47650,2260,4.98,47650,47650,1400-5-24,2021-08-15
3,بركت,گروه دارويي بركت,37616,67487823,2432333520930,37420,35800,35990,-1430,-3.82,36040,-1380,-3.69,35550,36990,1400-5-24,2021-08-15
4,شستا,سرمايه گذاري تامين اجتماعي,29896,161653540,2385128773140,14350,14370,14830,480,3.34,14750,400,2.79,14060,14960,1400-5-24,2021-08-15
5,دي,بانك دي,25851,856614842,959312766262,1138,1121,1123,-15,-1.32,1120,-18,-1.58,1106,1143,1400-5-24,2021-08-15
6,خودرو,ايران‌ خودرو,24515,751074175,1647381545684,2139,2165,2210,71,3.32,2193,54,2.52,2145,2240,1400-5-24,2021-08-15
7,خساپا,سايپا,23212,847162933,1723087962751,1980,2008,2040,60,3.03,2034,54,2.73,1990,2075,1400-5-24,2021-08-15
8,شپنا,پالايش نفت اصفهان,20111,187954531,2719228196910,13870,13860,14560,690,4.97,14470,600,4.33,13860,14560,1400-5-24,2021-08-15
9,فولاد,فولاد مباركه اصفهان,19446,156398366,1928917996730,12210,12370,12460,250,2.05,12330,120,0.98,11970,12490,1400-5-24,2021-08-15
10,دارا يكم,صندوق واسطه گري مالي يكم-سهام,15660,11907240,1469057722890,123880,123420,124120,240,0.19,123380,-500,-0.4,121650,124510,1400-5-24,2021-08-15
11,فملي,ملي‌ صنايع‌ مس‌ ايران‌,14840,80090321,1150425923870,14300,14320,14430,130,0.91,14360,60,0.42,14100,14510,1400-5-24,2021-08-15
12,خگستر,گسترش‌سرمايه‌گذاري‌ايران‌خودرو,14635,307777751,872011131650,2806,2820,2839,33,1.18,2833,27,0.96,2790,2917,1400-5-24,2021-08-15
13,لطيف,محصولات كاغذي لطيف,14168,1648912,91618648497,56342,55997,55300,-1042,-1.85,55563,-779,-1.38,54145,56849,1400-5-24,2021-08-15
14,گدنا,تهيه توزيع غذاي دنا آفرين فدك,14073,5758933,119669033042,21140,21040,20601,-539,-2.55,20780,-360,-1.7,20161,21560,1400-5-24,2021-08-15
15,شتران,پالايش نفت تهران,14006,199899048,2132947152790,10210,10360,10720,510,5,10670,460,4.51,10260,10720,1400-5-24,2021-08-15
16,ولكار,ليزينگ كارآفرين,11357,11305755,52466861822,4640,4825,4616,-24,-0.52,4641,1,0.02,4450,4825,1400-5-24,2021-08-15
17,مديريت,س. و خدمات مديريت صند. ب كشوري,10814,2981875,15929176250,5088,5342,5342,254,4.99,5342,254,4.99,5342,5342,1400-5-24,2021-08-15
18,خپارس,پارس‌ خودرو,10214,441887055,516494124358,1171,1180,1166,-5,-0.43,1169,-2,-0.17,1149,1202,1400-5-24,2021-08-15
19,كمند,صندوق س. با درآمد ثابت كمند,10124,451960598,4549291543069,10044,10066,10065,21,0.21,10066,22,0.22,10065,10067,1400-5-24,2021-08-15
