,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین,تاریخ,gregorian_date
0,مديريت,س. و خدمات مديريت صند. ب كشوري,83972,51415199,628910714168,11650,12232,12232,582,5,12232,582,5,12232,12232,1400-6-27,2021-09-18
1,پالايش,صندوق پالايشي يكم-سهام,30832,29500877,2262018244050,79780,79350,75760,-4020,-5.04,76680,-3100,-3.89,75750,79350,1400-6-27,2021-09-18
2,شستا,سرمايه گذاري تامين اجتماعي,27056,123529535,1589816847320,12810,13000,12960,150,1.17,12870,60,0.47,12520,13190,1400-6-27,2021-09-18
3,دي,بانك دي,23676,719125157,822317416031,1195,1200,1137,-58,-4.85,1143,-52,-4.35,1136,1200,1400-6-27,2021-09-18
4,دارا يكم,صندوق واسطه گري مالي يكم-سهام,18138,10825574,1394338887210,134060,133480,127050,-7010,-5.23,128800,-5260,-3.92,127050,133550,1400-6-27,2021-09-18
5,فولاد,فولاد مباركه اصفهان,17347,110358481,1182365992900,11220,11140,10660,-560,-4.99,10710,-510,-4.55,10660,11150,1400-6-27,2021-09-18
6,خودرو,ايران‌ خودرو,14996,405765975,813061076169,2103,2052,1998,-105,-4.99,2004,-99,-4.71,1998,2080,1400-6-27,2021-09-18
7,سپيد,سپيد ماكيان,14821,12977643,766293497350,61890,60750,58800,-3090,-4.99,59050,-2840,-4.59,58800,61800,1400-6-27,2021-09-18
8,فملي,ملي‌ صنايع‌ مس‌ ايران‌,14405,73518088,924270689710,13110,12990,12470,-640,-4.88,12570,-540,-4.12,12460,12990,1400-6-27,2021-09-18
9,كيمياتك,آريان كيميا تك,13347,1918139,59059499810,29330,30790,30790,1460,4.98,30790,1460,4.98,30790,30790,1400-6-27,2021-09-18
10,شپنا,پالايش نفت اصفهان,13237,104328788,1310863882400,13140,13000,12490,-650,-4.95,12560,-580,-4.41,12490,13120,1400-6-27,2021-09-18
11,شبندر,پالايش نفت بندرعباس,13080,154012528,924248137220,6250,6200,5940,-310,-4.96,6000,-250,-4,5940,6270,1400-6-27,2021-09-18
12,خساپا,سايپا,12424,406226479,759107786546,1959,1915,1862,-97,-4.95,1869,-90,-4.59,1862,1947,1400-6-27,2021-09-18
13,فجهان,مجتمع جهان فولاد سيرجان,11066,17549278,112350477756,6098,6402,6402,304,4.99,6402,304,4.99,6402,6402,1400-6-27,2021-09-18
14,وهامون,سرمايه گذاري هامون صبا,10992,32559356,124594988225,4003,3990,3803,-200,-5,3827,-176,-4.4,3803,4000,1400-6-27,2021-09-18
15,حگردش,ريل گردش ايرانيان,10714,25067220,79405210044,3259,3280,3162,-97,-2.98,3168,-91,-2.79,3162,3282,1400-6-27,2021-09-18
16,شتران,پالايش نفت تهران,9966,85884770,877252147640,10670,10620,10150,-520,-4.87,10210,-460,-4.31,10140,10760,1400-6-27,2021-09-18
17,گدنا,تهيه توزيع غذاي دنا آفرين فدك,9786,7944256,172834264295,22302,21470,22400,98,0.44,21756,-546,-2.45,21187,22900,1400-6-27,2021-09-18
18,كرمان,س. توسعه و عمران استان كرمان,9403,292532358,354020883213,1266,1277,1203,-63,-4.98,1210,-56,-4.42,1203,1277,1400-6-27,2021-09-18
19,بركت,گروه دارويي بركت,9263,19073129,758453290380,41740,40490,39660,-2080,-4.98,39770,-1970,-4.72,39660,40900,1400-6-27,2021-09-18
20,ولپارس,ليزينگ پارسيان,8556,38548339,219184638900,5620,5900,5600,-20,-0.36,5690,70,1.25,5340,5900,1400-6-27,2021-09-18
21,خزر,فنرسازي‌زر,8103,33180109,662838764100,19330,20290,20290,960,4.97,19980,650,3.36,18850,20290,1400-6-27,2021-09-18
22,صبا,سرمايه گذاري صبا تامين,7996,58909327,408411718006,7223,7126,6910,-313,-4.33,6933,-290,-4.01,6862,7250,1400-6-27,2021-09-18
23,وملي,گروه‌ صنعتي‌ ملي‌ (هلدينگ‌,7522,3840793,1022683823190,255020,267770,267770,12750,5,266270,11250,4.41,255180,267770,1400-6-27,2021-09-18
24,وسپهر,سرمايه گذاري مالي سپهرصادرات,7501,16164688,129419835448,8345,8400,7928,-417,-5,8006,-339,-4.06,7928,8400,1400-6-27,2021-09-18
25,وبملت,بانك ملت,7012,143614234,553420808414,3991,3999,3820,-171,-4.28,3854,-137,-3.43,3803,4029,1400-6-27,2021-09-18
26,شصدف,صنعتي دوده فام,6922,7747898,303758295276,38790,39500,38700,-90,-0.23,39205,415,1.07,38000,40390,1400-6-27,2021-09-18
27,ومدير,گ.مديريت ارزش سرمايه ص ب كشوري,6920,33466365,172670325920,5390,5320,5130,-260,-4.82,5160,-230,-4.27,5130,5500,1400-6-27,2021-09-18
28,نوري,پتروشيمي نوري,6892,3520734,368387912230,107490,108300,103650,-3840,-3.57,104630,-2860,-2.66,102450,108300,1400-6-27,2021-09-18
29,ولكار,ليزينگ كارآفرين,6871,11731630,52179288895,4574,4610,4350,-224,-4.9,4448,-126,-2.75,4346,4658,1400-6-27,2021-09-18
30,بوعلي,پتروشيمي بوعلي سينا,6861,4097649,281067802340,71500,71000,68020,-3480,-4.87,68590,-2910,-4.07,67930,71300,1400-6-27,2021-09-18
31,وتجارت,بانك تجارت,6657,153782530,362216689877,2455,2402,2333,-122,-4.97,2355,-100,-4.07,2333,2450,1400-6-27,2021-09-18
32,خگستر,گسترش‌سرمايه‌گذاري‌ايران‌خودرو,6477,168787464,466372672873,2900,2900,2755,-145,-5,2763,-137,-4.72,2755,2900,1400-6-27,2021-09-18
33,رافزا,رايان هم افزا,6270,949085,90481965970,92871,97514,92000,-871,-0.94,95336,2465,2.65,92000,97514,1400-6-27,2021-09-18
34,آريا,پليمر آريا ساسول,5973,1592990,168761410412,109667,109795,104510,-5157,-4.7,105940,-3727,-3.4,104200,109795,1400-6-27,2021-09-18
