,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین,تاریخ,gregorian_date
0,سپيد,سپيد ماكيان,81364,4891956,157961259240,30760,32290,32290,1530,4.97,32290,1530,4.97,32290,32290,1400-5-11,2021-08-02
1,لطيف,محصولات كاغذي لطيف,20911,3751507,208348514588,58216,56600,55306,-2910,-5,55537,-2679,-4.6,55306,57000,1400-5-11,2021-08-02
2,خساپا,سايپا,19736,899251300,1630957480134,1736,1769,1816,80,4.61,1814,78,4.49,1760,1822,1400-5-11,2021-08-02
3,شصدف,صنعتي دوده فام,19409,31874656,1188651337550,36044,35950,37846,1802,5,37291,1247,3.46,35020,37846,1400-5-11,2021-08-02
4,بركت,گروه دارويي بركت,19141,32866061,1228872044040,37530,37010,37420,-110,-0.29,37390,-140,-0.37,35800,38500,1400-5-11,2021-08-02
5,خودرو,ايران‌ خودرو,18401,526439650,1091784420950,2013,2044,2058,45,2.24,2074,61,3.03,2030,2110,1400-5-11,2021-08-02
6,فملي,ملي‌ صنايع‌ مس‌ ايران‌,15092,76167066,1014119820650,13590,13420,13310,-280,-2.06,13310,-280,-2.06,13190,13590,1400-5-11,2021-08-02
7,شستا,سرمايه گذاري تامين اجتماعي,15035,65650441,826094101260,12610,12500,12620,10,0.08,12580,-30,-0.24,12460,12740,1400-5-11,2021-08-02
8,پالايش,صندوق پالايشي يكم-سهام,14921,10990329,762721100530,69600,69330,69580,-20,-0.03,69400,-200,-0.29,69110,70090,1400-5-11,2021-08-02
9,ولكار,ليزينگ كارآفرين,12948,13049872,55531190515,4239,4280,4240,1,0.02,4255,16,0.38,4161,4299,1400-5-11,2021-08-02
10,خگستر,گسترش‌سرمايه‌گذاري‌ايران‌خودرو,12574,362144749,990144481653,2635,2699,2735,100,3.8,2734,99,3.76,2632,2766,1400-5-11,2021-08-02
11,فگستر,گسترش صنايع روي ايرانيان,12142,6679932,93040650667,13854,13870,14110,256,1.85,13928,74,0.53,13201,14300,1400-5-11,2021-08-02
12,دي,بانك دي,11967,527708710,631667325870,1259,1197,1197,-62,-4.92,1197,-62,-4.92,1197,1197,1400-5-11,2021-08-02
13,كرمان,س. توسعه و عمران استان كرمان,11253,379578108,478305136527,1301,1310,1260,-41,-3.15,1260,-41,-3.15,1236,1310,1400-5-11,2021-08-02
14,ومدير,گ.مديريت ارزش سرمايه ص ب كشوري,11158,30961804,132214029898,4317,4260,4238,-79,-1.83,4270,-47,-1.09,4201,4340,1400-5-11,2021-08-02
15,دارا يكم,صندوق واسطه گري مالي يكم-سهام,11117,6265596,718873971760,115830,114890,113890,-1940,-1.67,114730,-1100,-0.95,113740,116400,1400-5-11,2021-08-02
16,شپنا,پالايش نفت اصفهان,10823,82885717,997860102810,12050,12050,12050,0,0,12040,-10,-0.08,11900,12250,1400-5-11,2021-08-02
17,فتوسا,توليد و توسعه سرب روي ايرانيان,10542,5719392,78456189680,13647,13499,13730,83,0.61,13718,71,0.52,13142,14050,1400-5-11,2021-08-02
18,گدنا,تهيه توزيع غذاي دنا آفرين فدك,10432,6045947,125303468015,19803,20640,20793,990,5,20725,922,4.66,20120,20793,1400-5-11,2021-08-02
19,وهامون,سرمايه گذاري هامون صبا,9888,9623972,21172738400,2096,2200,2200,104,4.96,2200,104,4.96,2200,2200,1400-5-11,2021-08-02
20,آريا,پليمر آريا ساسول,8555,3773427,387695496384,103337,102470,103000,-337,-0.33,102744,-593,-0.57,99558,106380,1400-5-11,2021-08-02
21,بوعلي,پتروشيمي بوعلي سينا,8367,4097375,234083138350,58110,56990,57550,-560,-0.96,57130,-980,-1.69,56000,58500,1400-5-11,2021-08-02
