,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین,تاریخ,gregorian_date
0,لطيف,محصولات كاغذي لطيف,176701,7390702,485181911588,67539,67900,64163,-3376,-5,65648,-1891,-2.8,64163,67980,1400-4-27,2021-07-18
1,دي,بانك دي,99756,3912691631,5024316197576,1230,1291,1291,61,4.96,1284,54,4.39,1232,1291,1400-4-27,2021-07-18
2,شستا,سرمايه گذاري تامين اجتماعي,41437,249173089,3213119799410,12590,12360,13210,620,4.92,12900,310,2.46,12350,13210,1400-4-27,2021-07-18
3,پالايش,صندوق پالايشي يكم-سهام,23459,23321032,1669331249570,73880,73000,71070,-2810,-3.8,71580,-2300,-3.11,71000,73000,1400-4-27,2021-07-18
4,بركت,گروه دارويي بركت,23455,63100287,2534524603450,38640,38690,40570,1930,4.99,40170,1530,3.96,37800,40570,1400-4-27,2021-07-18
5,ومدير,گ.مديريت ارزش سرمايه ص ب كشوري,23163,52327565,221421470133,4403,4300,4220,-183,-4.16,4231,-172,-3.91,4193,4350,1400-4-27,2021-07-18
6,خودرو,ايران‌ خودرو,16973,542502856,1107492081398,2088,2088,2025,-63,-3.02,2041,-47,-2.25,2022,2097,1400-4-27,2021-07-18
7,فملي,ملي‌ صنايع‌ مس‌ ايران‌,14485,88106162,1114772508790,12750,12600,12630,-120,-0.94,12650,-100,-0.78,12530,12880,1400-4-27,2021-07-18
8,شتران,پالايش نفت تهران,13620,104044488,1052578935710,10450,10300,10090,-360,-3.44,10120,-330,-3.16,10010,10300,1400-4-27,2021-07-18
9,خساپا,سايپا,12686,398910518,730473946786,1891,1858,1820,-71,-3.75,1831,-60,-3.17,1802,1876,1400-4-27,2021-07-18
10,كرمان,س. توسعه و عمران استان كرمان,12449,433946476,589426988338,1325,1300,1374,49,3.7,1358,33,2.49,1272,1382,1400-4-27,2021-07-18
11,فولاد,فولاد مباركه اصفهان,12234,96260142,1010096717920,10660,10490,10580,-80,-0.75,10490,-170,-1.59,10390,10630,1400-4-27,2021-07-18
12,فاراكح,ح . ماشين‌ سازي‌ اراك‌,10923,254921418,258130446747,1023,1041,1004,-19,-1.86,1013,-10,-0.98,982,1064,1400-4-27,2021-07-18
13,نوري,پتروشيمي نوري,10819,12055257,956640444010,83130,82000,79250,-3880,-4.67,79350,-3780,-4.55,78980,82000,1400-4-27,2021-07-18
14,خگستر,گسترش‌سرمايه‌گذاري‌ايران‌خودرو,10732,261380056,731981204549,2878,2848,2800,-78,-2.71,2800,-78,-2.71,2750,2870,1400-4-27,2021-07-18
15,وتجارت,بانك تجارت,10625,441040357,1203880988947,2729,2734,2740,11,0.4,2730,1,0.04,2680,2751,1400-4-27,2021-07-18
16,دارا يكم,صندوق واسطه گري مالي يكم-سهام,10354,5519678,670169599140,123640,122510,121090,-2550,-2.06,121410,-2230,-1.8,121000,122510,1400-4-27,2021-07-18
17,غكورش,صنعت غذايي كورش,10072,4917821,186754520900,37680,37890,37820,140,0.37,37980,300,0.8,37210,38500,1400-4-27,2021-07-18
18,فتوسا,توليد و توسعه سرب روي ايرانيان,9802,6572782,96329378744,15373,15000,14605,-768,-5,14656,-717,-4.66,14605,15000,1400-4-27,2021-07-18
19,خبهمن,گروه‌بهمن‌,9452,483354713,731786355456,1527,1510,1530,3,0.2,1514,-13,-0.85,1474,1563,1400-4-27,2021-07-18
20,سيتا,سرمايه گذاري سيمان تامين,9013,23990238,371756677800,14830,14800,15570,740,4.99,15500,670,4.52,14700,15570,1400-4-27,2021-07-18
21,ولكار,ليزينگ كارآفرين,8935,10190153,45906736857,4737,4640,4501,-236,-4.98,4505,-232,-4.9,4501,4640,1400-4-27,2021-07-18
22,فگستر,گسترش صنايع روي ايرانيان,8856,9751217,144154349211,15513,15018,14738,-775,-5,14783,-730,-4.71,14738,15027,1400-4-27,2021-07-18
23,اپال,فرآوري معدني اپال كاني پارس,8004,3225001,66004819080,20260,20210,20490,230,1.14,20370,110,0.54,20200,20690,1400-4-27,2021-07-18
24,وبملت,بانك ملت,7906,244596004,959314312671,3991,4005,3940,-51,-1.28,3922,-69,-1.73,3880,4005,1400-4-27,2021-07-18
25,چخزر,صنايع چوب خزر كاسپين,7826,2749220,104917914192,36522,36800,38348,1826,5,38163,1641,4.49,36800,38348,1400-4-27,2021-07-18
26,كزغال,زغال سنگ پروده طبس,7113,3604148,124412342031,35143,34300,34680,-463,-1.32,34519,-624,-1.78,33900,35143,1400-4-27,2021-07-18
27,ثبهساز,بهساز كاشانه تهران,7000,92021060,198560582959,2085,2050,2170,85,4.08,2158,73,3.5,2050,2189,1400-4-27,2021-07-18
28,تاپيكو,س. نفت و گاز و پتروشيمي تأمين,6720,122613686,1710930078750,13410,13300,14080,670,5,13950,540,4.03,13150,14080,1400-4-27,2021-07-18
29,وسخوز,شركت س استان خوزستان,6568,380572416,201737721567,553,536,528,-25,-4.52,530,-23,-4.16,526,545,1400-4-27,2021-07-18
30,رافزا,رايان هم افزا,6334,603786,48115004996,79393,79999,79662,269,0.34,79689,296,0.37,77001,81500,1400-4-27,2021-07-18
31,بوعلي,پتروشيمي بوعلي سينا,6125,2446615,123719574720,50870,51760,50070,-800,-1.57,50570,-300,-0.59,49810,51870,1400-4-27,2021-07-18
32,وخارزم,سرمايه گذاري خوارزمي,6050,60634768,334387343830,5770,5580,5530,-240,-4.16,5510,-260,-4.51,5490,5700,1400-4-27,2021-07-18
33,كدما,معدني‌ دماوند,5924,2836150,493024757600,166250,174560,174560,8310,5,173840,7590,4.57,161000,174560,1400-4-27,2021-07-18
34,غزر,صنعتي زر ماكارون,5792,2815102,64435683650,23210,22730,23040,-170,-0.73,22890,-320,-1.38,22380,23290,1400-4-27,2021-07-18
35,پترول,گ.س.وت.ص.پتروشيمي خليج فارس,5553,27852069,258080049210,9510,9350,9230,-280,-2.94,9270,-240,-2.52,9200,9450,1400-4-27,2021-07-18
36,ثاميد,توسعه و عمران اميد,5287,36806726,62248799502,1729,1690,1688,-41,-2.37,1691,-38,-2.2,1659,1743,1400-4-27,2021-07-18
37,وبصادر,بانك صادرات ايران,5227,157381218,351384436882,2295,2255,2239,-56,-2.44,2233,-62,-2.7,2206,2283,1400-4-27,2021-07-18
38,زملارد,كشاورزي و دامپروري ملارد شير,5221,887957,25920492694,29720,29000,29190,-530,-1.78,29191,-529,-1.78,28851,29820,1400-4-27,2021-07-18
39,حكشتي,كشتيراني جمهوري اسلامي ايران,5211,22958217,409099300740,17770,17900,17970,200,1.13,17820,50,0.28,17300,18150,1400-4-27,2021-07-18
40,كمند,صندوق س. با درآمد ثابت كمند,5191,216672425,2181177022863,10060,10066,10067,7,0.07,10067,7,0.07,10066,10068,1400-4-27,2021-07-18
41,كاما,باما,5111,37853976,436945692050,12050,11790,11450,-600,-4.98,11540,-510,-4.23,11450,11840,1400-4-27,2021-07-18
42,فاراك,ماشين‌ سازي‌ اراك‌,4930,117644245,239227077815,2042,2059,2019,-23,-1.13,2033,-9,-0.44,1970,2090,1400-4-27,2021-07-18
43,آبادا,توليد نيروي برق آبادان,4926,5714202,75480336240,13480,13220,12960,-520,-3.86,13210,-270,-2,12810,13830,1400-4-27,2021-07-18
44,صبا,سرمايه گذاري صبا تامين,4808,28897724,250607420561,8699,8700,8850,151,1.74,8672,-27,-0.31,8450,8900,1400-4-27,2021-07-18
45,وكبهمن,مديريت سرمايه گذاري كوثربهمن,4646,1527031,16451261085,11053,10880,10808,-245,-2.22,10773,-280,-2.53,10683,10880,1400-4-27,2021-07-18
46,كالا,بورس كالاي ايران,4573,25713794,544955548970,20250,21260,21260,1010,4.99,21190,940,4.64,20550,21260,1400-4-27,2021-07-18
47,بورس,بورس اوراق بهادار تهران,4561,12188619,445838985930,38400,37000,36480,-1920,-5,36580,-1820,-4.74,36480,37500,1400-4-27,2021-07-18
48,شبريز,پالايش نفت تبريز,4532,13298832,478778698100,36950,36770,35910,-1040,-2.81,36000,-950,-2.57,35550,37250,1400-4-27,2021-07-18
49,ولپارس,ليزينگ پارسيان,4453,4730670,19272981354,4138,4125,4112,-26,-0.63,4074,-64,-1.55,4040,4190,1400-4-27,2021-07-18
50,وسپهر,سرمايه گذاري مالي سپهرصادرات,4415,10597400,98135787035,9256,9261,9260,4,0.04,9260,4,0.04,9260,9265,1400-4-27,2021-07-18
51,كسرام,پارس‌ سرام‌,4343,33324478,266233156110,7750,8130,8000,250,3.23,7990,240,3.1,7780,8130,1400-4-27,2021-07-18
