,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین,تاریخ,gregorian_date
0,خودرو,ايران‌ خودرو,18287,694270995,1436542239214,2002,2050,2047,45,2.25,2069,67,3.35,2010,2102,1400-10-21,2022-01-11
1,پالايش,صندوق پالايشي يكم-سهام,12389,13645187,963630075980,70150,70800,70310,160,0.23,70620,470,0.67,70200,71170,1400-10-21,2022-01-11
2,دارا يكم,صندوق واسطه گري مالي يكم-سهام,11821,9311489,1033064645770,110380,111450,110390,10,0.01,110950,570,0.52,109920,112390,1400-10-21,2022-01-11
3,خبنيان,بنيان ديزل,11635,29112614,41315756376,1462,1419,1419,-43,-2.94,1419,-43,-2.94,1419,1433,1400-10-21,2022-01-11
4,خساپا,سايپا,9604,365951828,629495526898,1709,1740,1693,-16,-0.94,1720,11,0.64,1671,1775,1400-10-21,2022-01-11
5,خگستر,گسترش‌سرمايه‌گذاري‌ايران‌خودرو,9526,378546787,960189383049,2436,2500,2523,87,3.57,2537,101,4.15,2470,2557,1400-10-21,2022-01-11
6,شپنا,پالايش نفت اصفهان,6854,63860397,366820504510,5750,5790,5730,-20,-0.35,5740,-10,-0.17,5680,5870,1400-10-21,2022-01-11
7,فملي,ملي‌ صنايع‌ مس‌ ايران‌,5642,46061110,325527688630,7050,7050,7050,0,0,7070,20,0.28,7000,7200,1400-10-21,2022-01-11
8,فرابورس,فرابورس ايران,5595,20955983,331293486470,16020,16250,15490,-530,-3.31,15810,-210,-1.31,15330,16580,1400-10-21,2022-01-11
9,كالا,بورس كالاي ايران,5299,14098058,385087626090,26580,27400,26900,320,1.2,27310,730,2.75,26310,27900,1400-10-21,2022-01-11
10,كمند,صندوق س. با درآمد ثابت كمند,5295,212295524,2130507529622,10028,10035,10036,8,0.08,10036,8,0.08,10035,10037,1400-10-21,2022-01-11
11,انرژي3,سايراشخاص بورس انرژي,4905,3097618,239591865430,77230,78000,75850,-1380,-1.79,77350,120,0.16,74500,80900,1400-10-21,2022-01-11
12,وبصادر,بانك صادرات ايران,4827,184582560,370999975050,2000,2035,1990,-10,-0.5,2010,10,0.5,1960,2071,1400-10-21,2022-01-11
13,شتران,پالايش نفت تهران,4662,58872098,221418202336,3720,3750,3740,20,0.54,3761,41,1.1,3712,3825,1400-10-21,2022-01-11
14,وبملت,بانك ملت,4639,140336592,460130161335,3214,3216,3309,95,2.96,3279,65,2.02,3216,3348,1400-10-21,2022-01-11
15,ختوقا,قطعات‌ اتومبيل‌ ايران‌,4515,127729594,375068281793,2842,2901,2970,128,4.5,2936,94,3.31,2801,2984,1400-10-21,2022-01-11
16,فولاد,فولاد مباركه اصفهان,4386,27833048,281137128560,10030,10180,10050,20,0.2,10100,70,0.7,10040,10270,1400-10-21,2022-01-11
17,وبرق,س.کارکنان صنعت برق زنجان وقزوي,4256,5376964,477928022400,92950,88350,88350,-4600,-4.95,88900,-4050,-4.36,88350,92300,1400-10-21,2022-01-11
18,توسن,توسعه سامانه ي نرم افزاري نگين,4039,15053053,340260471400,22650,22750,22750,100,0.44,22600,-50,-0.22,21550,23150,1400-10-21,2022-01-11
19,شبندر,پالايش نفت بندرعباس,4032,49739087,317490635030,6310,6400,6420,110,1.74,6380,70,1.11,6310,6450,1400-10-21,2022-01-11
20,بركت,گروه دارويي بركت,3866,11348695,185980220700,15980,16500,16190,210,1.31,16390,410,2.57,16060,16750,1400-10-21,2022-01-11
21,بورس,بورس اوراق بهادار تهران,3798,20386331,200681729060,9900,10100,9680,-220,-2.22,9840,-60,-0.61,9510,10230,1400-10-21,2022-01-11
22,خپارس,پارس‌ خودرو,3789,188709189,205277180595,1078,1086,1070,-8,-0.74,1088,10,0.93,1061,1117,1400-10-21,2022-01-11
23,خبهمن,گروه‌بهمن‌,3457,100174658,204164186299,2019,2040,2024,5,0.25,2038,19,0.94,1990,2087,1400-10-21,2022-01-11
24,كاما,باما,3422,29548414,191015037930,6190,6220,6490,300,4.85,6460,270,4.36,6220,6490,1400-10-21,2022-01-11
25,تپكو,توليدتجهيزات‌سنگين‌هپكو,3269,69585880,173408555820,2472,2472,2503,31,1.25,2492,20,0.81,2440,2546,1400-10-21,2022-01-11
26,كدما,معدني‌ دماوند,3216,2054009,128644161260,62710,63990,62250,-460,-0.73,62630,-80,-0.13,60360,65000,1400-10-21,2022-01-11
27,فسبزوار,پارس فولاد سبزوار,3129,2388728,81675081520,34180,34200,34200,20,0.06,34190,10,0.03,34120,34350,1400-10-21,2022-01-11
28,وتجارت,بانك تجارت,3080,76580519,149071402351,1924,1979,1935,11,0.57,1947,23,1.2,1912,1990,1400-10-21,2022-01-11
29,كلر,كلر پارس,2640,1425691,126722575750,91850,87300,91400,-450,-0.49,88900,-2950,-3.21,87300,92000,1400-10-21,2022-01-11
30,فالوم,آلومتك‌,2634,15275387,265902348340,18210,17300,17300,-910,-5,17410,-800,-4.39,17300,18480,1400-10-21,2022-01-11
31,خزاميا,زامياد,2551,19896411,171272012440,8550,8560,8450,-100,-1.17,8610,60,0.7,8370,8900,1400-10-21,2022-01-11
32,فجهان,مجتمع جهان فولاد سيرجان,2546,10251516,56390537760,5500,5510,5500,0,0,5500,0,0,5490,5520,1400-10-21,2022-01-11
33,كيان,صندوق س. با درآمد ثابت كيان,2508,32109065,1044768677089,32519,32537,32538,19,0.06,32538,19,0.06,32536,32541,1400-10-21,2022-01-11
34,آريا,پليمر آريا ساسول,2480,685673,72586473450,104650,106550,106400,1750,1.67,105550,900,0.86,104700,107200,1400-10-21,2022-01-11
35,فروي,ذوب روي اصفهان,2388,4464453,82986654910,18540,17790,18530,-10,-0.05,18590,50,0.27,17700,19200,1400-10-21,2022-01-11
36,امين,تامين سرمايه امين,2356,6611641,69106481640,10360,10400,10490,130,1.25,10450,90,0.87,10230,10500,1400-10-21,2022-01-11
37,پترول,گ.س.وت.ص.پتروشيمي خليج فارس,2333,35702879,79081326137,2211,2213,2202,-9,-0.41,2215,4,0.18,2196,2259,1400-10-21,2022-01-11
38,شپديس,پتروشيمي پرديس,2264,1290432,208100499380,163750,164990,161850,-1900,-1.16,161260,-2490,-1.52,158060,165000,1400-10-21,2022-01-11
39,حتوكا,حمل‌ونقل‌توكا,2262,18403552,248194406830,12960,13600,13500,540,4.17,13490,530,4.09,13000,13600,1400-10-21,2022-01-11
