,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین,تاریخ,gregorian_date
0,فسبزوار,پارس فولاد سبزوار,501537,143055136,5341083865670,38320,38800,36580,-1740,-4.54,37340,-980,-2.56,36410,39400,1400-7-3,2021-09-25
1,فجهان,مجتمع جهان فولاد سيرجان,294711,565084203,3790181992571,6968,6855,6620,-348,-4.99,6707,-261,-3.75,6620,7150,1400-7-3,2021-09-25
2,مديريت,س. و خدمات مديريت صند. ب كشوري,155749,50725203,513033428744,10180,10270,10020,-160,-1.57,10114,-66,-0.65,9773,10600,1400-7-3,2021-09-25
3,پالايش,صندوق پالايشي يكم-سهام,51663,57617377,4600941232310,75340,78950,81180,5840,7.75,79850,4510,5.99,78450,81290,1400-7-3,2021-09-25
4,توسن,توسعه سامانه ي نرم افزاري نگين,47218,3818645,38365926315,9569,10047,10047,478,5,10047,478,5,10047,10047,1400-7-3,2021-09-25
5,وهامون,سرمايه گذاري هامون صبا,24681,47142696,173446955932,3788,3845,3615,-173,-4.57,3679,-109,-2.88,3599,3930,1400-7-3,2021-09-25
6,دارا يكم,صندوق واسطه گري مالي يكم-سهام,22239,14184475,1818680137830,123440,127000,129540,6100,4.94,128220,4780,3.87,126180,129590,1400-7-3,2021-09-25
7,دي,بانك دي,19718,606675123,666111469553,1070,1100,1110,40,3.74,1098,28,2.62,1083,1120,1400-7-3,2021-09-25
8,شستا,سرمايه گذاري تامين اجتماعي,18425,74946067,954788394980,12330,12620,12760,430,3.49,12740,410,3.33,12530,12890,1400-7-3,2021-09-25
9,بركت,گروه دارويي بركت,18150,27783368,956248296880,33790,34300,34830,1040,3.08,34420,630,1.86,33100,35190,1400-7-3,2021-09-25
10,شپنا,پالايش نفت اصفهان,17592,170244153,2221267494640,12440,13030,13060,620,4.98,13050,610,4.9,12770,13060,1400-7-3,2021-09-25
11,فولاد,فولاد مباركه اصفهان,16336,101417753,1069930657640,10100,10280,10580,480,4.75,10550,450,4.46,10280,10600,1400-7-3,2021-09-25
12,سپيد,سپيد ماكيان,14792,2844907,166556796140,58310,58100,58560,250,0.43,58550,240,0.41,57590,60020,1400-7-3,2021-09-25
13,فملي,ملي‌ صنايع‌ مس‌ ايران‌,14599,91514645,1152434490030,12050,12490,12650,600,4.98,12590,540,4.48,12300,12650,1400-7-3,2021-09-25
14,سپيدار,سپيدار سيستم آسيا,13699,2017573,37226817014,18440,19230,18400,-40,-0.22,18451,11,0.06,18002,19230,1400-7-3,2021-09-25
15,خودرو,ايران‌ خودرو,13128,331653590,625213212557,1814,1900,1904,90,4.96,1885,71,3.91,1834,1904,1400-7-3,2021-09-25
