,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین,تاریخ,gregorian_date
0,كيمياتك,آريان كيميا تك,240887,35405164,1199133487370,35620,33840,33840,-1780,-5,33870,-1750,-4.91,33840,35000,1400-7-4,2021-09-26
1,فسبزوار,پارس فولاد سبزوار,214328,67887674,2436083455690,37340,36650,35970,-1370,-3.67,35880,-1460,-3.91,35480,37110,1400-7-4,2021-09-26
2,فجهان,مجتمع جهان فولاد سيرجان,164599,348622189,2270147634198,6707,6540,6650,-57,-0.85,6512,-195,-2.91,6372,6750,1400-7-4,2021-09-26
3,توسن,توسعه سامانه ي نرم افزاري نگين,71247,5096490,53762873010,10047,10549,10549,502,5,10549,502,5,10549,10549,1400-7-4,2021-09-26
4,مديريت,س. و خدمات مديريت صند. ب كشوري,66548,48573994,470998403049,10114,10110,9620,-494,-4.88,9697,-417,-4.12,9609,10180,1400-7-4,2021-09-26
5,پالايش,صندوق پالايشي يكم-سهام,44904,57716531,4553019468920,79850,80900,79090,-760,-0.95,78890,-960,-1.2,77050,80900,1400-7-4,2021-09-26
6,شبندر,پالايش نفت بندرعباس,22295,282486305,1819060537450,6260,6420,6490,230,3.67,6440,180,2.88,6260,6570,1400-7-4,2021-09-26
7,تپكو,توليدتجهيزات‌سنگين‌هپكو,22271,275679306,612566710449,2284,2240,2216,-68,-2.98,2222,-62,-2.71,2216,2308,1400-7-4,2021-09-26
8,بركت,گروه دارويي بركت,17005,28574302,949783353590,34420,35000,32800,-1620,-4.71,33240,-1180,-3.43,32700,35000,1400-7-4,2021-09-26
9,دارا يكم,صندوق واسطه گري مالي يكم-سهام,16861,10120787,1273751845260,128220,128550,125380,-2840,-2.21,125860,-2360,-1.84,124050,128990,1400-7-4,2021-09-26
10,شتران,پالايش نفت تهران,15974,106253821,1168524170170,10920,11100,11100,180,1.65,11000,80,0.73,10700,11270,1400-7-4,2021-09-26
11,فملي,ملي‌ صنايع‌ مس‌ ايران‌,15821,79877958,1026804027780,12590,13000,13010,420,3.34,12850,260,2.07,12680,13030,1400-7-4,2021-09-26
12,شپنا,پالايش نفت اصفهان,15697,99618793,1293457629390,13050,13200,12950,-100,-0.77,12980,-70,-0.54,12710,13250,1400-7-4,2021-09-26
13,شستا,سرمايه گذاري تامين اجتماعي,14994,54585215,687343947720,12740,12860,12500,-240,-1.88,12590,-150,-1.18,12400,12900,1400-7-4,2021-09-26
14,دي,بانك دي,14826,463066950,502633120048,1098,1120,1097,-1,-0.09,1085,-13,-1.18,1066,1120,1400-7-4,2021-09-26
15,سپيد,سپيد ماكيان,12639,5241011,300589016310,58550,59000,58600,50,0.09,57350,-1200,-2.05,56530,59000,1400-7-4,2021-09-26
16,وهامون,سرمايه گذاري هامون صبا,11039,31814900,111649528464,3679,3599,3496,-183,-4.97,3509,-170,-4.62,3496,3599,1400-7-4,2021-09-26
17,گدنا,تهيه توزيع غذاي دنا آفرين فدك,10985,6977363,146047731852,20162,20000,21170,1008,5,20932,770,3.82,19700,21170,1400-7-4,2021-09-26
18,فولاد,فولاد مباركه اصفهان,10829,48809259,512583511180,10550,10750,10450,-100,-0.95,10500,-50,-0.47,10350,10750,1400-7-4,2021-09-26
19,سپيدار,سپيدار سيستم آسيا,10389,2163920,39316314744,18451,18900,18410,-41,-0.22,18169,-282,-1.53,17804,18900,1400-7-4,2021-09-26
20,خودرو,ايران‌ خودرو,9315,179253417,333822952899,1885,1912,1848,-37,-1.96,1862,-23,-1.22,1830,1912,1400-7-4,2021-09-26
