,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین,تاریخ,gregorian_date
0,سپيد,سپيد ماكيان,153235,22005328,1209739878950,54730,54980,54760,30,0.05,54970,240,0.44,52450,56700,1400-6-3,2021-08-25
1,پالايش,صندوق پالايشي يكم-سهام,58459,65483572,5722326761870,86870,88990,88020,1150,1.32,87390,520,0.6,84530,89200,1400-6-3,2021-08-25
2,وهامون,سرمايه گذاري هامون صبا,52581,41525312,159415672768,3657,3839,3839,182,4.98,3839,182,4.98,3839,3839,1400-6-3,2021-08-25
3,دارا يكم,صندوق واسطه گري مالي يكم-سهام,45445,35288972,5300109292340,146040,151010,151840,5800,3.97,150190,4150,2.84,144110,154150,1400-6-3,2021-08-25
4,شستا,سرمايه گذاري تامين اجتماعي,39269,179644945,2573156324060,14540,14600,14300,-240,-1.65,14320,-220,-1.51,14110,14650,1400-6-3,2021-08-25
5,دي,بانك دي,39226,1674468195,2013640733316,1162,1200,1220,58,4.99,1203,41,3.53,1167,1220,1400-6-3,2021-08-25
6,سنير,سيمان‌ سفيد ني‌ريز,22980,13815891,1911792637610,139730,132750,146700,6970,4.99,138380,-1350,-0.97,132750,146710,1400-6-3,2021-08-25
7,غدام,خوراك‌  دام‌ پارس‌,21202,7236418,2096445397600,298900,283960,293000,-5900,-1.97,289710,-9190,-3.07,283960,302900,1400-6-3,2021-08-25
8,مديريت,س. و خدمات مديريت صند. ب كشوري,21129,11740041,76216346172,6183,6492,6492,309,5,6492,309,5,6492,6492,1400-6-3,2021-08-25
9,خساپا,سايپا,20569,718580002,1557667061019,2149,2180,2202,53,2.47,2168,19,0.88,2089,2220,1400-6-3,2021-08-25
10,فملي,ملي‌ صنايع‌ مس‌ ايران‌,20164,104915100,1505281603010,14440,14600,14440,0,0,14350,-90,-0.62,14020,14600,1400-6-3,2021-08-25
11,خودرو,ايران‌ خودرو,20083,521810894,1233746293836,2343,2370,2392,49,2.09,2364,21,0.9,2275,2429,1400-6-3,2021-08-25
12,بركت,گروه دارويي بركت,19957,38651761,1419455535110,37100,37120,37100,0,0,36720,-380,-1.02,36000,37400,1400-6-3,2021-08-25
13,فولاد,فولاد مباركه اصفهان,19921,122251981,1511965006490,12470,12600,12460,-10,-0.08,12370,-100,-0.8,12210,12610,1400-6-3,2021-08-25
14,ومدير,گ.مديريت ارزش سرمايه ص ب كشوري,19645,101590648,560495779550,5670,5640,5560,-110,-1.94,5520,-150,-2.65,5390,5640,1400-6-3,2021-08-25
15,وبملت,بانك ملت,19111,519656231,2329233775832,4353,4450,4489,136,3.12,4482,129,2.96,4328,4570,1400-6-3,2021-08-25
16,پترول,گ.س.وت.ص.پتروشيمي خليج فارس,18842,148479753,660685900946,4561,4560,4441,-120,-2.63,4450,-111,-2.43,4400,4560,1400-6-3,2021-08-25
17,شپنا,پالايش نفت اصفهان,18446,102745019,1540250813280,14970,15180,15110,140,0.94,14990,20,0.13,14790,15200,1400-6-3,2021-08-25
18,شتران,پالايش نفت تهران,16936,130818459,1499019721470,11480,11500,11520,40,0.35,11460,-20,-0.17,11200,11640,1400-6-3,2021-08-25
19,وسپهر,سرمايه گذاري مالي سپهرصادرات,16637,30500183,315256262108,10668,10648,10291,-377,-3.53,10336,-332,-3.11,10160,10649,1400-6-3,2021-08-25
20,شصدف,صنعتي دوده فام,16386,20973374,991565255845,45644,47926,47500,1856,4.07,47277,1633,3.58,45740,47926,1400-6-3,2021-08-25
21,لطيف,محصولات كاغذي لطيف,16210,2683290,153228897206,57936,58195,57091,-845,-1.46,57105,-831,-1.43,56020,58195,1400-6-3,2021-08-25
22,ولكار,ليزينگ كارآفرين,15917,28406853,151829079168,5315,5580,5480,165,3.1,5345,30,0.56,5050,5580,1400-6-3,2021-08-25
23,وتجارت,بانك تجارت,15909,467574906,1365548697027,2822,2900,2927,105,3.72,2920,98,3.47,2822,2963,1400-6-3,2021-08-25
24,خبهمن,گروه‌بهمن‌,15524,755105771,1385877682378,1773,1850,1832,59,3.33,1835,62,3.5,1735,1861,1400-6-3,2021-08-25
25,گدنا,تهيه توزيع غذاي دنا آفرين فدك,14796,7525945,167964465179,22164,22480,22763,599,2.7,22318,154,0.69,21474,23100,1400-6-3,2021-08-25
26,خگستر,گسترش‌سرمايه‌گذاري‌ايران‌خودرو,14264,282367160,856190941391,2967,3010,3085,118,3.98,3032,65,2.19,2922,3110,1400-6-3,2021-08-25
27,آريا,پليمر آريا ساسول,11936,4317883,512778694435,120643,121900,119001,-1642,-1.36,118757,-1886,-1.56,116000,121900,1400-6-3,2021-08-25
28,ثبهساز,بهساز كاشانه تهران,11687,77058456,204571292484,2710,2750,2629,-81,-2.99,2655,-55,-2.03,2606,2769,1400-6-3,2021-08-25
29,شاروم,پتروشيمي اروميه,11682,14901873,303366547918,21061,20900,20090,-971,-4.61,20358,-703,-3.34,20008,20900,1400-6-3,2021-08-25
30,فگستر,گسترش صنايع روي ايرانيان,11371,6791043,112207855794,16411,16480,16601,190,1.16,16523,112,0.68,16010,16850,1400-6-3,2021-08-25
31,ثاميد,توسعه و عمران اميد,11157,82955433,158384878334,1952,1951,1902,-50,-2.56,1909,-43,-2.2,1870,1953,1400-6-3,2021-08-25
32,بوعلي,پتروشيمي بوعلي سينا,11093,5478230,366102862220,68410,68100,67040,-1370,-2,66830,-1580,-2.31,66020,68410,1400-6-3,2021-08-25
33,كمند,صندوق س. با درآمد ثابت كمند,11003,500122331,5053693742469,10099,10104,10105,6,0.06,10105,6,0.06,10104,10107,1400-6-3,2021-08-25
34,فتوسا,توليد و توسعه سرب روي ايرانيان,10666,7510741,117171766362,15790,15810,15700,-90,-0.57,15601,-189,-1.2,15341,16100,1400-6-3,2021-08-25
35,نوري,پتروشيمي نوري,10625,7639167,839619113400,110010,110100,109870,-140,-0.13,109910,-100,-0.09,108450,112000,1400-6-3,2021-08-25
36,وبصادر,بانك صادرات ايران,10389,326149564,884843478738,2629,2690,2733,104,3.96,2713,84,3.2,2612,2760,1400-6-3,2021-08-25
37,حكشتي,كشتيراني جمهوري اسلامي ايران,10326,49461923,956518768270,19330,19700,19420,90,0.47,19340,10,0.05,18870,19850,1400-6-3,2021-08-25
38,سيتا,سرمايه گذاري سيمان تامين,10275,14351733,227847508610,15770,15960,16150,380,2.41,15880,110,0.7,15370,16260,1400-6-3,2021-08-25
39,غكورش,صنعت غذايي كورش,9907,4756015,231783932230,48780,49450,49400,620,1.27,48730,-50,-0.1,47350,50000,1400-6-3,2021-08-25
