,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین,تاریخ,gregorian_date
0,ولكار,ليزينگ كارآفرين,62996,47691715,218899189758,4506,4399,4662,156,3.46,4590,84,1.86,4299,4710,1400-4-22,2021-07-13
1,لطيف,محصولات كاغذي لطيف,61764,1535787,94106884212,58359,61276,61276,2917,5,61276,2917,5,61276,61276,1400-4-22,2021-07-13
2,ومدير,گ.مديريت ارزش سرمايه ص ب كشوري,45833,84214324,374037958363,4482,4441,4360,-122,-2.72,4442,-40,-0.89,4300,4569,1400-4-22,2021-07-13
3,فتوسا,توليد و توسعه سرب روي ايرانيان,33836,10885382,175815747915,16371,16101,16003,-368,-2.25,16152,-219,-1.34,15853,16584,1400-4-22,2021-07-13
4,شستا,سرمايه گذاري تامين اجتماعي,29731,124169265,1573347373880,12980,12810,12480,-500,-3.85,12670,-310,-2.39,12380,13080,1400-4-22,2021-07-13
5,گدنا,تهيه توزيع غذاي دنا آفرين فدك,29447,8636251,199071588411,22805,22450,22522,-283,-1.24,23051,246,1.08,21830,23821,1400-4-22,2021-07-13
6,دي,بانك دي,27418,1261880750,1473049822196,924,1200,1140,216,23.38,1167,243,26.3,1140,1260,1400-4-22,2021-07-13
7,ثنوسا,نوسازي‌وساختمان‌تهران‌,23136,211949999,2040567292200,9850,9360,10010,160,1.62,9630,-220,-2.23,9360,10260,1400-4-22,2021-07-13
8,بركت,گروه دارويي بركت,22231,43523347,1688259912220,39510,38170,38590,-920,-2.33,38790,-720,-1.82,37950,40200,1400-4-22,2021-07-13
9,كاما,باما,20987,211777152,2399389842330,10840,11380,11380,540,4.98,11330,490,4.52,11010,11380,1400-4-22,2021-07-13
10,پالايش,صندوق پالايشي يكم-سهام,19534,17592843,1224012379420,69910,69370,69190,-720,-1.03,69570,-340,-0.49,69120,70250,1400-4-22,2021-07-13
