,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین,تاریخ,gregorian_date
0,وهامون,سرمايه گذاري هامون صبا,62869,61830450,258904106556,4093,4180,4161,68,1.66,4187,94,2.3,4085,4274,1400-6-23,2021-09-14
1,پالايش,صندوق پالايشي يكم-سهام,48022,50068481,4030760288520,78000,79340,81370,3370,4.32,80500,2500,3.21,78520,81950,1400-6-23,2021-09-14
2,سپيد,سپيد ماكيان,47563,8411227,537451008370,63350,64910,63450,100,0.16,63900,550,0.87,62510,65500,1400-6-23,2021-09-14
3,دارا يكم,صندوق واسطه گري مالي يكم-سهام,28233,17777720,2389912934020,129460,131780,136850,7390,5.71,134430,4970,3.84,131150,136980,1400-6-23,2021-09-14
4,سپيدار,سپيدار سيستم آسيا,28136,3261001,66737722836,19678,19520,20661,983,5,20465,787,4,19210,20661,1400-6-23,2021-09-14
5,آبادا,توليد نيروي برق آبادان,26405,9037044,145950847390,16100,16290,16150,50,0.31,16150,50,0.31,15300,16510,1400-6-23,2021-09-14
6,حگردش,ريل گردش ايرانيان,24636,57389290,182534630254,3320,3190,3161,-159,-4.79,3181,-139,-4.19,3154,3300,1400-6-23,2021-09-14
7,گدنا,تهيه توزيع غذاي دنا آفرين فدك,23257,2961178,69113404235,23130,22712,23102,-28,-0.12,23340,210,0.91,22712,23980,1400-6-23,2021-09-14
8,بركت,گروه دارويي بركت,22615,41676561,1759691998540,40290,41900,42300,2010,4.99,42220,1930,4.79,41300,42300,1400-6-23,2021-09-14
9,ولكار,ليزينگ كارآفرين,21453,12448486,57915830608,4630,4455,4713,83,1.79,4652,22,0.48,4455,4760,1400-6-23,2021-09-14
10,شستا,سرمايه گذاري تامين اجتماعي,21168,70994700,928022576130,12840,12880,13030,190,1.48,13070,230,1.79,12880,13260,1400-6-23,2021-09-14
11,لطيف,محصولات كاغذي لطيف,20163,1669515,90530457154,52129,52280,54530,2401,4.61,54226,2097,4.02,51280,54735,1400-6-23,2021-09-14
12,چخزر,صنايع چوب خزر كاسپين,17718,1170488,47865161768,39887,38984,40760,873,2.19,40893,1006,2.52,38984,41880,1400-6-23,2021-09-14
13,وكبهمن,مديريت سرمايه گذاري كوثربهمن,17469,2633149,33611731154,12569,12601,12625,56,0.45,12765,196,1.56,12569,12990,1400-6-23,2021-09-14
14,ولپارس,ليزينگ پارسيان,17155,14993182,80584684230,5150,5200,5400,250,4.85,5370,220,4.27,5040,5400,1400-6-23,2021-09-14
15,رافزا,رايان هم افزا,17060,2829094,273210582827,100817,102030,95777,-5040,-5,96572,-4245,-4.21,95777,102030,1400-6-23,2021-09-14
16,فگستر,گسترش صنايع روي ايرانيان,16148,4462185,66849098251,14488,14410,15212,724,5,14981,493,3.4,14410,15212,1400-6-23,2021-09-14
17,شبندر,پالايش نفت بندرعباس,15860,249938617,1570343436680,6040,6150,6290,250,4.14,6280,240,3.97,6050,6340,1400-6-23,2021-09-14
18,فتوسا,توليد و توسعه سرب روي ايرانيان,15589,5558499,83726253985,14447,14650,15169,722,5,15063,616,4.26,14420,15169,1400-6-23,2021-09-14
19,شاروم,پتروشيمي اروميه,15547,3199289,60254476615,18013,18161,18913,900,5,18834,821,4.56,18050,18913,1400-6-23,2021-09-14
20,فملي,ملي‌ صنايع‌ مس‌ ايران‌,15418,78726656,1040391135700,13130,13150,13260,130,0.99,13220,90,0.69,13150,13400,1400-6-23,2021-09-14
21,زملارد,كشاورزي و دامپروري ملارد شير,15011,906825,27735527754,30064,30000,30401,337,1.12,30585,521,1.73,29381,31200,1400-6-23,2021-09-14
22,وسپهر,سرمايه گذاري مالي سپهرصادرات,14954,16173856,140492687107,8717,8600,8650,-67,-0.77,8686,-31,-0.36,8596,8800,1400-6-23,2021-09-14
23,امين,تامين سرمايه امين,14720,4075992,39566652400,9560,9560,9780,220,2.3,9700,140,1.46,9560,9790,1400-6-23,2021-09-14
24,خساپا,سايپا,14594,400486173,785908568276,1891,1921,1980,89,4.71,1962,71,3.75,1903,1985,1400-6-23,2021-09-14
25,بگيلان,توسعه مسير برق گيلان,14367,1452879,29770734009,20388,19800,20412,24,0.12,20475,87,0.43,19800,20870,1400-6-23,2021-09-14
26,غزر,صنعتي زر ماكارون,14265,7768405,224706209610,27570,28000,28940,1370,4.97,28930,1360,4.93,28000,28940,1400-6-23,2021-09-14
27,ثبهساز,بهساز كاشانه تهران,14197,31367725,72227236973,2269,2346,2305,36,1.59,2303,34,1.5,2270,2346,1400-6-23,2021-09-14
28,بوعلي,پتروشيمي بوعلي سينا,14029,6818637,487404215910,68190,71400,71590,3400,4.99,71480,3290,4.82,69810,71590,1400-6-23,2021-09-14
29,ثاميد,توسعه و عمران اميد,13939,38222210,63355220507,1628,1635,1651,23,1.41,1658,30,1.84,1628,1700,1400-6-23,2021-09-14
30,فولاد,فولاد مباركه اصفهان,13814,82630655,934316872930,11180,11200,11360,180,1.61,11310,130,1.16,11180,11430,1400-6-23,2021-09-14
31,شتران,پالايش نفت تهران,13754,103857625,1117795713530,10390,10420,10690,300,2.89,10760,370,3.56,10410,10900,1400-6-23,2021-09-14
32,خودرو,ايران‌ خودرو,13190,272301177,577839692990,2074,2100,2127,53,2.56,2122,48,2.31,2079,2160,1400-6-23,2021-09-14
33,شپنا,پالايش نفت اصفهان,12802,72812188,970691558440,12930,13200,13320,390,3.02,13330,400,3.09,13000,13520,1400-6-23,2021-09-14
34,غكورش,صنعت غذايي كورش,12624,3550246,162422215090,44150,45300,45890,1740,3.94,45750,1600,3.62,44290,46350,1400-6-23,2021-09-14
35,بپيوند,برق و انرژي پيوندگستر پارس,12516,4875723,61677617804,12172,12120,12780,608,5,12650,478,3.93,12120,12780,1400-6-23,2021-09-14
36,ومدير,گ.مديريت ارزش سرمايه ص ب كشوري,11802,22214616,118597186840,5110,5210,5360,250,4.89,5340,230,4.5,5210,5360,1400-6-23,2021-09-14
37,كزغال,زغال سنگ پروده طبس,11631,2574242,99939718085,37840,37200,39300,1460,3.86,38823,983,2.6,37200,39450,1400-6-23,2021-09-14
38,سيتا,سرمايه گذاري سيمان تامين,11113,6445233,94725794630,14490,14740,14790,300,2.07,14700,210,1.45,14550,14920,1400-6-23,2021-09-14
39,چكاپا,گروه صنايع كاغذ پارس,11054,121384574,535675697455,4592,4363,4379,-213,-4.64,4413,-179,-3.9,4363,4570,1400-6-23,2021-09-14
40,وبملت,بانك ملت,10519,273530714,1081844627245,3803,3860,3993,190,5,3955,152,4,3851,3993,1400-6-23,2021-09-14
41,دي,بانك دي,10379,433197499,526897512408,1160,1200,1218,58,5,1216,56,4.83,1200,1218,1400-6-23,2021-09-14
42,غگيلا,شيرپاستوريزه پگاه گيلان,10083,5124370,123926348108,23526,22500,24702,1176,5,24184,658,2.8,22500,24702,1400-6-23,2021-09-14
43,صبا,سرمايه گذاري صبا تامين,9597,41958954,314853503902,7481,7350,7410,-71,-0.95,7504,23,0.31,7350,7680,1400-6-23,2021-09-14
