,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین,تاریخ,gregorian_date
0,پالايش,صندوق پالايشي يكم-سهام,25278,21639553,1407237240870,68010,66700,64870,-3140,-4.62,65030,-2980,-4.38,63760,67000,1400-8-9,2021-10-31
1,فسبزوار,پارس فولاد سبزوار,16292,12386004,423008717840,34580,34250,34100,-480,-1.39,34150,-430,-1.24,33110,34590,1400-8-9,2021-10-31
2,دارا يكم,صندوق واسطه گري مالي يكم-سهام,16138,7212857,734130122750,106780,104900,101200,-5580,-5.23,101780,-5000,-4.68,100500,104900,1400-8-9,2021-10-31
3,فجهان,مجتمع جهان فولاد سيرجان,15721,43798263,253116374980,5851,6000,5750,-101,-1.73,5779,-72,-1.23,5717,6000,1400-8-9,2021-10-31
4,فولاد,فولاد مباركه اصفهان,14748,140709717,1545396383920,11310,11320,10920,-390,-3.45,10980,-330,-2.92,10770,11440,1400-8-9,2021-10-31
5,توسن,توسعه سامانه ي نرم افزاري نگين,13154,7478005,98797534825,13807,13200,13550,-257,-1.86,13212,-595,-4.31,13117,13818,1400-8-9,2021-10-31
6,كيمياتك,آريان كيميا تك,11413,5224234,131708847530,25640,26000,25040,-600,-2.34,25210,-430,-1.68,24560,26080,1400-8-9,2021-10-31
7,شپنا,پالايش نفت اصفهان,11051,120799062,1222025295920,10630,10410,10100,-530,-4.99,10120,-510,-4.8,10100,10500,1400-8-9,2021-10-31
8,مديريت,س. و خدمات مديريت صند. ب كشوري,10741,13010545,117985307085,8875,8810,9132,257,2.9,9068,193,2.17,8810,9200,1400-8-9,2021-10-31
9,خودرو,ايران‌ خودرو,10628,449967168,708234983395,1650,1640,1570,-80,-4.85,1574,-76,-4.61,1568,1640,1400-8-9,2021-10-31
10,شبندر,پالايش نفت بندرعباس,9723,144840301,831470352050,6010,5880,5780,-230,-3.83,5740,-270,-4.49,5710,5950,1400-8-9,2021-10-31
11,فملي,ملي‌ صنايع‌ مس‌ ايران‌,8637,64441597,816554139550,13010,12820,12700,-310,-2.38,12670,-340,-2.61,12540,13000,1400-8-9,2021-10-31
12,خساپا,سايپا,8491,416241478,595945189407,1502,1499,1427,-75,-4.99,1432,-70,-4.66,1427,1500,1400-8-9,2021-10-31
13,لپارس,پارس‌ الكتريك‌,8380,6453204,818863049940,127060,130100,120710,-6350,-5,126890,-170,-0.13,120710,133410,1400-8-9,2021-10-31
14,تپكو,توليدتجهيزات‌سنگين‌هپكو,7648,155020393,468773272758,2951,3030,3039,88,2.98,3024,73,2.47,2952,3039,1400-8-9,2021-10-31
15,شتران,پالايش نفت تهران,6691,134360882,567518497721,4441,4320,4219,-222,-5,4224,-217,-4.89,4219,4350,1400-8-9,2021-10-31
16,امين,تامين سرمايه امين,5785,5784945,67806143130,11630,11630,11770,140,1.2,11720,90,0.77,11580,11790,1400-8-9,2021-10-31
17,نوري,پتروشيمي نوري,5515,3381710,361175666020,108230,109500,106070,-2160,-2,106800,-1430,-1.32,104500,110000,1400-8-9,2021-10-31
18,كدما,معدني‌ دماوند,5508,4432902,428292152120,99520,99530,94550,-4970,-4.99,96620,-2900,-2.91,94550,102000,1400-8-9,2021-10-31
19,كرمان,س. توسعه و عمران استان كرمان,5326,173004610,164316572491,995,968,946,-49,-4.92,950,-45,-4.52,946,985,1400-8-9,2021-10-31
20,خپارس,پارس‌ خودرو,5209,342608051,329492041854,1009,1000,959,-50,-4.96,962,-47,-4.66,959,1001,1400-8-9,2021-10-31
21,آريا,پليمر آريا ساسول,5198,1280444,134983319119,109060,109519,104012,-5048,-4.63,105419,-3641,-3.34,103700,109999,1400-8-9,2021-10-31
22,وهامون,سرمايه گذاري هامون صبا,4974,14820453,39417047691,2755,2720,2632,-123,-4.46,2660,-95,-3.45,2620,2750,1400-8-9,2021-10-31
23,صبا,سرمايه گذاري صبا تامين,4934,42172133,243044013772,6015,5997,5715,-300,-4.99,5763,-252,-4.19,5715,5997,1400-8-9,2021-10-31
24,وتجارت,بانك تجارت,4773,185231682,313330464287,1778,1711,1690,-88,-4.95,1692,-86,-4.84,1690,1732,1400-8-9,2021-10-31
25,خگستر,گسترش‌سرمايه‌گذاري‌ايران‌خودرو,4583,189329798,349739776069,1937,1900,1842,-95,-4.9,1847,-90,-4.65,1841,1940,1400-8-9,2021-10-31
26,بوعلي,پتروشيمي بوعلي سينا,4500,2610977,184096385360,71450,72130,69480,-1970,-2.76,70510,-940,-1.32,68000,72990,1400-8-9,2021-10-31
27,ومدير,گ.مديريت ارزش سرمايه ص ب كشوري,4273,28278966,117034523913,4334,4236,4120,-214,-4.94,4139,-195,-4.5,4118,4328,1400-8-9,2021-10-31
28,كمند,صندوق س. با درآمد ثابت كمند,4246,139406325,1412567093131,10127,10133,10132,5,0.05,10133,6,0.06,10132,10134,1400-8-9,2021-10-31
