Open,Low,High,Close,Date,symbol,volume,gregorian_date,SMA5,EWMA5,RSI
2460.0,2460.0,2520.0,2470.0,1400-1-7,خمهر,81137074,2021-03-27,,2470.0,
2490.0,2430.0,2540.0,2460.0,1400-1-8,خمهر,53847555,2021-03-28,,2464.0,
2420.0,2420.0,2470.0,2450.0,1400-1-10,خمهر,5140265,2021-03-30,,2457.368421052631,
2410.0,2410.0,2410.0,2450.0,1400-1-11,خمهر,405142,2021-03-31,,2454.307692307692,
2410.0,2410.0,2410.0,2450.0,1400-1-14,خمهر,191013,2021-04-03,2456.0,2452.654028436019,
2410.0,2410.0,2410.0,2450.0,1400-1-15,خمهر,40190,2021-04-04,2452.0,2451.6842105263163,
2410.0,2410.0,2410.0,2450.0,1400-1-16,خمهر,62723,2021-04-05,2450.0,2451.0879067508504,
2410.0,2410.0,2410.0,2450.0,1400-1-17,خمهر,149399,2021-04-06,2450.0,2450.7105471847744,
2410.0,2410.0,2410.0,2450.0,1400-1-18,خمهر,39531,2021-04-07,2450.0,2450.467372594023,
2410.0,2410.0,2410.0,2450.0,1400-1-21,خمهر,10298,2021-04-10,2450.0,2450.308832399828,
2410.0,2410.0,2410.0,2450.0,1400-1-22,خمهر,20496,2021-04-11,2450.0,2450.2046842072205,
2410.0,2410.0,2410.0,2450.0,1400-1-23,خمهر,63023,2021-04-12,2450.0,2450.1359261963235,
2410.0,2410.0,2410.0,2450.0,1400-1-24,خمهر,131190,2021-04-13,2450.0,2450.090383455087,
2360.0,2360.0,2360.0,2440.0,1400-1-25,خمهر,1396691,2021-04-14,2448.0,2446.7153612072375,
2400.0,2400.0,2400.0,2440.0,1400-1-28,خمهر,12447,2021-04-17,2446.0,2444.4717839076584,0.0
2400.0,2400.0,2400.0,2440.0,1400-1-29,خمهر,21066,2021-04-18,2444.0,2442.9789164724057,0.0
2400.0,2400.0,2400.0,2440.0,1400-1-30,خمهر,16941,2021-04-19,2442.0,2441.984935464742,0.0
2370.0,2370.0,2370.0,2440.0,1400-2-1,خمهر,28441,2021-04-21,2440.0,2441.3228423114583,0.0
2370.0,2370.0,2370.0,2440.0,1400-2-4,خمهر,167786,2021-04-24,2440.0,2440.881695876241,0.0
2370.0,2370.0,2370.0,2440.0,1400-2-5,خمهر,7810,2021-04-25,2440.0,2440.5877088405,0.0
2370.0,2370.0,2370.0,2440.0,1400-2-6,خمهر,37207,2021-04-26,2440.0,2440.3917666100374,0.0
2370.0,2370.0,2370.0,2440.0,1400-2-7,خمهر,47111,2021-04-27,2440.0,2440.2611602835514,0.0
2370.0,2370.0,2370.0,2440.0,1400-2-8,خمهر,101924,2021-04-28,2440.0,2440.1740990981325,0.0
2300.0,2300.0,2300.0,2430.0,1400-2-11,خمهر,1120285,2021-05-01,2438.0,2436.7825312621326,0.0
2360.0,2360.0,2360.0,2430.0,1400-2-12,خمهر,4359,2021-05-02,2436.0,2434.5215979703185,0.0
2358.0,2358.0,2358.0,2430.0,1400-2-13,خمهر,16825,2021-05-03,2434.0,2433.014358853628,0.0
2358.0,2358.0,2358.0,2430.0,1400-2-15,خمهر,39259,2021-05-05,2432.0,2432.009554883585,0.0
2358.0,2358.0,2358.0,2430.0,1400-2-18,خمهر,34359,2021-05-08,2430.0,2431.3396953956167,0.0
2358.0,2358.0,2358.0,2430.0,1400-2-19,خمهر,8679,2021-05-09,2430.0,2430.893126770398,0.0
2358.0,2358.0,2358.0,2430.0,1400-2-20,خمهر,28931,2021-05-10,2430.0,2430.5954162943435,0.0
2358.0,2358.0,2358.0,2430.0,1400-2-21,خمهر,57808,2021-05-11,2430.0,2430.3969435061927,0.0
2358.0,2358.0,2358.0,2428.0,1400-2-22,خمهر,542450,2021-05-12,2429.6,2429.597960485563,0.0
2186.0,2186.0,2186.0,2263.0,1400-2-25,خمهر,4216990,2021-05-15,2396.2,2374.0652211804454,0.0
2150.0,2150.0,2150.0,2257.0,1400-2-26,خمهر,328026,2021-05-16,2361.6,2335.0434405889796,0.0
2145.0,2145.0,2145.0,2257.0,1400-2-27,خمهر,21334,2021-05-17,2327.0,2309.028942526898,0.0
2145.0,2145.0,2145.0,2257.0,1400-2-28,خمهر,19089,2021-05-18,2292.4,2291.6859537442674,0.0
2145.0,2145.0,2145.0,2257.0,1400-2-29,خمهر,7379,2021-05-19,2258.2,2280.1239656338103,0.0
2145.0,2145.0,2145.0,2257.0,1400-3-1,خمهر,20446,2021-05-22,2257.0,2272.4159755207475,0.0
2145.0,2145.0,2145.0,2255.0,1400-3-2,خمهر,111543,2021-05-23,2256.6,2266.610649559634,0.0
2143.0,2143.0,2143.0,2255.0,1400-3-3,خمهر,2551,2021-05-24,2256.2,2262.7404326897426,0.0
2143.0,2143.0,2143.0,2253.0,1400-3-4,خمهر,133707,2021-05-25,2255.4,2259.4936215974058,0.0
2141.0,2141.0,2141.0,2247.0,1400-3-5,خمهر,378581,2021-05-26,2253.4,2255.3290808975457,0.0
2135.0,2135.0,2135.0,2226.0,1400-3-8,خمهر,1232218,2021-05-29,2247.2,2245.552720336393,0.0
2115.0,2115.0,2115.0,2215.0,1400-3-9,خمهر,667161,2021-05-30,2239.2,2235.3684800423284,0.0
2105.0,2105.0,2105.0,2204.0,1400-3-10,خمهر,652385,2021-05-31,2229.0,2224.9123199036912,0.0
1605.0,1525.0,1685.0,1665.0,1400-3-11,خمهر,131450236,2021-06-01,2111.4,2038.274878453956,0.0
1748.0,1748.0,1748.0,1748.0,1400-3-19,خمهر,16964146,2021-06-09,2011.6,1941.5165851238187,12.050421082096847
1835.0,1775.0,1835.0,1831.0,1400-3-22,خمهر,104655440,2021-06-12,1932.6,1904.6777232858844,22.152928662652926
1872.0,1740.0,1890.0,1816.0,1400-3-23,خمهر,69473918,2021-06-13,1852.8,1875.1184821210516,21.668508414773413
1820.0,1820.0,1906.0,1869.0,1400-3-24,خمهر,65788441,2021-06-14,1785.8,1873.0789880775026,27.685582065061638
1823.0,1776.0,1889.0,1802.0,1400-3-25,خمهر,28510903,2021-06-15,1813.2,1849.385992026896,25.064440037811778
1720.0,1634.0,1721.0,1667.0,1400-3-30,خمهر,34583002,2021-06-20,1797.0,1788.5906613088875,20.79280920180598
1750.0,1670.0,1790.0,1722.0,1400-4-1,خمهر,56308363,2021-06-22,1775.2,1766.3937741956104,26.30338347428882
1670.0,1651.0,1760.0,1717.0,1400-4-2,خمهر,49186687,2021-06-23,1755.4,1749.9291827919728,26.125437641444435
1721.0,1660.0,1780.0,1738.0,1400-4-5,خمهر,33512133,2021-06-26,1729.2,1745.952788527161,28.318824798585368
1740.0,1671.0,1823.0,1770.0,1400-4-6,خمهر,58145640,2021-06-27,1722.8,1753.9685256858775,31.649098947806465
1824.0,1780.0,1858.0,1852.0,1400-4-7,خمهر,63363430,2021-06-28,1759.8,1786.6456837935843,39.41653260563103
1880.0,1806.0,1944.0,1930.0,1400-4-8,خمهر,63213499,2021-06-29,1801.4,1834.4304558653137,45.73378558115038
1960.0,1845.0,1960.0,1903.0,1400-4-9,خمهر,34541050,2021-06-30,1838.6,1857.2869705778082,44.022575103648144
1950.0,1808.0,1950.0,1841.0,1400-4-12,خمهر,36624111,2021-07-03,1859.2,1851.857980385058,40.2941856472516
1799.0,1755.0,1873.0,1807.0,1400-4-13,خمهر,24472804,2021-07-04,1866.6,1836.9053202564342,38.37479317649945
1818.0,1761.0,1897.0,1873.0,1400-4-14,خمهر,40547469,2021-07-05,1870.8,1848.9368801711016,43.95567409130081
1880.0,1846.0,1950.0,1879.0,1400-4-15,خمهر,17196799,2021-07-06,1860.6,1858.9579201141485,44.44820609121128
1860.0,1835.0,1910.0,1871.0,1400-4-16,خمهر,20321391,2021-07-07,1854.2,1862.9719467427872,43.89430225638569
1830.0,1830.0,1928.0,1875.0,1400-4-19,خمهر,23325227,2021-07-10,1861.0,1866.9812978285395,44.268272739131916
1921.0,1891.0,1968.0,1949.0,1400-4-20,خمهر,27825255,2021-07-11,1889.4,1894.3208652190917,50.80164429130397
2035.0,1951.0,2046.0,2020.0,1400-4-21,خمهر,48322518,2021-07-12,1918.8,1936.213910146128,56.11711073028456
1999.0,1930.0,2076.0,2025.0,1400-4-22,خمهر,36644169,2021-07-13,1948.0,1965.8092734307836,56.47375751122771
2049.0,2020.0,2126.0,2111.0,1400-4-23,خمهر,42463140,2021-07-14,1996.0,2014.2061822872236,62.16890683557685
